name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
Kevin Garnett,MINNESOTA TIMBERWOLVES,AWAY,DALLAS MAVERICKS,WIN,2340,7,14,0,0,7,10,4,13,9,1,3,5,4,22.3,22.11.2004
Josh Howard,DALLAS MAVERICKS,HOME,MINNESOTA TIMBERWOLVES,LOSS,2280,8,18,3,3,3,4,2,6,4,3,1,0,3,20.7,22.11.2004
Amar'e Stoudemire,PHOENIX SUNS,HOME,CHICAGO BULLS,WIN,2160,7,8,0,0,7,10,1,5,5,0,2,2,4,20.5,22.11.2004
Tim Duncan,SAN ANTONIO SPURS,AWAY,MEMPHIS GRIZZLIES,LOSS,2160,11,19,0,1,4,8,3,6,1,0,2,2,0,19.5,22.11.2004
Andrei Kirilenko,UTAH JAZZ,HOME,NEW ORLEANS HORNETS,LOSS,2460,6,14,0,2,6,9,5,4,1,2,7,2,1,19.3,22.11.2004
Shawn Marion,PHOENIX SUNS,HOME,CHICAGO BULLS,WIN,2280,7,15,1,4,6,6,4,12,0,0,0,1,3,17.5,22.11.2004
Bonzi Wells,MEMPHIS GRIZZLIES,HOME,SAN ANTONIO SPURS,WIN,1860,10,17,2,3,4,6,2,0,1,3,0,4,4,16.8,22.11.2004
Brent Barry,SAN ANTONIO SPURS,AWAY,MEMPHIS GRIZZLIES,LOSS,1680,4,7,3,5,1,1,1,2,4,2,0,0,2,14.0,22.11.2004
Steve Nash,PHOENIX SUNS,HOME,CHICAGO BULLS,WIN,1740,6,10,1,3,2,3,0,1,6,2,0,3,1,13.1,22.11.2004
Lee Nailon,NEW ORLEANS HORNETS,AWAY,UTAH JAZZ,WIN,1680,6,9,0,0,4,4,3,2,0,1,0,2,4,12.2,22.11.2004
Jamaal Magloire,NEW ORLEANS HORNETS,AWAY,UTAH JAZZ,WIN,1980,7,14,0,0,6,9,3,8,0,0,2,4,4,12.1,22.11.2004
Tyson Chandler,CHICAGO BULLS,AWAY,PHOENIX SUNS,LOSS,1860,4,6,0,0,2,5,5,4,1,1,1,1,3,11.1,22.11.2004
Lorenzen Wright,MEMPHIS GRIZZLIES,HOME,SAN ANTONIO SPURS,WIN,1980,4,8,0,0,2,4,1,9,1,1,2,0,2,10.9,22.11.2004
Eddy Curry,CHICAGO BULLS,AWAY,PHOENIX SUNS,LOSS,2040,7,13,0,0,3,6,4,5,2,0,1,4,4,10.3,22.11.2004
Troy Hudson,MINNESOTA TIMBERWOLVES,AWAY,DALLAS MAVERICKS,WIN,1260,5,11,0,4,1,2,0,4,5,1,0,1,0,9.6,22.11.2004
Devin Harris,DALLAS MAVERICKS,HOME,MINNESOTA TIMBERWOLVES,LOSS,2040,7,17,0,4,0,0,0,2,3,2,3,1,3,9.5,22.11.2004
Ben Gordon,CHICAGO BULLS,AWAY,PHOENIX SUNS,LOSS,2040,7,16,3,6,3,5,1,1,0,1,0,3,2,9.0,22.11.2004
Chris Andersen,NEW ORLEANS HORNETS,AWAY,UTAH JAZZ,WIN,720,2,2,0,0,3,4,2,3,1,0,2,1,2,8.6,22.11.2004
Darrell Armstrong,NEW ORLEANS HORNETS,AWAY,UTAH JAZZ,WIN,2160,4,11,0,3,2,2,0,2,4,2,0,0,2,8.5,22.11.2004
Erick Dampier,DALLAS MAVERICKS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1920,3,8,0,1,5,10,5,4,0,0,1,0,4,8.4,22.11.2004
Alan Henderson,DALLAS MAVERICKS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1380,4,9,0,0,2,2,5,3,0,0,0,1,1,8.3,22.11.2004
Malik Rose,SAN ANTONIO SPURS,AWAY,MEMPHIS GRIZZLIES,LOSS,1020,2,4,0,0,3,4,4,4,0,1,0,1,1,8.2,22.11.2004
Calvin Booth,DALLAS MAVERICKS,HOME,MINNESOTA TIMBERWOLVES,LOSS,1500,4,7,0,0,0,0,0,3,1,2,1,0,3,7.8,22.11.2004
Gordan Giricek,UTAH JAZZ,HOME,NEW ORLEANS HORNETS,LOSS,1860,4,10,1,1,0,0,0,4,2,4,0,2,1,7.8,22.11.2004
Luol Deng,CHICAGO BULLS,AWAY,PHOENIX SUNS,LOSS,1320,6,13,1,2,0,0,3,3,0,0,0,1,2,7.5,22.11.2004
