name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
Dwyane Wade,MIAMI HEAT,HOME,CLEVELAND CAVALIERS,WIN,2460,10,20,0,0,8,10,1,5,5,3,3,2,1,25.6,4.11.2004
Kevin Garnett,MINNESOTA TIMBERWOLVES,AWAY,DENVER NUGGETS,LOSS,2760,8,17,0,0,9,11,1,14,7,1,5,5,5,22.8,4.11.2004
Emeka Okafor,CHARLOTTE BOBCATS,HOME,WASHINGTON WIZARDS,LOSS,1920,5,9,0,0,9,10,4,6,1,0,1,0,3,19.1,4.11.2004
Trenton Hassell,MINNESOTA TIMBERWOLVES,AWAY,DENVER NUGGETS,LOSS,2160,8,8,0,0,1,3,3,3,4,0,1,0,4,18.7,4.11.2004
Drew Gooden,CLEVELAND CAVALIERS,AWAY,MIAMI HEAT,LOSS,2340,7,16,0,3,10,12,0,11,2,0,1,1,2,18.4,4.11.2004
LeBron James,CLEVELAND CAVALIERS,AWAY,MIAMI HEAT,LOSS,2580,9,22,2,3,1,1,3,3,8,1,0,1,0,17.8,4.11.2004
Juan Dixon,WASHINGTON WIZARDS,AWAY,CHARLOTTE BOBCATS,WIN,1200,5,7,2,3,3,3,0,5,5,1,0,0,3,16.9,4.11.2004
Jarvis Hayes,WASHINGTON WIZARDS,AWAY,CHARLOTTE BOBCATS,WIN,2580,6,13,0,0,5,6,0,6,3,2,0,0,1,15.4,4.11.2004
Kenyon Martin,DENVER NUGGETS,HOME,MINNESOTA TIMBERWOLVES,WIN,2460,9,14,0,0,0,0,6,7,2,3,0,5,6,15.1,4.11.2004
Antawn Jamison,WASHINGTON WIZARDS,AWAY,CHARLOTTE BOBCATS,WIN,2400,10,22,0,2,4,5,2,1,0,2,1,1,2,14.8,4.11.2004
Marcus Camby,DENVER NUGGETS,HOME,MINNESOTA TIMBERWOLVES,WIN,2520,3,7,0,0,2,2,2,8,4,2,4,0,4,14.1,4.11.2004
Andre Miller,DENVER NUGGETS,HOME,MINNESOTA TIMBERWOLVES,WIN,2340,8,21,0,0,3,3,4,1,6,1,0,1,3,13.6,4.11.2004
Gilbert Arenas,WASHINGTON WIZARDS,AWAY,CHARLOTTE BOBCATS,WIN,2160,6,14,2,6,5,5,3,4,8,2,0,7,5,13.5,4.11.2004
Primoz Brezec,CHARLOTTE BOBCATS,HOME,WASHINGTON WIZARDS,LOSS,1560,5,7,0,0,5,6,4,5,1,0,0,3,2,12.9,4.11.2004
Larry Hughes,WASHINGTON WIZARDS,AWAY,CHARLOTTE BOBCATS,WIN,1740,3,11,1,3,7,10,2,3,1,4,0,0,3,12.1,4.11.2004
Earl Boykins,DENVER NUGGETS,HOME,MINNESOTA TIMBERWOLVES,WIN,2340,5,14,1,5,3,5,1,2,6,0,2,1,1,10.9,4.11.2004
Udonis Haslem,MIAMI HEAT,HOME,CLEVELAND CAVALIERS,WIN,1740,6,9,0,0,3,4,2,6,2,0,0,2,6,10.9,4.11.2004
