name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
Tim Duncan,SAN ANTONIO SPURS,HOME,CLEVELAND CAVALIERS,WIN,2160,13,15,0,0,8,10,2,5,5,1,4,0,2,37.3,11.12.2004
LeBron James,CLEVELAND CAVALIERS,AWAY,SAN ANTONIO SPURS,LOSS,2520,10,19,1,3,2,2,3,3,10,4,0,3,2,23.9,11.12.2004
Kobe Bryant,LOS ANGELES LAKERS,AWAY,LOS ANGELES CLIPPERS,WIN,2700,13,32,1,6,10,10,1,9,5,0,2,4,2,23.3,11.12.2004
Michael Finley,DALLAS MAVERICKS,AWAY,HOUSTON ROCKETS,WIN,2100,10,17,5,8,1,2,2,4,4,1,0,1,0,23.1,11.12.2004
Kirk Hinrich,CHICAGO BULLS,HOME,MINNESOTA TIMBERWOLVES,WIN,2640,7,15,3,7,2,2,3,5,12,1,0,0,4,22.7,11.12.2004
Dirk Nowitzki,DALLAS MAVERICKS,AWAY,HOUSTON ROCKETS,WIN,1980,8,17,3,6,3,4,1,13,4,0,3,0,2,21.6,11.12.2004
Drew Gooden,CLEVELAND CAVALIERS,AWAY,SAN ANTONIO SPURS,LOSS,2100,13,24,0,1,2,3,1,8,1,2,1,1,2,20.7,11.12.2004
Mikki Moore,LOS ANGELES CLIPPERS,HOME,LOS ANGELES LAKERS,LOSS,2820,7,14,0,0,4,4,10,4,1,2,0,0,3,20.7,11.12.2004
Tony Parker,SAN ANTONIO SPURS,HOME,CLEVELAND CAVALIERS,WIN,2100,5,9,1,3,7,9,0,6,13,1,0,4,3,19.6,11.12.2004
Bruce Bowen,SAN ANTONIO SPURS,HOME,CLEVELAND CAVALIERS,WIN,2040,8,11,3,5,1,2,1,1,2,1,1,0,2,18.4,11.12.2004
Antoine Walker,ATLANTA HAWKS,HOME,NEW JERSEY NETS,LOSS,2520,11,21,1,2,2,4,4,9,3,1,1,4,3,18.0,11.12.2004
Ben Gordon,CHICAGO BULLS,HOME,MINNESOTA TIMBERWOLVES,WIN,1860,13,24,4,4,1,1,2,3,0,1,0,4,4,17.1,11.12.2004
Chris Webber,SACRAMENTO KINGS,AWAY,INDIANA PACERS,WIN,2460,12,24,0,0,2,3,4,6,6,1,1,5,5,17.1,11.12.2004
Gary Payton,BOSTON CELTICS,AWAY,SEATTLE SUPERSONICS,WIN,2220,10,16,0,2,1,3,0,4,5,1,0,1,2,16.9,11.12.2004
Richard Jefferson,NEW JERSEY NETS,AWAY,ATLANTA HAWKS,WIN,2580,6,16,3,4,6,6,0,8,4,3,0,2,4,16.8,11.12.2004
Eric Williams,NEW JERSEY NETS,AWAY,ATLANTA HAWKS,WIN,2280,7,10,2,2,4,6,0,4,4,0,0,1,3,16.8,11.12.2004
Brad Miller,SACRAMENTO KINGS,AWAY,INDIANA PACERS,WIN,2640,2,6,0,0,7,8,5,8,7,2,0,2,4,16.4,11.12.2004
Mike Bibby,SACRAMENTO KINGS,AWAY,INDIANA PACERS,WIN,2580,9,16,1,3,2,3,1,5,5,2,0,4,2,15.9,11.12.2004
Al Harrington,ATLANTA HAWKS,HOME,NEW JERSEY NETS,LOSS,2160,9,13,1,2,2,3,1,5,4,2,0,4,6,15.7,11.12.2004
Lamar Odom,LOS ANGELES LAKERS,AWAY,LOS ANGELES CLIPPERS,WIN,2280,7,11,1,1,4,4,2,10,1,0,0,2,5,15.2,11.12.2004
Pau Gasol,MEMPHIS GRIZZLIES,HOME,DETROIT PISTONS,WIN,2340,9,17,0,0,2,2,1,7,4,0,2,3,3,14.5,11.12.2004
Kevin Garnett,MINNESOTA TIMBERWOLVES,AWAY,CHICAGO BULLS,LOSS,2340,6,17,0,2,4,4,5,16,5,1,1,4,4,14.4,11.12.2004
Travis Best,NEW JERSEY NETS,AWAY,ATLANTA HAWKS,WIN,2280,7,19,1,2,6,6,0,1,3,2,0,0,3,13.7,11.12.2004
Rashard Lewis,SEATTLE SUPERSONICS,HOME,BOSTON CELTICS,LOSS,2520,7,16,2,6,3,6,1,5,0,5,1,2,4,13.7,11.12.2004
Paul Pierce,BOSTON CELTICS,AWAY,SEATTLE SUPERSONICS,WIN,2100,7,13,2,5,6,7,1,5,1,1,0,4,4,13.6,11.12.2004
Jeff Foster,INDIANA PACERS,HOME,SACRAMENTO KINGS,LOSS,2580,5,14,0,0,1,2,12,6,1,2,0,1,3,13.5,11.12.2004
Corey Maggette,LOS ANGELES CLIPPERS,HOME,LOS ANGELES LAKERS,LOSS,2460,8,25,1,5,10,13,1,4,3,2,0,3,3,13.3,11.12.2004
Rasheed Wallace,DETROIT PISTONS,AWAY,MEMPHIS GRIZZLIES,LOSS,2280,8,20,2,5,4,5,2,8,1,2,0,2,5,13.3,11.12.2004
Fred Jones,INDIANA PACERS,HOME,SACRAMENTO KINGS,LOSS,1920,5,11,0,1,7,8,2,2,1,5,1,5,3,13.1,11.12.2004
Sam Cassell,MINNESOTA TIMBERWOLVES,AWAY,CHICAGO BULLS,LOSS,2280,7,17,0,2,3,4,0,3,8,0,0,0,3,12.8,11.12.2004
Kerry Kittles,LOS ANGELES CLIPPERS,HOME,LOS ANGELES LAKERS,LOSS,1860,7,15,1,4,0,0,0,3,5,3,0,1,3,12.5,11.12.2004
Danny Fortson,SEATTLE SUPERSONICS,HOME,BOSTON CELTICS,LOSS,1440,4,7,0,0,8,12,6,5,0,0,0,2,6,12.4,11.12.2004
Doug Christie,SACRAMENTO KINGS,AWAY,INDIANA PACERS,WIN,2640,4,6,0,0,4,4,1,4,5,4,0,6,2,12.0,11.12.2004
Austin Croshere,INDIANA PACERS,HOME,SACRAMENTO KINGS,LOSS,2040,8,17,2,8,3,4,0,8,1,2,0,3,5,12.0,11.12.2004
Chucky Atkins,LOS ANGELES LAKERS,AWAY,LOS ANGELES CLIPPERS,WIN,2220,6,9,2,3,0,0,1,0,2,1,0,2,0,11.2,11.12.2004
