name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
Mehmet Okur,UTAH JAZZ,HOME,SAN ANTONIO SPURS,WIN,2220,7,11,0,1,9,10,7,4,2,0,1,1,2,24.1,10.1.2005
Allen Iverson,PHILADELPHIA 76ERS,HOME,PORTLAND TRAIL BLAZERS,LOSS,2100,8,15,0,2,5,6,2,7,9,0,1,0,0,23.8,10.1.2005
Kevin Garnett,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES LAKERS,LOSS,2400,5,12,0,1,13,16,1,12,7,2,0,3,4,22.0,10.1.2005
Speedy Claxton,GOLDEN STATE WARRIORS,AWAY,CHICAGO BULLS,LOSS,2160,7,12,1,1,9,14,1,2,8,3,0,5,1,20.9,10.1.2005
Nick Van Exel,PORTLAND TRAIL BLAZERS,AWAY,PHILADELPHIA 76ERS,WIN,2220,10,19,8,13,0,0,0,4,5,1,0,3,2,20.6,10.1.2005
Kobe Bryant,LOS ANGELES LAKERS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2400,9,19,6,11,7,7,1,0,4,0,1,5,0,20.5,10.1.2005
Andre Iguodala,PHILADELPHIA 76ERS,HOME,PORTLAND TRAIL BLAZERS,LOSS,2100,8,14,1,1,5,6,5,2,3,2,0,3,2,19.4,10.1.2005
Chucky Atkins,LOS ANGELES LAKERS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2400,9,19,4,10,1,4,1,6,7,0,0,0,2,18.7,10.1.2005
Damon Stoudamire,PORTLAND TRAIL BLAZERS,AWAY,PHILADELPHIA 76ERS,WIN,2100,7,16,5,10,3,3,1,3,7,0,0,1,3,17.9,10.1.2005
Tim Duncan,SAN ANTONIO SPURS,AWAY,UTAH JAZZ,LOSS,2280,8,17,0,0,8,10,3,10,1,0,1,3,2,17.2,10.1.2005
Grant Hill,ORLANDO MAGIC,AWAY,BOSTON CELTICS,LOSS,2280,5,13,0,0,5,6,1,3,9,3,2,2,2,17.0,10.1.2005
Troy Hudson,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES LAKERS,LOSS,1980,8,15,2,4,2,2,0,0,6,1,0,0,3,16.7,10.1.2005
Othella Harrington,CHICAGO BULLS,HOME,GOLDEN STATE WARRIORS,WIN,2100,9,13,0,0,2,5,2,2,5,2,0,3,3,16.6,10.1.2005
Chris Mihm,LOS ANGELES LAKERS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2400,5,10,0,0,4,6,4,13,5,0,2,2,3,16.6,10.1.2005
Raef LaFrentz,BOSTON CELTICS,HOME,ORLANDO MAGIC,WIN,1800,5,11,1,3,4,4,4,1,4,2,1,0,4,16.3,10.1.2005
Keith McLeod,UTAH JAZZ,HOME,SAN ANTONIO SPURS,WIN,1740,5,10,1,1,7,8,0,3,4,1,0,1,3,15.1,10.1.2005
Jameer Nelson,ORLANDO MAGIC,AWAY,BOSTON CELTICS,LOSS,1620,7,12,3,4,2,4,1,2,6,3,0,5,4,14.5,10.1.2005
Tony Allen,BOSTON CELTICS,HOME,ORLANDO MAGIC,WIN,1200,6,12,1,2,3,3,2,2,4,2,0,2,1,14.4,10.1.2005
Kenny Thomas,PHILADELPHIA 76ERS,HOME,PORTLAND TRAIL BLAZERS,LOSS,2160,7,16,0,0,2,2,3,2,1,4,0,1,1,13.6,10.1.2005
Tyson Chandler,CHICAGO BULLS,HOME,GOLDEN STATE WARRIORS,WIN,1680,4,8,0,1,5,6,4,4,1,0,4,1,4,13.5,10.1.2005
Ruben Patterson,PORTLAND TRAIL BLAZERS,AWAY,PHILADELPHIA 76ERS,WIN,2160,3,7,0,0,7,8,0,3,4,3,0,2,2,12.8,10.1.2005
Dwight Howard,ORLANDO MAGIC,AWAY,BOSTON CELTICS,LOSS,1980,5,7,0,0,2,4,4,5,2,1,2,3,2,12.6,10.1.2005
Ricky Davis,BOSTON CELTICS,HOME,ORLANDO MAGIC,WIN,1620,6,7,2,2,1,1,0,1,2,2,0,3,2,12.4,10.1.2005
Tony Parker,SAN ANTONIO SPURS,AWAY,UTAH JAZZ,LOSS,2280,7,11,1,3,5,10,0,1,5,0,0,3,4,12.3,10.1.2005
Mike Dunleavy,GOLDEN STATE WARRIORS,AWAY,CHICAGO BULLS,LOSS,2340,6,12,2,5,5,6,0,2,2,2,0,4,2,11.8,10.1.2005
Manu Ginobili,SAN ANTONIO SPURS,AWAY,UTAH JAZZ,LOSS,1800,6,12,1,2,5,5,1,1,2,0,0,2,3,11.2,10.1.2005
Kirk Hinrich,CHICAGO BULLS,HOME,GOLDEN STATE WARRIORS,WIN,2160,6,13,2,4,0,2,0,6,9,0,0,1,6,11.2,10.1.2005
Paul Pierce,BOSTON CELTICS,HOME,ORLANDO MAGIC,WIN,1920,5,14,1,3,7,10,1,5,2,2,1,3,3,11.1,10.1.2005
Jiri Welsch,BOSTON CELTICS,HOME,ORLANDO MAGIC,WIN,1800,5,9,1,2,1,1,1,2,5,1,1,2,4,10.6,10.1.2005
Gary Payton,BOSTON CELTICS,HOME,ORLANDO MAGIC,WIN,1860,5,13,1,2,4,4,1,6,6,0,0,3,3,10.4,10.1.2005
Derek Anderson,PORTLAND TRAIL BLAZERS,AWAY,PHILADELPHIA 76ERS,WIN,1020,3,6,0,1,5,6,0,3,2,2,0,1,2,10.1,10.1.2005
Joel Przybilla,PORTLAND TRAIL BLAZERS,AWAY,PHILADELPHIA 76ERS,WIN,1620,4,6,0,0,2,5,3,5,1,0,1,0,3,10.0,10.1.2005
