name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
Dwyane Wade,MIAMI HEAT,AWAY,WASHINGTON WIZARDS,WIN,2580,11,16,1,1,14,16,0,8,12,1,0,7,2,33.4,6.11.2004
Paul Pierce,BOSTON CELTICS,AWAY,NEW YORK KNICKS,WIN,2040,10,18,2,4,6,6,3,7,8,1,0,0,0,30.2,6.11.2004
Carlos Boozer,UTAH JAZZ,AWAY,DENVER NUGGETS,WIN,2040,13,19,0,0,4,4,5,12,3,0,0,1,3,28.9,6.11.2004
Yao Ming,HOUSTON ROCKETS,HOME,SACRAMENTO KINGS,WIN,2400,13,20,0,0,7,11,2,10,3,2,0,2,3,27.9,6.11.2004
Allen Iverson,PHILADELPHIA 76ERS,AWAY,DETROIT PISTONS,LOSS,2280,11,19,2,3,7,11,0,0,5,3,0,1,1,25.6,6.11.2004
Kevin Garnett,MINNESOTA TIMBERWOLVES,HOME,NEW ORLEANS HORNETS,WIN,2460,13,22,0,0,3,3,3,12,4,1,1,3,2,25.2,6.11.2004
LeBron James,CLEVELAND CAVALIERS,AWAY,MILWAUKEE BUCKS,LOSS,2520,8,20,0,3,15,22,2,6,6,3,0,4,0,23.8,6.11.2004
Mike Bibby,SACRAMENTO KINGS,AWAY,HOUSTON ROCKETS,LOSS,2760,10,20,3,4,8,9,1,6,7,0,0,5,0,23.0,6.11.2004
Tracy McGrady,HOUSTON ROCKETS,HOME,SACRAMENTO KINGS,WIN,2820,10,20,3,8,0,2,4,9,5,1,2,1,0,22.6,6.11.2004
Stephen Jackson,INDIANA PACERS,HOME,CHICAGO BULLS,WIN,2340,8,13,3,6,5,5,0,3,2,4,0,1,3,22.2,6.11.2004
Antawn Jamison,WASHINGTON WIZARDS,HOME,MIAMI HEAT,LOSS,2400,8,16,2,4,6,8,6,7,2,1,0,0,6,21.5,6.11.2004
Michael Redd,MILWAUKEE BUCKS,HOME,CLEVELAND CAVALIERS,WIN,2700,10,18,0,1,8,9,1,7,3,1,0,2,4,21.3,6.11.2004
