name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
LeBron James,CLEVELAND CAVALIERS,HOME,PHILADELPHIA 76ERS,WIN,2080,13,22,4,10,7,9,1,3,7,4,0,3,4,31.9,4.4.2006
Bonzi Wells,SACRAMENTO KINGS,AWAY,DALLAS MAVERICKS,LOSS,1940,10,18,1,3,9,9,2,5,4,1,0,1,0,27.1,4.4.2006
Allen Iverson,PHILADELPHIA 76ERS,AWAY,CLEVELAND CAVALIERS,LOSS,2304,10,25,1,3,17,19,0,1,8,1,0,3,2,26.8,4.4.2006
Carlos Boozer,UTAH JAZZ,HOME,SAN ANTONIO SPURS,LOSS,2495,10,20,0,0,7,8,4,13,4,3,0,2,2,26.3,4.4.2006
Joe Johnson,ATLANTA HAWKS,AWAY,NEW JERSEY NETS,LOSS,2295,12,17,3,4,6,7,1,5,5,1,0,5,3,26.0,4.4.2006
Chris Wilcox,SEATTLE SUPERSONICS,HOME,HOUSTON ROCKETS,WIN,2326,9,13,0,0,8,12,7,17,0,0,2,3,4,25.7,4.4.2006
Chris Paul,NEW ORLEANS/OKLAHOMA CITY HORNETS,AWAY,DETROIT PISTONS,LOSS,2261,8,17,0,1,8,8,1,3,10,5,0,2,4,25.3,4.4.2006
Morris Peterson,TORONTO RAPTORS,HOME,BOSTON CELTICS,LOSS,2880,11,27,2,6,8,8,2,6,6,3,1,2,4,25.0,4.4.2006
Ray Allen,SEATTLE SUPERSONICS,HOME,HOUSTON ROCKETS,WIN,2481,11,22,3,9,7,8,1,3,4,1,0,1,2,24.2,4.4.2006
Kevin Garnett,MINNESOTA TIMBERWOLVES,AWAY,CHARLOTTE BOBCATS,LOSS,2379,8,21,0,1,8,10,4,18,4,3,1,1,3,24.2,4.4.2006
Dirk Nowitzki,DALLAS MAVERICKS,HOME,SACRAMENTO KINGS,WIN,1868,11,17,1,2,6,6,1,6,2,0,1,2,1,23.7,4.4.2006
Brevin Knight,CHARLOTTE BOBCATS,HOME,MINNESOTA TIMBERWOLVES,WIN,2235,9,15,0,0,6,6,0,2,8,2,1,2,1,23.6,4.4.2006
