name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
Dwyane Wade,MIAMI HEAT,HOME,CHICAGO BULLS,WIN,2673,8,21,0,1,14,16,1,3,11,3,2,4,3,26.2,22.4.2006
Ben Gordon,CHICAGO BULLS,AWAY,MIAMI HEAT,LOSS,2673,12,23,5,10,6,7,0,2,3,1,0,2,2,24.2,22.4.2006
LeBron James,CLEVELAND CAVALIERS,HOME,WASHINGTON WIZARDS,WIN,2880,12,27,1,4,7,11,3,8,11,0,0,4,3,23.3,22.4.2006
Shaquille O'Neal,MIAMI HEAT,HOME,CHICAGO BULLS,WIN,2235,11,16,0,0,5,8,3,13,1,2,5,6,5,23.2,22.4.2006
Tony Parker,SAN ANTONIO SPURS,HOME,SACRAMENTO KINGS,WIN,1503,9,15,0,1,7,7,1,4,4,1,0,1,1,22.4,22.4.2006
Andre Miller,DENVER NUGGETS,AWAY,LOS ANGELES CLIPPERS,LOSS,2163,11,21,0,0,3,3,1,2,6,0,0,0,0,20.2,22.4.2006
Nazr Mohammed,SAN ANTONIO SPURS,HOME,SACRAMENTO KINGS,WIN,1520,6,6,1,1,5,6,5,3,0,0,3,3,2,18.5,22.4.2006
Sam Cassell,LOS ANGELES CLIPPERS,HOME,DENVER NUGGETS,WIN,2015,6,11,1,4,6,7,1,0,7,0,0,0,2,18.1,22.4.2006
Antonio Daniels,WASHINGTON WIZARDS,AWAY,CLEVELAND CAVALIERS,LOSS,1997,6,6,0,0,2,3,0,5,6,1,0,0,1,18.1,22.4.2006
Elton Brand,LOS ANGELES CLIPPERS,HOME,DENVER NUGGETS,WIN,2478,8,16,0,0,5,8,4,4,5,0,4,4,4,16.5,22.4.2006
Cuttino Mobley,LOS ANGELES CLIPPERS,HOME,DENVER NUGGETS,WIN,2263,6,10,3,4,2,2,0,6,3,1,0,1,0,16.3,22.4.2006
Jared Jeffries,WASHINGTON WIZARDS,AWAY,CLEVELAND CAVALIERS,LOSS,2108,5,7,1,3,4,4,4,1,0,0,1,0,1,15.5,22.4.2006
Donyell Marshall,CLEVELAND CAVALIERS,HOME,WASHINGTON WIZARDS,WIN,1397,8,18,3,7,0,0,6,1,2,0,0,0,2,14.7,22.4.2006
Jason Williams,MIAMI HEAT,HOME,CHICAGO BULLS,WIN,2004,4,9,2,7,7,7,0,4,3,0,0,1,0,14.6,22.4.2006
Gilbert Arenas,WASHINGTON WIZARDS,AWAY,CLEVELAND CAVALIERS,LOSS,2269,7,20,1,7,11,13,0,6,3,1,1,3,6,14.2,22.4.2006
Andres Nocioni,CHICAGO BULLS,AWAY,MIAMI HEAT,LOSS,2515,8,20,2,5,0,0,2,14,4,1,1,2,3,14.1,22.4.2006
Mike Bibby,SACRAMENTO KINGS,AWAY,SAN ANTONIO SPURS,LOSS,1957,6,12,2,3,3,4,3,1,3,1,0,2,3,12.9,22.4.2006
Eric Snow,CLEVELAND CAVALIERS,HOME,WASHINGTON WIZARDS,WIN,1893,5,7,0,0,4,5,0,4,2,1,1,1,3,12.8,22.4.2006
Carmelo Anthony,DENVER NUGGETS,AWAY,LOS ANGELES CLIPPERS,LOSS,2613,9,26,0,1,7,9,4,3,3,0,0,2,3,12.2,22.4.2006
Tim Duncan,SAN ANTONIO SPURS,HOME,SACRAMENTO KINGS,WIN,1475,3,6,0,0,5,7,1,6,3,1,0,0,2,12.0,22.4.2006
Chris Kaman,LOS ANGELES CLIPPERS,HOME,DENVER NUGGETS,WIN,2588,5,12,0,0,5,5,3,10,1,0,0,1,4,11.8,22.4.2006
Kirk Hinrich,CHICAGO BULLS,AWAY,MIAMI HEAT,LOSS,2326,6,14,3,5,4,4,0,1,8,0,0,4,6,11.1,22.4.2006
Rasho Nesterovic,SAN ANTONIO SPURS,HOME,SACRAMENTO KINGS,WIN,1416,4,6,0,0,2,2,1,6,1,0,0,0,2,9.8,22.4.2006
Michael Finley,SAN ANTONIO SPURS,HOME,SACRAMENTO KINGS,WIN,1220,3,6,2,3,2,2,0,7,2,0,0,0,2,9.7,22.4.2006
Kenyon Martin,DENVER NUGGETS,AWAY,LOS ANGELES CLIPPERS,LOSS,1664,4,11,0,0,1,2,5,3,1,4,2,2,4,9.4,22.4.2006
Zydrunas Ilgauskas,CLEVELAND CAVALIERS,HOME,WASHINGTON WIZARDS,WIN,1801,4,7,0,0,2,2,2,4,1,0,2,1,3,9.2,22.4.2006
Marcus Camby,DENVER NUGGETS,AWAY,LOS ANGELES CLIPPERS,LOSS,2380,4,12,0,0,1,3,4,6,2,1,3,1,2,8.7,22.4.2006
