name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
Allen Iverson,PHILADELPHIA 76ERS,AWAY,NEW YORK KNICKS,WIN,2746,13,29,3,9,18,20,1,5,9,3,0,4,3,37.4,31.3.2006
Morris Peterson,TORONTO RAPTORS,HOME,PHOENIX SUNS,LOSS,2802,13,19,6,10,6,7,1,7,3,1,0,2,2,32.6,31.3.2006
Michael Redd,MILWAUKEE BUCKS,AWAY,DETROIT PISTONS,LOSS,2264,13,20,6,8,5,5,2,3,4,2,0,3,3,31.1,31.3.2006
Dirk Nowitzki,DALLAS MAVERICKS,AWAY,ORLANDO MAGIC,LOSS,2616,15,27,3,10,5,7,4,11,4,0,1,3,2,30.1,31.3.2006
Boris Diaw,PHOENIX SUNS,AWAY,TORONTO RAPTORS,WIN,2290,9,14,0,0,8,10,5,3,9,2,1,1,4,29.8,31.3.2006
Mike James,TORONTO RAPTORS,HOME,PHOENIX SUNS,LOSS,2636,11,25,4,6,10,10,4,0,10,0,0,4,3,27.5,31.3.2006
Tayshaun Prince,DETROIT PISTONS,HOME,MILWAUKEE BUCKS,WIN,2180,10,15,0,0,5,8,2,3,6,3,3,2,1,26.5,31.3.2006
Chris Webber,PHILADELPHIA 76ERS,AWAY,NEW YORK KNICKS,WIN,2644,14,23,0,1,6,8,2,10,3,1,0,2,5,26.2,31.3.2006
Yao Ming,HOUSTON ROCKETS,HOME,WASHINGTON WIZARDS,WIN,2362,15,25,0,0,8,8,2,9,3,0,2,7,3,25.9,31.3.2006
Nate Robinson,NEW YORK KNICKS,HOME,PHILADELPHIA 76ERS,LOSS,2607,9,14,2,5,14,15,0,2,2,2,0,4,6,25.0,31.3.2006
Jameer Nelson,ORLANDO MAGIC,HOME,DALLAS MAVERICKS,WIN,1912,10,15,2,5,5,6,0,2,4,2,0,1,2,23.7,31.3.2006
Richard Jefferson,NEW JERSEY NETS,AWAY,ATLANTA HAWKS,WIN,2518,8,15,0,2,11,14,4,5,2,1,0,2,0,23.2,31.3.2006
Carmelo Anthony,DENVER NUGGETS,HOME,MINNESOTA TIMBERWOLVES,WIN,2354,9,22,1,2,13,14,1,4,1,2,0,1,2,22.6,31.3.2006
Andres Nocioni,CHICAGO BULLS,AWAY,CHARLOTTE BOBCATS,WIN,2254,9,15,2,4,4,6,3,8,2,0,4,0,6,22.6,31.3.2006
Gerald Wallace,CHARLOTTE BOBCATS,HOME,CHICAGO BULLS,LOSS,2642,11,17,0,1,4,11,2,10,2,2,3,1,5,22.6,31.3.2006
Kevin Garnett,MINNESOTA TIMBERWOLVES,AWAY,DENVER NUGGETS,LOSS,2387,10,17,0,0,2,4,3,13,7,0,7,5,4,22.5,31.3.2006
Kobe Bryant,LOS ANGELES LAKERS,AWAY,SEATTLE SUPERSONICS,WIN,2763,17,38,1,4,8,8,1,4,4,1,1,6,3,22.4,31.3.2006
Leandro Barbosa,PHOENIX SUNS,AWAY,TORONTO RAPTORS,WIN,1969,11,15,2,3,4,5,0,3,3,0,0,1,4,21.9,31.3.2006
Gilbert Arenas,WASHINGTON WIZARDS,AWAY,HOUSTON ROCKETS,LOSS,2674,8,24,1,8,10,11,1,0,11,4,0,2,4,21.8,31.3.2006
Shawn Marion,PHOENIX SUNS,AWAY,TORONTO RAPTORS,WIN,2405,8,16,1,1,4,4,3,9,3,3,2,2,2,21.5,31.3.2006
Steve Nash,PHOENIX SUNS,AWAY,TORONTO RAPTORS,WIN,2053,7,12,5,6,1,1,0,3,10,1,0,2,0,21.3,31.3.2006
Hedo Turkoglu,ORLANDO MAGIC,HOME,DALLAS MAVERICKS,WIN,1966,8,13,3,5,6,7,0,5,1,1,2,1,3,21.1,31.3.2006
Eddy Curry,NEW YORK KNICKS,HOME,PHILADELPHIA 76ERS,LOSS,2070,6,7,0,0,9,12,3,6,0,0,1,0,3,20.7,31.3.2006
Luther Head,HOUSTON ROCKETS,HOME,WASHINGTON WIZARDS,WIN,2374,8,11,3,4,1,2,1,6,1,2,1,0,1,20.6,31.3.2006
Richard Hamilton,DETROIT PISTONS,HOME,MILWAUKEE BUCKS,WIN,2457,8,14,0,3,9,10,0,1,6,1,0,1,5,20.5,31.3.2006
Mike Dunleavy,GOLDEN STATE WARRIORS,HOME,SACRAMENTO KINGS,LOSS,2440,9,14,4,7,2,2,0,3,2,2,2,3,1,20.1,31.3.2006
Jumaine Jones,CHARLOTTE BOBCATS,HOME,CHICAGO BULLS,LOSS,2372,9,21,2,11,8,8,1,2,0,3,0,0,3,20.0,31.3.2006
Shane Battier,MEMPHIS GRIZZLIES,AWAY,NEW ORLEANS/OKLAHOMA CITY HORNETS,LOSS,2453,10,12,2,3,2,3,3,7,0,1,0,3,4,19.8,31.3.2006
Elton Brand,LOS ANGELES CLIPPERS,HOME,UTAH JAZZ,WIN,2129,10,15,0,0,2,4,0,4,3,1,3,0,4,19.5,31.3.2006
Bobby Jackson,MEMPHIS GRIZZLIES,AWAY,NEW ORLEANS/OKLAHOMA CITY HORNETS,LOSS,1729,9,15,4,7,4,4,0,1,2,2,0,1,6,19.4,31.3.2006
Marc Jackson,NEW ORLEANS/OKLAHOMA CITY HORNETS,HOME,MEMPHIS GRIZZLIES,WIN,2193,10,16,0,0,4,4,4,3,2,1,0,3,2,19.1,31.3.2006
Ricky Davis,MINNESOTA TIMBERWOLVES,AWAY,DENVER NUGGETS,LOSS,2440,7,17,2,3,5,5,0,5,7,2,0,1,1,18.9,31.3.2006
Chris Paul,NEW ORLEANS/OKLAHOMA CITY HORNETS,HOME,MEMPHIS GRIZZLIES,WIN,2321,5,9,0,2,11,13,1,6,5,2,0,3,5,18.9,31.3.2006
Bonzi Wells,SACRAMENTO KINGS,AWAY,GOLDEN STATE WARRIORS,WIN,2321,9,16,0,2,4,4,2,7,2,1,1,1,3,18.8,31.3.2006
Sam Cassell,LOS ANGELES CLIPPERS,HOME,UTAH JAZZ,WIN,1957,7,11,2,3,6,6,0,3,6,1,0,3,4,18.6,31.3.2006
Antonio McDyess,DETROIT PISTONS,HOME,MILWAUKEE BUCKS,WIN,1399,7,10,0,0,4,5,3,3,2,1,1,0,3,18.3,31.3.2006
Andrei Kirilenko,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,LOSS,2270,6,9,0,0,5,6,1,3,6,0,3,1,4,18.0,31.3.2006
Mike Miller,MEMPHIS GRIZZLIES,AWAY,NEW ORLEANS/OKLAHOMA CITY HORNETS,LOSS,2115,5,10,3,7,10,10,0,3,1,0,0,1,2,17.8,31.3.2006
Luol Deng,CHICAGO BULLS,AWAY,CHARLOTTE BOBCATS,WIN,2456,8,16,0,0,5,7,3,4,5,1,0,2,1,17.6,31.3.2006
Antawn Jamison,WASHINGTON WIZARDS,AWAY,HOUSTON ROCKETS,LOSS,2674,12,25,4,9,0,0,0,9,1,0,1,1,3,17.2,31.3.2006
Jason Terry,DALLAS MAVERICKS,AWAY,ORLANDO MAGIC,LOSS,2369,6,15,2,8,9,10,0,1,3,2,0,1,2,17.1,31.3.2006
Rasheed Wallace,DETROIT PISTONS,HOME,MILWAUKEE BUCKS,WIN,2324,8,20,3,7,2,2,1,9,1,2,4,2,1,16.7,31.3.2006
Chris Duhon,CHICAGO BULLS,AWAY,CHARLOTTE BOBCATS,WIN,1935,5,9,3,4,6,8,0,3,6,1,0,2,4,16.4,31.3.2006
Pau Gasol,MEMPHIS GRIZZLIES,AWAY,NEW ORLEANS/OKLAHOMA CITY HORNETS,LOSS,2557,6,11,0,0,2,4,2,4,7,0,2,0,1,16.4,31.3.2006
Lamar Odom,LOS ANGELES LAKERS,AWAY,SEATTLE SUPERSONICS,WIN,2296,5,8,1,1,1,2,2,8,5,2,0,1,0,16.3,31.3.2006
Derek Fisher,GOLDEN STATE WARRIORS,HOME,SACRAMENTO KINGS,LOSS,2536,6,13,1,3,0,2,0,5,10,5,0,2,2,16.2,31.3.2006
Brad Miller,SACRAMENTO KINGS,AWAY,GOLDEN STATE WARRIORS,WIN,2498,5,9,0,1,7,8,1,4,4,1,2,2,3,16.2,31.3.2006
Marcus Banks,MINNESOTA TIMBERWOLVES,AWAY,DENVER NUGGETS,LOSS,2465,7,12,1,1,2,3,0,3,7,1,0,1,2,16.0,31.3.2006
Metta World Peace,SACRAMENTO KINGS,AWAY,GOLDEN STATE WARRIORS,WIN,2610,5,9,1,2,6,8,0,2,6,1,1,2,2,15.6,31.3.2006
Tim Thomas,PHOENIX SUNS,AWAY,TORONTO RAPTORS,WIN,1077,7,8,1,1,1,1,0,2,3,0,0,0,1,15.5,31.3.2006
Ray Allen,SEATTLE SUPERSONICS,HOME,LOS ANGELES LAKERS,LOSS,2551,10,27,5,13,4,4,4,4,4,1,0,5,4,15.3,31.3.2006
Vladimir Radmanovic,LOS ANGELES CLIPPERS,HOME,UTAH JAZZ,WIN,2123,5,9,4,6,0,0,0,5,4,2,0,0,2,15.2,31.3.2006
Rafer Alston,HOUSTON ROCKETS,HOME,WASHINGTON WIZARDS,WIN,2284,6,10,2,4,5,8,0,3,8,0,0,3,4,15.1,31.3.2006
Vince Carter,NEW JERSEY NETS,AWAY,ATLANTA HAWKS,WIN,2280,8,23,0,4,10,10,5,4,1,1,0,3,4,14.9,31.3.2006
Chauncey Billups,DETROIT PISTONS,HOME,MILWAUKEE BUCKS,WIN,2228,3,8,1,3,5,6,0,3,11,1,0,1,3,14.6,31.3.2006
Al Harrington,ATLANTA HAWKS,HOME,NEW JERSEY NETS,LOSS,2560,5,15,0,4,5,7,3,8,7,2,0,1,4,14.5,31.3.2006
Linton Johnson,NEW ORLEANS/OKLAHOMA CITY HORNETS,HOME,MEMPHIS GRIZZLIES,WIN,1899,6,8,0,1,4,4,2,6,1,0,2,2,5,14.1,31.3.2006
Pape Sow,TORONTO RAPTORS,HOME,PHOENIX SUNS,LOSS,2013,5,9,0,0,3,5,8,7,0,1,0,1,4,14.0,31.3.2006
Mike Bibby,SACRAMENTO KINGS,AWAY,GOLDEN STATE WARRIORS,WIN,2443,8,16,5,9,0,0,0,6,3,1,0,4,0,13.9,31.3.2006
Jared Jeffries,WASHINGTON WIZARDS,AWAY,HOUSTON ROCKETS,LOSS,2023,6,11,1,2,2,4,6,3,0,2,0,1,3,13.8,31.3.2006
Jamal Crawford,NEW YORK KNICKS,HOME,PHILADELPHIA 76ERS,LOSS,2380,5,13,0,5,8,10,1,2,3,2,0,1,2,13.7,31.3.2006
Joe Johnson,ATLANTA HAWKS,HOME,NEW JERSEY NETS,LOSS,2620,9,20,2,5,2,3,1,4,8,0,0,3,5,13.7,31.3.2006
Andre Iguodala,PHILADELPHIA 76ERS,AWAY,NEW YORK KNICKS,WIN,2333,4,7,0,1,6,8,1,2,5,0,1,1,2,13.6,31.3.2006
Josh Smith,ATLANTA HAWKS,HOME,NEW JERSEY NETS,LOSS,2104,7,15,1,2,2,2,1,5,2,0,5,1,6,13.0,31.3.2006
Chris Wilcox,SEATTLE SUPERSONICS,HOME,LOS ANGELES LAKERS,LOSS,1807,5,11,0,0,6,6,3,4,1,0,0,0,4,12.7,31.3.2006
Mo Williams,MILWAUKEE BUCKS,AWAY,DETROIT PISTONS,LOSS,1734,7,12,1,3,0,0,0,3,8,0,0,2,3,12.7,31.3.2006
Chris Kaman,LOS ANGELES CLIPPERS,HOME,UTAH JAZZ,WIN,2307,3,7,0,0,5,7,0,13,2,1,1,0,3,12.3,31.3.2006
Charlie Bell,MILWAUKEE BUCKS,AWAY,DETROIT PISTONS,LOSS,1783,6,10,3,5,1,2,0,4,3,1,1,3,2,12.2,31.3.2006
Kwame Brown,LOS ANGELES LAKERS,AWAY,SEATTLE SUPERSONICS,WIN,1930,4,5,0,0,4,8,4,9,0,1,1,2,4,12.1,31.3.2006
Antonio Daniels,WASHINGTON WIZARDS,AWAY,HOUSTON ROCKETS,LOSS,1902,4,10,1,4,3,4,1,2,7,0,0,0,1,12.0,31.3.2006
Mehmet Okur,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,LOSS,2246,8,19,0,4,2,4,3,7,4,0,2,2,4,11.9,31.3.2006
Kenny Thomas,SACRAMENTO KINGS,AWAY,GOLDEN STATE WARRIORS,WIN,1813,5,7,0,0,0,0,3,6,2,3,1,3,3,11.9,31.3.2006
James Jones,PHOENIX SUNS,AWAY,TORONTO RAPTORS,WIN,1471,4,8,3,6,3,4,0,3,2,1,0,0,3,11.7,31.3.2006
Bernard Robinson,CHARLOTTE BOBCATS,HOME,CHICAGO BULLS,LOSS,1623,6,7,0,0,0,0,3,3,1,0,0,0,4,11.6,31.3.2006
Rasual Butler,NEW ORLEANS/OKLAHOMA CITY HORNETS,HOME,MEMPHIS GRIZZLIES,WIN,2601,6,9,3,3,0,0,1,4,1,0,0,2,1,11.3,31.3.2006
Raymond Felton,CHARLOTTE BOBCATS,HOME,CHICAGO BULLS,LOSS,2530,4,14,2,6,5,7,0,4,10,1,0,2,5,11.2,31.3.2006
Jason Richardson,GOLDEN STATE WARRIORS,HOME,SACRAMENTO KINGS,LOSS,2256,7,17,2,8,1,3,1,0,5,2,1,2,2,11.2,31.3.2006
Mickael Pietrus,GOLDEN STATE WARRIORS,HOME,SACRAMENTO KINGS,LOSS,1271,7,11,2,6,0,0,1,2,1,1,0,1,5,11.1,31.3.2006
Marcus Camby,DENVER NUGGETS,HOME,MINNESOTA TIMBERWOLVES,WIN,2116,2,8,0,0,0,0,4,7,4,2,3,0,1,10.6,31.3.2006
Dwight Howard,ORLANDO MAGIC,HOME,DALLAS MAVERICKS,WIN,2273,6,9,0,0,2,4,2,8,1,0,1,2,5,10.5,31.3.2006
Brevin Knight,CHARLOTTE BOBCATS,HOME,CHICAGO BULLS,LOSS,2384,3,11,0,0,9,10,0,4,9,0,0,4,3,10.4,31.3.2006
Kenyon Martin,DENVER NUGGETS,HOME,MINNESOTA TIMBERWOLVES,WIN,1494,4,7,1,1,2,2,1,5,1,0,2,0,4,10.4,31.3.2006
Samuel Dalembert,PHILADELPHIA 76ERS,AWAY,NEW YORK KNICKS,WIN,1362,5,6,0,0,1,1,2,6,1,1,0,1,6,10.3,31.3.2006
Josh Childress,ATLANTA HAWKS,HOME,NEW JERSEY NETS,LOSS,2198,6,10,0,3,1,3,1,4,2,1,1,2,1,10.2,31.3.2006
Johan Petro,SEATTLE SUPERSONICS,HOME,LOS ANGELES LAKERS,LOSS,1748,6,8,0,0,0,0,4,4,0,0,1,2,4,9.9,31.3.2006
Raja Bell,PHOENIX SUNS,AWAY,TORONTO RAPTORS,WIN,2308,5,11,3,8,2,2,0,1,4,1,0,2,4,9.8,31.3.2006
Matt Harpring,UTAH JAZZ,AWAY,LOS ANGELES CLIPPERS,LOSS,1892,8,15,0,1,0,0,3,2,0,2,0,2,4,9.8,31.3.2006
