name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
LeBron James,CLEVELAND CAVALIERS,AWAY,NEW YORK KNICKS,WIN,2630,16,30,7,13,11,16,1,7,10,4,0,2,3,44.0,5.3.2008
Chris Paul,NEW ORLEANS HORNETS,HOME,ATLANTA HAWKS,WIN,2289,9,16,3,4,2,2,1,1,18,2,0,1,0,30.0,5.3.2008
Monta Ellis,GOLDEN STATE WARRIORS,AWAY,CHARLOTTE BOBCATS,LOSS,2677,12,17,0,0,8,12,4,4,5,1,1,3,2,28.7,5.3.2008
Allen Iverson,DENVER NUGGETS,HOME,PHOENIX SUNS,WIN,2569,12,25,0,0,7,9,0,5,12,1,0,0,1,28.0,5.3.2008
Jason Richardson,CHARLOTTE BOBCATS,HOME,GOLDEN STATE WARRIORS,WIN,2880,15,32,5,12,7,7,2,5,2,1,0,4,3,25.7,5.3.2008
Carmelo Anthony,DENVER NUGGETS,HOME,PHOENIX SUNS,WIN,2288,12,20,0,0,6,8,6,7,1,0,2,3,3,24.2,5.3.2008
Peja Stojakovic,NEW ORLEANS HORNETS,HOME,ATLANTA HAWKS,WIN,2355,10,19,7,11,2,2,1,8,4,1,0,2,3,23.4,5.3.2008
Charlie Villanueva,MILWAUKEE BUCKS,HOME,SEATTLE SUPERSONICS,WIN,2452,12,26,3,6,5,5,1,10,3,1,2,3,2,23.0,5.3.2008
Andrew Bogut,MILWAUKEE BUCKS,HOME,SEATTLE SUPERSONICS,WIN,2457,9,15,0,0,3,8,4,9,7,2,4,3,4,22.7,5.3.2008
Kevin Garnett,BOSTON CELTICS,HOME,DETROIT PISTONS,WIN,2474,13,22,0,0,5,6,0,6,3,0,1,2,4,21.4,5.3.2008
Deron Williams,UTAH JAZZ,HOME,MINNESOTA TIMBERWOLVES,WIN,1791,9,15,0,2,3,6,0,2,11,1,0,0,2,21.4,5.3.2008
Chauncey Billups,DETROIT PISTONS,AWAY,BOSTON CELTICS,LOSS,2212,4,12,1,4,14,15,0,5,7,1,2,2,4,21.0,5.3.2008
Jamal Crawford,NEW YORK KNICKS,HOME,CLEVELAND CAVALIERS,LOSS,2232,9,16,4,8,3,4,1,1,3,2,1,2,2,20.0,5.3.2008
Rafer Alston,HOUSTON ROCKETS,HOME,INDIANA PACERS,WIN,1860,9,15,3,6,0,0,0,2,7,2,0,1,2,19.8,5.3.2008
Luther Head,HOUSTON ROCKETS,HOME,INDIANA PACERS,WIN,1565,5,5,4,4,0,0,0,2,4,3,0,0,0,18.9,5.3.2008
Boris Diaw,PHOENIX SUNS,AWAY,DENVER NUGGETS,LOSS,2227,7,12,1,2,2,2,0,3,6,2,1,0,1,18.8,5.3.2008
Joe Johnson,ATLANTA HAWKS,AWAY,NEW ORLEANS HORNETS,LOSS,2474,11,20,2,4,0,1,1,2,4,2,0,1,1,18.7,5.3.2008
Dwight Howard,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,1909,7,12,0,0,6,6,2,9,1,2,0,2,2,18.4,5.3.2008
Nate Robinson,NEW YORK KNICKS,HOME,CLEVELAND CAVALIERS,LOSS,2137,10,18,2,7,2,2,0,3,4,1,0,1,2,18.3,5.3.2008
Mikki Moore,SACRAMENTO KINGS,AWAY,LOS ANGELES CLIPPERS,LOSS,2429,7,9,0,0,6,8,1,4,4,0,0,0,6,18.0,5.3.2008
Jamario Moon,TORONTO RAPTORS,AWAY,MIAMI HEAT,WIN,1590,7,11,0,2,0,1,1,8,0,4,3,0,0,17.9,5.3.2008
Mike Miller,MEMPHIS GRIZZLIES,HOME,NEW JERSEY NETS,WIN,1816,9,13,1,2,3,6,1,5,1,2,0,2,1,17.8,5.3.2008
Hakim Warrick,MEMPHIS GRIZZLIES,HOME,NEW JERSEY NETS,WIN,2193,9,15,0,0,7,8,2,5,0,0,0,2,2,17.8,5.3.2008
Maurice Evans,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,1925,6,8,2,3,3,4,1,5,1,2,0,0,2,17.5,5.3.2008
Paul Pierce,BOSTON CELTICS,HOME,DETROIT PISTONS,WIN,1903,5,9,3,4,2,2,1,2,5,1,1,0,0,17.2,5.3.2008
Kevin Durant,SEATTLE SUPERSONICS,AWAY,MILWAUKEE BUCKS,LOSS,2309,9,18,0,1,5,6,2,1,2,3,0,1,4,17.1,5.3.2008
Carlos Boozer,UTAH JAZZ,HOME,MINNESOTA TIMBERWOLVES,WIN,1839,7,10,0,0,2,4,1,13,3,1,0,1,2,16.9,5.3.2008
Ronnie Brewer,UTAH JAZZ,HOME,MINNESOTA TIMBERWOLVES,WIN,1714,7,11,2,2,0,0,4,4,1,1,0,0,0,16.8,5.3.2008
Jose Calderon,TORONTO RAPTORS,AWAY,MIAMI HEAT,WIN,1587,4,6,1,1,0,0,1,2,13,1,0,1,0,16.8,5.3.2008
Dan Dickau,LOS ANGELES CLIPPERS,HOME,SACRAMENTO KINGS,WIN,2101,8,13,4,8,0,0,1,3,4,0,0,1,2,16.7,5.3.2008
Corey Maggette,LOS ANGELES CLIPPERS,HOME,SACRAMENTO KINGS,WIN,2829,6,21,1,6,12,13,1,4,8,0,0,2,3,16.6,5.3.2008
Keith Bogans,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,1107,6,8,3,5,2,2,0,1,2,1,0,0,0,16.5,5.3.2008
Eddy Curry,NEW YORK KNICKS,HOME,CLEVELAND CAVALIERS,LOSS,2123,5,8,0,0,10,14,2,3,2,0,2,2,4,16.3,5.3.2008
Marcus Banks,MIAMI HEAT,HOME,TORONTO RAPTORS,LOSS,1754,7,11,3,6,4,4,0,5,4,0,0,3,3,16.2,5.3.2008
Jared Dudley,CHARLOTTE BOBCATS,HOME,GOLDEN STATE WARRIORS,WIN,2434,4,8,1,2,1,1,7,11,1,1,2,0,3,16.1,5.3.2008
Baron Davis,GOLDEN STATE WARRIORS,AWAY,CHARLOTTE BOBCATS,LOSS,2320,12,22,1,4,5,6,1,3,3,0,0,6,3,15.5,5.3.2008
Tracy McGrady,HOUSTON ROCKETS,HOME,INDIANA PACERS,WIN,2106,10,22,4,9,1,2,1,5,5,0,0,3,1,15.5,5.3.2008
Al Thornton,LOS ANGELES CLIPPERS,HOME,SACRAMENTO KINGS,WIN,2204,10,21,2,3,5,10,2,3,0,0,4,2,5,15.4,5.3.2008
Jameer Nelson,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,1285,4,4,1,1,0,0,0,1,10,2,0,1,2,15.3,5.3.2008
Desmond Mason,MILWAUKEE BUCKS,HOME,SEATTLE SUPERSONICS,WIN,2145,4,4,0,0,8,11,0,3,3,0,0,1,1,15.2,5.3.2008
Jannero Pargo,NEW ORLEANS HORNETS,HOME,ATLANTA HAWKS,WIN,1814,9,18,3,7,1,1,1,2,3,1,0,1,3,15.2,5.3.2008
David Lee,NEW YORK KNICKS,HOME,CLEVELAND CAVALIERS,LOSS,2222,7,10,0,0,3,4,3,5,0,1,1,1,4,15.1,5.3.2008
Raymond Felton,CHARLOTTE BOBCATS,HOME,GOLDEN STATE WARRIORS,WIN,2506,8,19,1,3,5,6,1,2,6,2,0,2,5,15.0,5.3.2008
Chris Kaman,LOS ANGELES CLIPPERS,HOME,SACRAMENTO KINGS,WIN,2125,5,9,0,1,7,9,3,8,0,1,4,4,3,15.0,5.3.2008
Earl Watson,SEATTLE SUPERSONICS,AWAY,MILWAUKEE BUCKS,LOSS,2074,5,9,1,2,6,8,1,2,8,1,0,4,2,15.0,5.3.2008
Stephen Jackson,GOLDEN STATE WARRIORS,AWAY,CHARLOTTE BOBCATS,LOSS,2622,8,18,3,9,2,2,1,6,1,1,0,1,0,14.8,5.3.2008
DeShawn Stevenson,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,1889,7,12,2,3,1,1,0,5,4,1,0,2,0,14.7,5.3.2008
Kyle Lowry,MEMPHIS GRIZZLIES,HOME,NEW JERSEY NETS,WIN,2088,5,12,1,3,4,5,0,4,7,1,0,0,2,14.5,5.3.2008
Beno Udrih,SACRAMENTO KINGS,AWAY,LOS ANGELES CLIPPERS,LOSS,2794,11,19,0,0,3,4,1,3,4,0,0,4,4,14.5,5.3.2008
J.R. Smith,DENVER NUGGETS,HOME,PHOENIX SUNS,WIN,1242,7,12,6,8,0,0,1,1,1,0,0,2,0,14.1,5.3.2008
Tyson Chandler,NEW ORLEANS HORNETS,HOME,ATLANTA HAWKS,WIN,2367,6,15,0,0,2,2,11,5,1,0,2,2,3,14.0,5.3.2008
Nick Young,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,1230,5,5,2,2,3,4,0,4,1,0,0,1,0,14.0,5.3.2008
Charlie Bell,MILWAUKEE BUCKS,HOME,SEATTLE SUPERSONICS,WIN,1775,7,14,2,5,1,2,0,2,5,3,0,2,2,13.9,5.3.2008
Amar'e Stoudemire,PHOENIX SUNS,AWAY,DENVER NUGGETS,LOSS,1761,8,11,0,0,6,8,1,5,1,1,1,5,6,13.9,5.3.2008
Michael Redd,MILWAUKEE BUCKS,HOME,SEATTLE SUPERSONICS,WIN,1718,6,14,3,6,0,0,1,2,7,0,0,0,1,13.4,5.3.2008
Kirk Snyder,MINNESOTA TIMBERWOLVES,AWAY,UTAH JAZZ,LOSS,1867,4,8,0,1,8,10,1,3,2,0,0,0,2,13.4,5.3.2008
Emeka Okafor,CHARLOTTE BOBCATS,HOME,GOLDEN STATE WARRIORS,WIN,1887,3,13,0,0,10,18,4,7,2,1,3,1,0,13.3,5.3.2008
Damon Jones,CLEVELAND CAVALIERS,AWAY,NEW YORK KNICKS,WIN,1303,5,8,5,8,0,0,1,1,2,0,0,0,2,13.0,5.3.2008
Mike Bibby,ATLANTA HAWKS,AWAY,NEW ORLEANS HORNETS,LOSS,2309,8,14,1,6,4,5,0,3,4,1,0,5,2,12.9,5.3.2008
Anthony Carter,DENVER NUGGETS,HOME,PHOENIX SUNS,WIN,2208,4,9,3,5,0,0,0,3,11,2,0,2,5,12.9,5.3.2008
