name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
Leandro Barbosa,PHOENIX SUNS,AWAY,ORLANDO MAGIC,WIN,2573,15,26,8,13,1,1,0,7,6,2,0,2,2,32.3,10.11.2007
Brandon Roy,PORTLAND TRAIL BLAZERS,HOME,DALLAS MAVERICKS,WIN,2519,11,17,5,6,5,7,0,1,7,1,0,1,2,28.1,10.11.2007
Carlos Boozer,UTAH JAZZ,HOME,MEMPHIS GRIZZLIES,WIN,1899,13,20,0,0,5,6,4,3,3,1,0,0,4,27.0,10.11.2007
Carmelo Anthony,DENVER NUGGETS,AWAY,INDIANA PACERS,WIN,2197,10,23,2,6,10,12,1,9,5,1,1,3,1,24.3,10.11.2007
Dwight Howard,ORLANDO MAGIC,HOME,PHOENIX SUNS,LOSS,2541,13,24,0,1,7,16,7,11,3,0,1,4,2,24.0,10.11.2007
Allen Iverson,DENVER NUGGETS,AWAY,INDIANA PACERS,WIN,2569,7,17,3,8,10,12,0,5,10,3,0,4,2,23.8,10.11.2007
Steve Nash,PHOENIX SUNS,AWAY,ORLANDO MAGIC,WIN,2220,9,13,1,3,0,0,3,2,11,0,0,2,1,21.5,10.11.2007
Ray Allen,BOSTON CELTICS,AWAY,NEW JERSEY NETS,WIN,2880,7,17,4,8,9,10,2,8,5,0,0,3,1,21.4,10.11.2007
Paul Pierce,BOSTON CELTICS,AWAY,NEW JERSEY NETS,WIN,2408,9,19,4,7,6,8,0,3,4,2,0,2,2,20.4,10.11.2007
Kevin Martin,SACRAMENTO KINGS,HOME,MINNESOTA TIMBERWOLVES,WIN,2427,7,17,3,6,12,17,1,0,3,2,0,2,1,20.3,10.11.2007
Kevin Garnett,BOSTON CELTICS,AWAY,NEW JERSEY NETS,WIN,2570,5,14,0,0,8,8,2,12,6,3,1,2,3,19.9,10.11.2007
Andrei Kirilenko,UTAH JAZZ,HOME,MEMPHIS GRIZZLIES,WIN,2167,7,15,0,1,1,2,3,9,9,4,1,3,2,18.9,10.11.2007
Carlos Arroyo,ORLANDO MAGIC,HOME,PHOENIX SUNS,LOSS,1855,5,6,3,3,0,0,0,4,8,2,0,0,3,18.4,10.11.2007
Deron Williams,UTAH JAZZ,HOME,MEMPHIS GRIZZLIES,WIN,2190,8,14,2,3,2,2,0,5,13,0,0,4,5,18.0,10.11.2007
Richard Jefferson,NEW JERSEY NETS,HOME,BOSTON CELTICS,LOSS,2533,7,18,0,2,14,15,0,4,2,1,1,3,3,17.9,10.11.2007
Jason Kidd,NEW JERSEY NETS,HOME,BOSTON CELTICS,LOSS,2289,5,14,1,4,6,6,1,5,12,0,2,3,1,17.8,10.11.2007
Troy Murphy,INDIANA PACERS,HOME,DENVER NUGGETS,LOSS,1829,5,10,3,7,5,7,1,9,3,0,1,0,2,17.6,10.11.2007
Linas Kleiza,DENVER NUGGETS,AWAY,INDIANA PACERS,WIN,1846,7,12,2,7,5,5,2,5,0,0,0,1,1,16.9,10.11.2007
Theo Ratliff,MINNESOTA TIMBERWOLVES,AWAY,SACRAMENTO KINGS,LOSS,2212,5,7,0,1,4,5,4,3,1,0,6,1,6,15.9,10.11.2007
Mike Dunleavy,INDIANA PACERS,HOME,DENVER NUGGETS,LOSS,1941,7,11,2,4,1,2,1,5,4,1,1,3,2,14.6,10.11.2007
John Salmons,SACRAMENTO KINGS,HOME,MINNESOTA TIMBERWOLVES,WIN,1919,6,13,1,2,6,6,0,2,2,3,0,2,2,14.5,10.11.2007
Gordan Giricek,UTAH JAZZ,HOME,MEMPHIS GRIZZLIES,WIN,1378,7,9,2,3,0,0,1,3,2,2,0,3,1,14.1,10.11.2007
T.J. Ford,TORONTO RAPTORS,AWAY,CHICAGO BULLS,WIN,1469,2,3,0,0,1,1,1,2,14,1,0,1,2,14.0,10.11.2007
Marcus Camby,DENVER NUGGETS,AWAY,INDIANA PACERS,WIN,2311,4,10,0,0,2,3,1,9,3,4,5,3,1,13.8,10.11.2007
Corey Brewer,MINNESOTA TIMBERWOLVES,AWAY,SACRAMENTO KINGS,LOSS,1749,4,9,0,1,7,7,3,5,2,2,0,2,5,13.3,10.11.2007
Rudy Gay,MEMPHIS GRIZZLIES,AWAY,UTAH JAZZ,LOSS,1722,6,11,1,3,5,6,1,2,1,1,1,2,3,12.8,10.11.2007
Andres Nocioni,CHICAGO BULLS,HOME,TORONTO RAPTORS,LOSS,1752,8,14,2,4,2,2,2,3,1,0,0,3,2,12.6,10.11.2007
Carlos Delfino,TORONTO RAPTORS,AWAY,CHICAGO BULLS,WIN,1196,5,9,4,7,2,2,1,6,1,1,0,3,1,12.5,10.11.2007
Josh Howard,DALLAS MAVERICKS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2133,5,15,1,3,9,9,0,7,0,0,0,1,1,12.2,10.11.2007
Travis Outlaw,PORTLAND TRAIL BLAZERS,HOME,DALLAS MAVERICKS,WIN,1727,5,8,1,1,3,5,2,8,4,1,0,3,5,12.2,10.11.2007
Chris Bosh,TORONTO RAPTORS,AWAY,CHICAGO BULLS,WIN,1628,7,12,0,0,0,0,2,4,2,1,1,2,1,11.7,10.11.2007
Brad Miller,SACRAMENTO KINGS,HOME,MINNESOTA TIMBERWOLVES,WIN,2328,3,12,0,0,6,6,7,9,3,0,3,3,5,11.6,10.11.2007
Mike Conley,MEMPHIS GRIZZLIES,AWAY,UTAH JAZZ,LOSS,1389,2,5,0,0,6,8,1,1,9,0,0,2,1,11.4,10.11.2007
Al Jefferson,MINNESOTA TIMBERWOLVES,AWAY,SACRAMENTO KINGS,LOSS,2348,7,16,0,0,3,4,5,7,2,0,0,3,3,11.0,10.11.2007
Jeff Foster,INDIANA PACERS,HOME,DENVER NUGGETS,LOSS,1325,4,6,0,0,1,4,2,5,3,1,0,0,1,10.8,10.11.2007
Eddie House,BOSTON CELTICS,AWAY,NEW JERSEY NETS,WIN,1438,4,7,2,4,3,3,0,3,2,1,0,1,3,10.8,10.11.2007
Trevor Ariza,ORLANDO MAGIC,HOME,PHOENIX SUNS,LOSS,1217,5,8,0,0,1,1,0,3,2,0,1,0,0,10.4,10.11.2007
Shawn Marion,PHOENIX SUNS,AWAY,ORLANDO MAGIC,WIN,2101,4,11,1,5,2,2,1,7,3,2,0,1,2,10.0,10.11.2007
Vince Carter,NEW JERSEY NETS,HOME,BOSTON CELTICS,LOSS,1830,8,13,0,1,1,3,0,4,3,0,2,4,3,9.8,10.11.2007
Yakhouba Diawara,DENVER NUGGETS,AWAY,INDIANA PACERS,WIN,684,4,5,3,4,0,0,1,0,0,0,0,0,0,9.8,10.11.2007
Jermaine O'Neal,INDIANA PACERS,HOME,DENVER NUGGETS,LOSS,2154,5,14,0,1,5,8,3,9,4,1,1,4,4,9.7,10.11.2007
LaMarcus Aldridge,PORTLAND TRAIL BLAZERS,HOME,DALLAS MAVERICKS,WIN,2116,8,16,0,1,2,3,1,7,0,0,0,2,2,9.6,10.11.2007
Darrell Armstrong,NEW JERSEY NETS,HOME,BOSTON CELTICS,LOSS,1098,2,3,2,2,4,4,0,1,0,1,1,0,3,9.5,10.11.2007
Andrea Bargnani,TORONTO RAPTORS,AWAY,CHICAGO BULLS,WIN,1279,4,7,2,4,4,4,0,0,2,0,0,1,4,9.5,10.11.2007
Rajon Rondo,BOSTON CELTICS,AWAY,NEW JERSEY NETS,WIN,2270,5,11,0,0,1,2,1,4,5,1,0,1,2,9.5,10.11.2007
Ronnie Brewer,UTAH JAZZ,HOME,MEMPHIS GRIZZLIES,WIN,1342,4,8,0,0,2,2,1,1,1,2,0,0,1,9.3,10.11.2007
Jamario Moon,TORONTO RAPTORS,AWAY,CHICAGO BULLS,WIN,1410,6,10,0,1,0,0,1,5,0,3,1,2,5,9.3,10.11.2007
Jason Terry,DALLAS MAVERICKS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1894,6,14,0,4,4,4,0,3,3,1,2,4,2,9.2,10.11.2007
Jamaal Tinsley,INDIANA PACERS,HOME,DENVER NUGGETS,LOSS,2080,5,15,1,5,0,0,3,4,10,3,0,5,4,9.2,10.11.2007
Brandon Bass,DALLAS MAVERICKS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,1447,5,9,0,0,3,3,2,5,0,0,0,1,4,9.0,10.11.2007
Greg Buckner,MINNESOTA TIMBERWOLVES,AWAY,SACRAMENTO KINGS,LOSS,1339,4,7,0,1,0,0,0,4,5,0,0,0,1,9.0,10.11.2007
Glen Davis,BOSTON CELTICS,AWAY,NEW JERSEY NETS,WIN,1029,2,5,0,0,2,2,6,2,2,2,1,1,6,8.8,10.11.2007
Anthony Parker,TORONTO RAPTORS,AWAY,CHICAGO BULLS,WIN,1274,5,8,2,2,0,1,0,3,1,1,0,1,2,8.8,10.11.2007
Kenny Thomas,SACRAMENTO KINGS,HOME,MINNESOTA TIMBERWOLVES,WIN,1805,3,4,0,0,0,0,3,4,1,2,0,0,4,8.8,10.11.2007
Shawne Williams,INDIANA PACERS,HOME,DENVER NUGGETS,LOSS,1037,5,8,2,3,0,0,2,0,0,2,0,1,5,8.8,10.11.2007
Kendrick Perkins,BOSTON CELTICS,AWAY,NEW JERSEY NETS,WIN,1137,4,5,0,0,0,0,1,4,2,0,1,0,4,8.5,10.11.2007
Sean Williams,NEW JERSEY NETS,HOME,BOSTON CELTICS,LOSS,662,4,5,0,0,2,2,1,3,0,0,0,0,3,8.5,10.11.2007
Dirk Nowitzki,DALLAS MAVERICKS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2262,4,13,0,2,3,3,1,8,5,1,0,1,5,8.1,10.11.2007
Pau Gasol,MEMPHIS GRIZZLIES,AWAY,UTAH JAZZ,LOSS,1580,3,8,0,0,5,6,1,3,1,0,1,1,1,7.8,10.11.2007
Antoine Wright,NEW JERSEY NETS,HOME,BOSTON CELTICS,LOSS,1658,4,6,1,1,0,0,0,4,0,2,1,1,4,7.7,10.11.2007
Boris Diaw,PHOENIX SUNS,AWAY,ORLANDO MAGIC,WIN,2246,4,10,0,0,0,0,2,1,5,0,0,0,1,7.4,10.11.2007
