name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
Kobe Bryant,LOS ANGELES LAKERS,HOME,UTAH JAZZ,WIN,2561,13,19,1,2,6,8,0,6,3,3,2,5,4,25.8,4.11.2007
Steve Nash,PHOENIX SUNS,HOME,CLEVELAND CAVALIERS,WIN,2110,12,19,1,3,5,5,0,4,10,1,0,5,0,25.7,4.11.2007
Ray Allen,BOSTON CELTICS,AWAY,TORONTO RAPTORS,WIN,2950,11,16,7,11,4,4,0,4,0,0,0,2,1,25.0,4.11.2007
Corey Maggette,LOS ANGELES CLIPPERS,HOME,SEATTLE SUPERSONICS,WIN,2227,7,13,0,1,13,14,3,3,3,2,0,2,3,24.2,4.11.2007
LeBron James,CLEVELAND CAVALIERS,AWAY,PHOENIX SUNS,LOSS,2593,11,26,3,5,2,2,1,4,8,2,4,3,0,22.5,4.11.2007
Kevin Garnett,BOSTON CELTICS,AWAY,TORONTO RAPTORS,WIN,2618,9,18,0,0,5,7,3,10,6,3,0,3,5,20.5,4.11.2007
T.J. Ford,TORONTO RAPTORS,HOME,BOSTON CELTICS,LOSS,2078,12,21,3,4,5,6,0,0,5,1,0,5,2,20.4,4.11.2007
Shawn Marion,PHOENIX SUNS,HOME,CLEVELAND CAVALIERS,WIN,2742,7,17,2,5,7,8,2,10,1,2,2,1,2,20.2,4.11.2007
Deron Williams,UTAH JAZZ,AWAY,LOS ANGELES LAKERS,LOSS,2388,10,18,3,5,3,4,1,1,5,0,1,1,3,20.0,4.11.2007
Chauncey Billups,DETROIT PISTONS,HOME,ATLANTA HAWKS,WIN,2147,7,17,3,6,5,6,1,2,5,4,2,3,0,19.7,4.11.2007
Damien Wilkins,SEATTLE SUPERSONICS,AWAY,LOS ANGELES CLIPPERS,LOSS,2176,7,13,1,4,7,8,0,5,6,1,0,2,2,19.2,4.11.2007
Kevin Durant,SEATTLE SUPERSONICS,AWAY,LOS ANGELES CLIPPERS,LOSS,2237,10,19,3,6,1,2,0,8,5,0,1,1,2,19.1,4.11.2007
Carlos Boozer,UTAH JAZZ,AWAY,LOS ANGELES LAKERS,LOSS,2148,9,18,0,0,5,5,3,9,6,2,1,5,5,18.7,4.11.2007
Jason Richardson,CHARLOTTE BOBCATS,AWAY,MIAMI HEAT,WIN,2633,10,16,6,11,3,5,2,3,1,1,0,5,4,18.4,4.11.2007
Emeka Okafor,CHARLOTTE BOBCATS,AWAY,MIAMI HEAT,WIN,2311,7,13,0,0,2,3,3,10,2,3,1,0,3,18.3,4.11.2007
Tim Thomas,LOS ANGELES CLIPPERS,HOME,SEATTLE SUPERSONICS,WIN,1984,8,15,4,7,0,0,0,5,3,1,2,0,2,17.9,4.11.2007
Jamal Crawford,NEW YORK KNICKS,HOME,MINNESOTA TIMBERWOLVES,WIN,2520,8,15,1,3,7,8,1,0,7,2,0,5,3,17.7,4.11.2007
Jason Maxiell,DETROIT PISTONS,HOME,ATLANTA HAWKS,WIN,1557,7,11,0,0,1,2,4,4,2,1,4,1,1,17.5,4.11.2007
Marvin Williams,ATLANTA HAWKS,AWAY,DETROIT PISTONS,LOSS,2312,8,12,1,1,5,6,2,4,2,1,0,2,5,17.4,4.11.2007
Joe Johnson,ATLANTA HAWKS,AWAY,DETROIT PISTONS,LOSS,2379,9,17,2,5,3,4,1,4,4,0,0,1,2,17.2,4.11.2007
Stephon Marbury,NEW YORK KNICKS,HOME,MINNESOTA TIMBERWOLVES,WIN,2353,4,9,2,5,7,8,0,1,7,1,0,1,0,17.1,4.11.2007
Richard Hamilton,DETROIT PISTONS,HOME,ATLANTA HAWKS,WIN,2036,10,15,0,0,1,1,3,1,5,1,0,2,6,17.0,4.11.2007
Zydrunas Ilgauskas,CLEVELAND CAVALIERS,AWAY,PHOENIX SUNS,LOSS,2228,9,20,0,1,4,4,7,6,0,0,2,1,5,16.7,4.11.2007
Tyson Chandler,NEW ORLEANS HORNETS,AWAY,DENVER NUGGETS,WIN,2207,5,8,0,0,2,4,8,9,1,0,2,1,2,16.2,4.11.2007
Chris Bosh,TORONTO RAPTORS,HOME,BOSTON CELTICS,LOSS,2643,5,15,0,0,9,9,4,6,2,1,5,3,5,16.0,4.11.2007
Chris Paul,NEW ORLEANS HORNETS,AWAY,DENVER NUGGETS,WIN,2289,3,11,0,1,9,12,1,7,11,4,0,5,2,16.0,4.11.2007
Shaquille O'Neal,MIAMI HEAT,HOME,CHARLOTTE BOBCATS,LOSS,1903,8,11,0,0,1,2,3,6,2,0,2,1,5,15.8,4.11.2007
Ruben Patterson,LOS ANGELES CLIPPERS,HOME,SEATTLE SUPERSONICS,WIN,1250,4,7,0,0,5,8,2,1,2,6,0,2,0,15.6,4.11.2007
Udonis Haslem,MIAMI HEAT,HOME,CHARLOTTE BOBCATS,LOSS,2241,9,17,0,0,0,1,5,5,2,2,0,2,2,14.9,4.11.2007
David Lee,NEW YORK KNICKS,HOME,MINNESOTA TIMBERWOLVES,WIN,1624,4,5,0,0,6,6,2,5,1,0,0,0,2,14.9,4.11.2007
Andrew Bynum,LOS ANGELES LAKERS,HOME,UTAH JAZZ,WIN,1162,6,7,0,0,3,3,1,8,2,0,0,0,6,14.6,4.11.2007
Raymond Felton,CHARLOTTE BOBCATS,AWAY,MIAMI HEAT,WIN,2521,7,14,1,2,4,4,0,4,7,2,0,5,3,13.9,4.11.2007
Derek Fisher,LOS ANGELES LAKERS,HOME,UTAH JAZZ,WIN,1834,3,11,0,2,13,14,0,3,5,1,0,3,2,13.7,4.11.2007
Al Jefferson,MINNESOTA TIMBERWOLVES,AWAY,NEW YORK KNICKS,LOSS,2229,8,15,0,0,0,0,6,6,1,1,1,2,4,13.5,4.11.2007
Drew Gooden,CLEVELAND CAVALIERS,AWAY,PHOENIX SUNS,LOSS,2281,10,16,0,0,2,4,1,13,0,0,0,4,3,13.4,4.11.2007
Boris Diaw,PHOENIX SUNS,HOME,CLEVELAND CAVALIERS,WIN,2264,6,12,0,0,4,4,0,8,3,2,2,3,5,12.9,4.11.2007
Chris Kaman,LOS ANGELES CLIPPERS,HOME,SEATTLE SUPERSONICS,WIN,2002,4,9,0,0,2,2,2,13,1,1,3,0,4,12.8,4.11.2007
Ryan Gomes,MINNESOTA TIMBERWOLVES,AWAY,NEW YORK KNICKS,LOSS,2163,7,17,3,4,2,2,1,6,3,1,0,2,3,12.3,4.11.2007
Allen Iverson,DENVER NUGGETS,HOME,NEW ORLEANS HORNETS,LOSS,2792,8,25,2,6,5,6,0,5,8,1,0,4,1,12.0,4.11.2007
Ronnie Brewer,UTAH JAZZ,AWAY,LOS ANGELES LAKERS,LOSS,2046,6,9,0,0,3,6,1,0,1,2,0,1,1,11.9,4.11.2007
Jordan Farmar,LOS ANGELES LAKERS,HOME,UTAH JAZZ,WIN,1046,5,8,1,4,1,1,1,1,4,0,0,0,1,11.8,4.11.2007
Marcus Camby,DENVER NUGGETS,HOME,NEW ORLEANS HORNETS,LOSS,2024,4,11,0,0,0,0,5,16,5,1,2,3,4,11.5,4.11.2007
Nene Hilario,DENVER NUGGETS,HOME,NEW ORLEANS HORNETS,LOSS,1260,4,6,0,1,4,6,3,3,2,1,1,2,5,10.7,4.11.2007
Chris Wilcox,SEATTLE SUPERSONICS,AWAY,LOS ANGELES CLIPPERS,LOSS,1785,8,14,0,0,1,2,3,6,0,0,0,2,4,10.3,4.11.2007
Dorell Wright,MIAMI HEAT,HOME,CHARLOTTE BOBCATS,LOSS,2262,3,8,0,1,5,6,1,5,2,1,1,0,4,9.9,4.11.2007
Luke Walton,LOS ANGELES LAKERS,HOME,UTAH JAZZ,WIN,2103,4,8,0,2,2,3,2,4,6,1,0,2,4,9.8,4.11.2007
Rasual Butler,NEW ORLEANS HORNETS,AWAY,DENVER NUGGETS,WIN,1736,4,7,3,5,0,0,0,2,2,0,1,0,2,9.6,4.11.2007
Eddie House,BOSTON CELTICS,AWAY,TORONTO RAPTORS,WIN,1531,3,7,2,5,2,2,0,4,3,0,1,0,2,9.5,4.11.2007
Sam Cassell,LOS ANGELES CLIPPERS,HOME,SEATTLE SUPERSONICS,WIN,1355,4,12,1,4,2,2,1,4,5,1,0,1,1,9.2,4.11.2007
Kenyon Martin,DENVER NUGGETS,HOME,NEW ORLEANS HORNETS,LOSS,1300,3,7,0,0,3,4,2,5,0,1,4,2,1,9.2,4.11.2007
Cuttino Mobley,LOS ANGELES CLIPPERS,HOME,SEATTLE SUPERSONICS,WIN,1811,8,16,1,3,0,1,1,5,2,1,0,2,5,9.2,4.11.2007
Andrei Kirilenko,UTAH JAZZ,AWAY,LOS ANGELES LAKERS,LOSS,1915,4,7,0,0,6,8,1,3,2,1,0,3,5,8.9,4.11.2007
Bobby Jackson,NEW ORLEANS HORNETS,AWAY,DENVER NUGGETS,WIN,1408,5,10,3,5,0,0,0,3,1,1,0,1,2,8.8,4.11.2007
Jeff Green,SEATTLE SUPERSONICS,AWAY,LOS ANGELES CLIPPERS,LOSS,1390,4,7,0,0,6,6,2,5,0,0,1,4,4,8.7,4.11.2007
Eddy Curry,NEW YORK KNICKS,HOME,MINNESOTA TIMBERWOLVES,WIN,2086,6,8,0,0,2,6,1,6,0,0,0,2,3,8.5,4.11.2007
David West,NEW ORLEANS HORNETS,AWAY,DENVER NUGGETS,WIN,2272,7,23,0,1,3,5,0,13,3,2,2,3,2,8.5,4.11.2007
Greg Buckner,MINNESOTA TIMBERWOLVES,AWAY,NEW YORK KNICKS,LOSS,1665,5,9,2,5,1,1,1,5,0,1,0,2,4,8.3,4.11.2007
Josh Childress,ATLANTA HAWKS,AWAY,DETROIT PISTONS,LOSS,1479,3,5,0,0,1,1,0,1,1,2,2,0,2,8.3,4.11.2007
Antonio McDyess,DETROIT PISTONS,HOME,ATLANTA HAWKS,WIN,1734,2,2,0,0,0,0,2,7,4,1,0,1,4,8.1,4.11.2007
Jason Kapono,TORONTO RAPTORS,HOME,BOSTON CELTICS,LOSS,2158,4,7,1,3,1,2,1,4,0,1,0,0,3,8.0,4.11.2007
Josh Smith,ATLANTA HAWKS,AWAY,DETROIT PISTONS,LOSS,2321,4,17,0,2,5,5,3,7,2,2,5,5,2,8.0,4.11.2007
Craig Smith,MINNESOTA TIMBERWOLVES,AWAY,NEW YORK KNICKS,LOSS,1394,6,10,0,0,2,4,2,3,0,0,0,1,5,7.9,4.11.2007
Leandro Barbosa,PHOENIX SUNS,HOME,CLEVELAND CAVALIERS,WIN,1406,6,14,0,4,2,6,0,2,2,1,0,0,1,7.6,4.11.2007
Rasheed Wallace,DETROIT PISTONS,HOME,ATLANTA HAWKS,WIN,2212,3,12,0,3,2,4,1,5,5,1,3,0,3,7.6,4.11.2007
Paul Millsap,UTAH JAZZ,AWAY,LOS ANGELES LAKERS,LOSS,919,4,5,0,0,2,4,0,3,0,1,1,1,4,7.3,4.11.2007
Alonzo Mourning,MIAMI HEAT,HOME,CHARLOTTE BOBCATS,LOSS,977,1,3,0,0,6,8,2,2,0,0,1,1,0,7.2,4.11.2007
Nate Robinson,NEW YORK KNICKS,HOME,MINNESOTA TIMBERWOLVES,WIN,968,3,7,2,4,2,2,1,1,1,1,0,1,2,7.2,4.11.2007
Sebastian Telfair,MINNESOTA TIMBERWOLVES,AWAY,NEW YORK KNICKS,LOSS,2218,4,14,1,3,0,0,0,4,7,1,0,0,2,7.1,4.11.2007
Mehmet Okur,UTAH JAZZ,AWAY,LOS ANGELES LAKERS,LOSS,2136,3,14,0,5,7,9,3,4,5,0,0,1,6,7.0,4.11.2007
Ronny Turiaf,LOS ANGELES LAKERS,HOME,UTAH JAZZ,WIN,1419,5,6,0,0,0,2,1,3,2,0,0,1,5,7.0,4.11.2007
Vladimir Radmanovic,LOS ANGELES LAKERS,HOME,UTAH JAZZ,WIN,1516,2,6,1,3,4,4,0,2,2,1,0,1,2,6.8,4.11.2007
Kwame Brown,LOS ANGELES LAKERS,HOME,UTAH JAZZ,WIN,1237,3,6,0,0,0,0,1,3,3,1,4,3,2,6.7,4.11.2007
Gerald Wallace,CHARLOTTE BOBCATS,AWAY,MIAMI HEAT,WIN,2423,4,11,1,3,4,5,1,5,2,1,0,3,4,6.5,4.11.2007
Acie Law,ATLANTA HAWKS,AWAY,DETROIT PISTONS,LOSS,1342,5,6,1,1,0,0,0,0,0,2,0,4,1,6.4,4.11.2007
Grant Hill,PHOENIX SUNS,HOME,CLEVELAND CAVALIERS,WIN,2408,4,12,0,1,0,0,3,2,2,3,0,0,5,6.3,4.11.2007
Rashad McCants,MINNESOTA TIMBERWOLVES,AWAY,NEW YORK KNICKS,LOSS,1319,5,11,3,4,0,1,0,2,2,0,1,1,6,6.2,4.11.2007
Carmelo Anthony,DENVER NUGGETS,HOME,NEW ORLEANS HORNETS,LOSS,2452,8,24,0,2,4,6,1,2,1,1,0,2,2,5.8,4.11.2007
Morris Peterson,NEW ORLEANS HORNETS,AWAY,DENVER NUGGETS,WIN,1118,5,10,1,4,1,1,0,0,0,0,0,0,3,5.8,4.11.2007
Shelden Williams,ATLANTA HAWKS,AWAY,DETROIT PISTONS,LOSS,846,1,2,0,0,4,6,1,6,1,0,0,1,2,5.6,4.11.2007
Anfernee Hardaway,MIAMI HEAT,HOME,CHARLOTTE BOBCATS,LOSS,1115,3,7,0,0,1,2,0,3,3,0,0,0,1,5.5,4.11.2007
Paul Pierce,BOSTON CELTICS,AWAY,TORONTO RAPTORS,WIN,2734,4,17,0,4,5,6,0,5,6,2,0,3,4,5.4,4.11.2007
Johan Petro,SEATTLE SUPERSONICS,AWAY,LOS ANGELES CLIPPERS,LOSS,280,1,1,0,0,3,4,1,1,0,0,0,0,0,5.3,4.11.2007
Jeff McInnis,CHARLOTTE BOBCATS,AWAY,MIAMI HEAT,WIN,1448,1,4,0,1,2,2,0,2,5,1,0,1,2,4.9,4.11.2007
Linas Kleiza,DENVER NUGGETS,HOME,NEW ORLEANS HORNETS,LOSS,1463,3,7,1,5,2,2,1,2,0,0,0,1,2,4.8,4.11.2007
Ryan Bowen,NEW ORLEANS HORNETS,AWAY,DENVER NUGGETS,WIN,580,1,2,0,0,0,0,2,0,2,1,1,0,2,4.7,4.11.2007
Tayshaun Prince,DETROIT PISTONS,HOME,ATLANTA HAWKS,WIN,2172,2,9,1,3,3,4,0,5,4,0,1,2,1,4.7,4.11.2007
Carlos Delfino,TORONTO RAPTORS,HOME,BOSTON CELTICS,LOSS,1824,2,6,2,5,0,0,1,3,2,1,0,0,5,4.6,4.11.2007
Jarvis Hayes,DETROIT PISTONS,HOME,ATLANTA HAWKS,WIN,1217,4,7,0,2,0,0,1,0,0,1,0,1,2,4.6,4.11.2007
Zach Randolph,NEW YORK KNICKS,HOME,MINNESOTA TIMBERWOLVES,WIN,2015,6,18,0,0,3,5,3,7,0,0,0,2,4,4.6,4.11.2007
Brian Skinner,PHOENIX SUNS,HOME,CLEVELAND CAVALIERS,WIN,754,2,2,0,0,0,2,2,2,0,0,0,0,0,4.6,4.11.2007
Ricky Davis,MIAMI HEAT,HOME,CHARLOTTE BOBCATS,LOSS,1943,5,11,2,4,0,0,0,3,3,1,0,5,2,4.5,4.11.2007
Eduardo Najera,DENVER NUGGETS,HOME,NEW ORLEANS HORNETS,LOSS,1176,1,4,0,2,0,0,3,0,1,2,0,0,0,4.4,4.11.2007
