name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
Raja Bell,PHOENIX SUNS,HOME,SAN ANTONIO SPURS,WIN,2406,8,11,5,7,6,6,1,5,5,0,0,0,2,27.4,27.4.2008
Tayshaun Prince,DETROIT PISTONS,AWAY,PHILADELPHIA 76ERS,WIN,2701,11,12,1,1,0,0,4,2,2,4,0,2,1,25.4,27.4.2008
LeBron James,CLEVELAND CAVALIERS,AWAY,WASHINGTON WIZARDS,WIN,2663,11,25,3,8,9,14,2,10,7,2,0,5,5,23.2,27.4.2008
David West,NEW ORLEANS HORNETS,AWAY,DALLAS MAVERICKS,WIN,2246,10,21,0,0,4,4,2,7,2,1,1,1,3,17.7,27.4.2008
Antawn Jamison,WASHINGTON WIZARDS,HOME,CLEVELAND CAVALIERS,LOSS,2474,8,17,1,4,6,9,2,9,0,3,0,2,2,17.4,27.4.2008
Delonte West,CLEVELAND CAVALIERS,AWAY,WASHINGTON WIZARDS,WIN,2185,7,12,5,8,2,2,1,1,5,3,0,4,4,17.3,27.4.2008
Dirk Nowitzki,DALLAS MAVERICKS,HOME,NEW ORLEANS HORNETS,LOSS,2485,8,18,2,4,4,7,3,10,3,1,0,2,3,16.4,27.4.2008
Boris Diaw,PHOENIX SUNS,HOME,SAN ANTONIO SPURS,WIN,2691,10,19,0,2,0,0,3,7,8,0,2,4,6,15.5,27.4.2008
Thaddeus Young,PHILADELPHIA 76ERS,HOME,DETROIT PISTONS,LOSS,1922,5,9,1,1,4,4,2,7,3,0,0,0,2,15.5,27.4.2008
Chris Paul,NEW ORLEANS HORNETS,AWAY,DALLAS MAVERICKS,WIN,2221,6,14,0,2,4,5,0,7,8,1,0,1,3,14.7,27.4.2008
Steve Nash,PHOENIX SUNS,HOME,SAN ANTONIO SPURS,WIN,1757,6,11,1,3,2,2,0,5,4,1,0,0,1,14.6,27.4.2008
Shaquille O'Neal,PHOENIX SUNS,HOME,SAN ANTONIO SPURS,WIN,1415,4,10,0,0,6,10,5,7,1,2,2,1,3,14.5,27.4.2008
Brendan Haywood,WASHINGTON WIZARDS,HOME,CLEVELAND CAVALIERS,LOSS,2079,5,10,0,0,6,8,1,5,2,1,2,1,3,14.0,27.4.2008
Caron Butler,WASHINGTON WIZARDS,HOME,CLEVELAND CAVALIERS,LOSS,2730,7,14,1,2,4,5,0,2,4,1,0,1,4,13.4,27.4.2008
Peja Stojakovic,NEW ORLEANS HORNETS,AWAY,DALLAS MAVERICKS,WIN,2081,6,13,3,4,4,4,0,5,0,0,0,0,1,13.4,27.4.2008
Chauncey Billups,DETROIT PISTONS,AWAY,PHILADELPHIA 76ERS,WIN,2442,4,16,1,7,9,10,1,5,7,2,0,3,2,13.3,27.4.2008
Rasheed Wallace,DETROIT PISTONS,AWAY,PHILADELPHIA 76ERS,WIN,2583,5,12,4,7,6,8,2,8,3,1,0,5,4,13.1,27.4.2008
Samuel Dalembert,PHILADELPHIA 76ERS,HOME,DETROIT PISTONS,LOSS,2255,3,5,0,0,6,6,3,9,1,0,2,3,5,11.6,27.4.2008
Brandon Bass,DALLAS MAVERICKS,HOME,NEW ORLEANS HORNETS,LOSS,1525,5,12,0,0,2,2,6,3,0,0,1,0,1,11.0,27.4.2008
Jason Terry,DALLAS MAVERICKS,HOME,NEW ORLEANS HORNETS,LOSS,2451,6,16,2,7,6,7,0,0,3,0,0,1,3,10.7,27.4.2008
DeShawn Stevenson,WASHINGTON WIZARDS,HOME,CLEVELAND CAVALIERS,LOSS,1952,5,12,2,7,1,1,2,3,5,1,0,2,2,10.6,27.4.2008
Lou Williams,PHILADELPHIA 76ERS,HOME,DETROIT PISTONS,LOSS,805,3,5,1,2,3,4,0,2,4,0,0,0,1,10.3,27.4.2008
Morris Peterson,NEW ORLEANS HORNETS,AWAY,DALLAS MAVERICKS,WIN,1605,4,5,0,1,2,2,0,3,0,0,2,0,1,10.0,27.4.2008
Tim Duncan,SAN ANTONIO SPURS,AWAY,PHOENIX SUNS,LOSS,1716,6,18,0,0,2,2,5,5,2,0,2,1,2,9.8,27.4.2008
Richard Hamilton,DETROIT PISTONS,AWAY,PHILADELPHIA 76ERS,WIN,2618,7,22,0,1,4,4,1,4,7,1,0,2,4,9.6,27.4.2008
Julian Wright,NEW ORLEANS HORNETS,AWAY,DALLAS MAVERICKS,WIN,1122,5,6,0,1,1,2,0,2,0,2,0,1,1,9.6,27.4.2008
Damon Stoudamire,SAN ANTONIO SPURS,AWAY,PHOENIX SUNS,LOSS,769,4,8,1,1,2,3,1,2,1,0,0,0,0,8.6,27.4.2008
Daniel Gibson,CLEVELAND CAVALIERS,AWAY,WASHINGTON WIZARDS,WIN,2050,4,10,4,7,0,0,0,1,5,1,0,2,3,8.2,27.4.2008
Joe Smith,CLEVELAND CAVALIERS,AWAY,WASHINGTON WIZARDS,WIN,1125,1,6,0,0,5,5,5,3,1,1,0,0,3,8.1,27.4.2008
Antonio Daniels,WASHINGTON WIZARDS,HOME,CLEVELAND CAVALIERS,LOSS,1043,2,4,1,1,2,2,0,2,3,1,0,1,0,7.7,27.4.2008
Jannero Pargo,NEW ORLEANS HORNETS,AWAY,DALLAS MAVERICKS,WIN,1488,4,9,1,2,2,4,0,6,2,1,0,2,1,7.3,27.4.2008
Andre Miller,PHILADELPHIA 76ERS,HOME,DETROIT PISTONS,LOSS,2537,6,13,0,1,1,2,1,1,3,2,0,4,0,7.0,27.4.2008
Ben Wallace,CLEVELAND CAVALIERS,AWAY,WASHINGTON WIZARDS,WIN,1961,0,0,0,0,0,2,4,8,2,2,2,1,3,7.0,27.4.2008
J.J. Barea,DALLAS MAVERICKS,HOME,NEW ORLEANS HORNETS,LOSS,315,3,4,2,2,0,0,0,0,1,0,0,0,1,6.7,27.4.2008
Tony Parker,SAN ANTONIO SPURS,AWAY,PHOENIX SUNS,LOSS,1759,7,17,0,0,4,7,3,1,3,0,0,5,2,6.4,27.4.2008
Antonio McDyess,DETROIT PISTONS,AWAY,PHILADELPHIA 76ERS,WIN,1225,5,8,0,0,0,0,2,2,0,0,0,1,3,6.2,27.4.2008
Zydrunas Ilgauskas,CLEVELAND CAVALIERS,AWAY,WASHINGTON WIZARDS,WIN,1727,4,8,0,0,1,2,2,5,1,1,0,2,4,5.6,27.4.2008
Willie Green,PHILADELPHIA 76ERS,HOME,DETROIT PISTONS,LOSS,1545,6,12,0,0,1,2,1,2,3,0,1,3,6,5.3,27.4.2008
Amar'e Stoudemire,PHOENIX SUNS,HOME,SAN ANTONIO SPURS,WIN,1863,3,11,0,0,1,3,3,6,1,1,3,1,3,5.2,27.4.2008
Leandro Barbosa,PHOENIX SUNS,HOME,SAN ANTONIO SPURS,WIN,1659,5,15,2,5,3,4,0,1,1,0,0,1,3,4.9,27.4.2008
Roger Mason,WASHINGTON WIZARDS,HOME,CLEVELAND CAVALIERS,LOSS,967,2,4,1,1,0,0,0,0,2,1,0,0,2,4.6,27.4.2008
Erick Dampier,DALLAS MAVERICKS,HOME,NEW ORLEANS HORNETS,LOSS,1096,2,3,0,0,0,0,3,2,0,0,1,1,2,4.3,27.4.2008
Fabricio Oberto,SAN ANTONIO SPURS,AWAY,PHOENIX SUNS,LOSS,797,0,0,0,0,3,4,1,2,2,1,0,0,5,4.3,27.4.2008
Gilbert Arenas,WASHINGTON WIZARDS,HOME,CLEVELAND CAVALIERS,LOSS,1943,3,8,1,4,3,4,0,2,2,2,0,4,3,4.0,27.4.2008
Jason Smith,PHILADELPHIA 76ERS,HOME,DETROIT PISTONS,LOSS,664,2,2,0,0,0,0,0,2,1,0,1,1,1,4.0,27.4.2008
Michael Finley,SAN ANTONIO SPURS,AWAY,PHOENIX SUNS,LOSS,1344,2,4,1,2,2,2,0,0,0,0,0,0,3,3.8,27.4.2008
Manu Ginobili,SAN ANTONIO SPURS,AWAY,PHOENIX SUNS,LOSS,1271,4,8,0,0,2,2,0,4,1,0,1,4,2,3.8,27.4.2008
Gordan Giricek,PHOENIX SUNS,HOME,SAN ANTONIO SPURS,WIN,1391,2,7,1,2,2,2,0,1,0,2,0,1,1,3.8,27.4.2008
Darius Songaila,WASHINGTON WIZARDS,HOME,CLEVELAND CAVALIERS,LOSS,652,0,0,0,0,4,4,1,1,0,0,0,0,3,3.8,27.4.2008
Ime Udoka,SAN ANTONIO SPURS,AWAY,PHOENIX SUNS,LOSS,840,2,4,0,0,0,0,0,5,1,0,0,0,1,3.8,27.4.2008
Jason Maxiell,DETROIT PISTONS,AWAY,PHILADELPHIA 76ERS,WIN,1910,2,6,0,0,0,0,2,3,1,1,3,1,5,3.7,27.4.2008
