name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
T.J. Ford,TORONTO RAPTORS,HOME,GOLDEN STATE WARRIORS,LOSS,1985,12,22,0,1,5,5,2,4,9,2,0,3,4,24.7,18.11.2007
Paul Pierce,BOSTON CELTICS,AWAY,ORLANDO MAGIC,LOSS,2553,10,17,0,2,8,11,0,5,6,2,0,3,2,22.8,18.11.2007
Beno Udrih,SACRAMENTO KINGS,HOME,DETROIT PISTONS,WIN,2327,9,13,0,1,5,5,1,3,6,0,1,1,2,22.2,18.11.2007
Dwight Howard,ORLANDO MAGIC,HOME,BOSTON CELTICS,WIN,2517,7,9,0,0,10,20,1,5,2,3,3,2,4,21.6,18.11.2007
Jordan Farmar,LOS ANGELES LAKERS,HOME,CHICAGO BULLS,WIN,1489,5,7,2,4,2,2,0,4,8,3,0,3,1,17.5,18.11.2007
Tayshaun Prince,DETROIT PISTONS,AWAY,SACRAMENTO KINGS,LOSS,2319,8,12,1,1,2,4,1,4,3,1,1,1,1,17.3,18.11.2007
Rasheed Wallace,DETROIT PISTONS,AWAY,SACRAMENTO KINGS,LOSS,2398,7,10,0,2,3,4,1,11,2,1,1,1,3,17.3,18.11.2007
Stephen Jackson,GOLDEN STATE WARRIORS,AWAY,TORONTO RAPTORS,WIN,2467,4,9,1,5,8,11,1,2,5,1,2,1,3,16.1,18.11.2007
Rashard Lewis,ORLANDO MAGIC,HOME,BOSTON CELTICS,WIN,2424,6,11,2,6,8,10,1,1,3,1,0,3,4,15.4,18.11.2007
Ben Gordon,CHICAGO BULLS,AWAY,LOS ANGELES LAKERS,LOSS,2426,8,17,0,2,4,4,0,3,3,3,0,1,3,15.1,18.11.2007
Andris Biedrins,GOLDEN STATE WARRIORS,AWAY,TORONTO RAPTORS,WIN,2041,6,9,0,0,3,6,5,9,2,0,0,2,2,14.7,18.11.2007
Kevin Martin,SACRAMENTO KINGS,HOME,DETROIT PISTONS,WIN,2593,6,17,1,6,6,8,0,8,4,1,0,0,1,14.5,18.11.2007
Rajon Rondo,BOSTON CELTICS,AWAY,ORLANDO MAGIC,LOSS,1802,8,9,0,0,2,4,1,4,3,1,0,3,4,14.5,18.11.2007
Metta World Peace,SACRAMENTO KINGS,HOME,DETROIT PISTONS,WIN,2210,5,11,2,5,4,6,1,2,5,2,1,1,5,14.0,18.11.2007
Jameer Nelson,ORLANDO MAGIC,HOME,BOSTON CELTICS,WIN,2333,6,15,0,4,6,6,0,5,6,1,1,3,2,13.5,18.11.2007
Luke Walton,LOS ANGELES LAKERS,HOME,CHICAGO BULLS,WIN,1666,3,4,1,1,3,3,2,3,4,1,0,1,1,13.1,18.11.2007
Kobe Bryant,LOS ANGELES LAKERS,HOME,CHICAGO BULLS,WIN,1941,6,16,0,2,6,7,0,5,3,3,0,4,1,11.0,18.11.2007
Austin Croshere,GOLDEN STATE WARRIORS,AWAY,TORONTO RAPTORS,WIN,1006,4,6,1,2,0,0,2,4,2,1,0,0,1,11.0,18.11.2007
Hedo Turkoglu,ORLANDO MAGIC,HOME,BOSTON CELTICS,WIN,2365,7,13,2,4,0,0,2,4,1,0,0,1,3,10.8,18.11.2007
Kelenna Azubuike,GOLDEN STATE WARRIORS,AWAY,TORONTO RAPTORS,WIN,1768,6,13,4,6,0,0,1,4,2,1,0,3,1,10.2,18.11.2007
Mikki Moore,SACRAMENTO KINGS,HOME,DETROIT PISTONS,WIN,1701,5,8,0,0,0,0,3,6,1,1,1,1,4,10.1,18.11.2007
Brad Miller,SACRAMENTO KINGS,HOME,DETROIT PISTONS,WIN,2261,3,11,0,0,9,11,2,7,4,0,0,2,5,10.0,18.11.2007
Chauncey Billups,DETROIT PISTONS,AWAY,SACRAMENTO KINGS,LOSS,1788,5,14,2,5,2,2,0,1,9,1,1,3,4,9.9,18.11.2007
Ray Allen,BOSTON CELTICS,AWAY,ORLANDO MAGIC,LOSS,2364,7,17,2,8,3,4,1,4,1,1,0,3,1,9.7,18.11.2007
Vladimir Radmanovic,LOS ANGELES LAKERS,HOME,CHICAGO BULLS,WIN,727,4,7,3,3,0,0,1,2,2,0,0,0,2,9.6,18.11.2007
Andrew Bynum,LOS ANGELES LAKERS,HOME,CHICAGO BULLS,WIN,1899,6,9,0,0,2,2,3,7,0,0,1,4,4,9.4,18.11.2007
Richard Hamilton,DETROIT PISTONS,AWAY,SACRAMENTO KINGS,LOSS,2025,5,13,0,1,6,9,1,2,3,0,0,1,3,8.9,18.11.2007
Jamario Moon,TORONTO RAPTORS,HOME,GOLDEN STATE WARRIORS,LOSS,2265,3,10,0,3,3,4,2,5,3,1,3,1,3,8.7,18.11.2007
Lamar Odom,LOS ANGELES LAKERS,HOME,CHICAGO BULLS,WIN,2123,3,7,0,2,3,4,0,6,1,2,2,2,1,8.4,18.11.2007
Baron Davis,GOLDEN STATE WARRIORS,AWAY,TORONTO RAPTORS,WIN,2186,7,20,1,5,1,1,2,7,7,1,0,4,5,8.2,18.11.2007
Jason Kapono,TORONTO RAPTORS,HOME,GOLDEN STATE WARRIORS,LOSS,1044,5,9,1,4,0,0,2,1,0,0,0,0,1,8.0,18.11.2007
Kevin Garnett,BOSTON CELTICS,AWAY,ORLANDO MAGIC,LOSS,2220,7,13,0,0,0,0,2,9,1,0,1,3,6,7.8,18.11.2007
Ben Wallace,CHICAGO BULLS,AWAY,LOS ANGELES LAKERS,LOSS,1667,2,4,0,0,1,2,2,6,2,2,0,1,2,7.4,18.11.2007
Spencer Hawes,SACRAMENTO KINGS,HOME,DETROIT PISTONS,WIN,820,1,1,0,0,4,4,0,2,0,1,0,0,1,6.9,18.11.2007
Keith Bogans,ORLANDO MAGIC,HOME,BOSTON CELTICS,WIN,2449,4,10,2,8,0,0,0,2,1,2,0,0,3,6.7,18.11.2007
Mickael Pietrus,GOLDEN STATE WARRIORS,AWAY,TORONTO RAPTORS,WIN,1029,4,7,0,3,3,4,0,4,0,1,0,2,2,6.7,18.11.2007
Al Harrington,GOLDEN STATE WARRIORS,AWAY,TORONTO RAPTORS,WIN,2066,4,11,1,7,1,1,0,4,2,0,1,0,2,6.4,18.11.2007
Chris Mihm,LOS ANGELES LAKERS,HOME,CHICAGO BULLS,WIN,769,2,8,0,0,7,8,5,2,0,1,0,3,4,6.3,18.11.2007
Juan Dixon,TORONTO RAPTORS,HOME,GOLDEN STATE WARRIORS,LOSS,930,3,5,0,1,2,2,0,1,0,0,2,0,3,6.2,18.11.2007
Tony Allen,BOSTON CELTICS,AWAY,ORLANDO MAGIC,LOSS,734,3,4,0,0,2,2,0,0,2,1,0,1,5,5.8,18.11.2007
Carlos Delfino,TORONTO RAPTORS,HOME,GOLDEN STATE WARRIORS,LOSS,1386,3,8,1,5,0,0,1,6,0,2,0,0,4,5.5,18.11.2007
Jose Calderon,TORONTO RAPTORS,HOME,GOLDEN STATE WARRIORS,LOSS,895,2,5,0,2,0,0,0,1,5,1,0,0,2,5.3,18.11.2007
Maurice Evans,LOS ANGELES LAKERS,HOME,CHICAGO BULLS,WIN,912,2,6,0,1,3,3,1,0,2,0,0,0,1,5.3,18.11.2007
Andrea Bargnani,TORONTO RAPTORS,HOME,GOLDEN STATE WARRIORS,LOSS,1169,5,10,1,2,1,2,2,1,0,0,0,2,3,5.1,18.11.2007
Sasha Vujacic,LOS ANGELES LAKERS,HOME,CHICAGO BULLS,WIN,417,2,3,2,2,0,0,0,1,0,0,0,0,0,5.0,18.11.2007
Francisco Garcia,SACRAMENTO KINGS,HOME,DETROIT PISTONS,WIN,1263,4,9,2,4,0,1,0,4,1,0,0,1,3,4.6,18.11.2007
Andres Nocioni,CHICAGO BULLS,AWAY,LOS ANGELES LAKERS,LOSS,1876,5,14,2,5,2,4,0,6,2,0,0,2,5,4.6,18.11.2007
Jarvis Hayes,DETROIT PISTONS,AWAY,SACRAMENTO KINGS,LOSS,1294,3,8,1,3,3,5,1,1,0,0,0,1,1,4.4,18.11.2007
Carlos Arroyo,ORLANDO MAGIC,HOME,BOSTON CELTICS,WIN,547,1,2,1,2,2,2,1,2,0,1,0,2,1,3.9,18.11.2007
Nazr Mohammed,DETROIT PISTONS,AWAY,SACRAMENTO KINGS,LOSS,720,2,2,0,0,0,4,3,1,1,0,1,1,3,3.4,18.11.2007
Arron Afflalo,DETROIT PISTONS,AWAY,SACRAMENTO KINGS,LOSS,515,2,4,0,1,1,1,0,0,1,0,0,0,1,3.3,18.11.2007
Kirk Hinrich,CHICAGO BULLS,AWAY,LOS ANGELES LAKERS,LOSS,1467,3,11,0,2,2,2,1,2,8,1,1,6,2,3.3,18.11.2007
Maceo Baston,TORONTO RAPTORS,HOME,GOLDEN STATE WARRIORS,LOSS,830,1,3,0,0,2,2,1,2,0,0,1,0,3,3.1,18.11.2007
Kendrick Perkins,BOSTON CELTICS,AWAY,ORLANDO MAGIC,LOSS,1238,1,3,0,0,3,4,3,2,1,1,0,3,3,3.1,18.11.2007
Kwame Brown,LOS ANGELES LAKERS,HOME,CHICAGO BULLS,WIN,212,1,1,0,0,0,0,0,2,1,0,0,0,0,3.0,18.11.2007
Ronald Murray,DETROIT PISTONS,AWAY,SACRAMENTO KINGS,LOSS,1092,2,6,0,0,0,0,0,0,2,1,0,0,0,3.0,18.11.2007
Thabo Sefolosha,CHICAGO BULLS,AWAY,LOS ANGELES LAKERS,LOSS,1480,4,8,1,2,0,1,2,1,2,0,0,4,2,2.9,18.11.2007
Brandan Wright,GOLDEN STATE WARRIORS,AWAY,TORONTO RAPTORS,WIN,276,2,2,0,0,0,0,1,0,0,0,0,1,1,2.7,18.11.2007
Keyon Dooling,ORLANDO MAGIC,HOME,BOSTON CELTICS,WIN,431,0,0,0,0,4,4,0,0,0,0,0,1,1,2.6,18.11.2007
Aaron Gray,CHICAGO BULLS,AWAY,LOS ANGELES LAKERS,LOSS,351,2,5,0,0,0,0,1,1,0,0,0,0,0,2.3,18.11.2007
Trevor Ariza,ORLANDO MAGIC,HOME,BOSTON CELTICS,WIN,971,1,4,0,1,1,2,0,3,1,2,0,1,2,2.0,18.11.2007
