name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
LeBron James,CLEVELAND CAVALIERS,HOME,NEW JERSEY NETS,WIN,2122,11,21,1,4,10,13,4,3,8,1,2,0,2,32.4,9.4.2008
Chris Bosh,TORONTO RAPTORS,HOME,MILWAUKEE BUCKS,WIN,2418,11,18,1,2,9,11,3,8,2,3,4,2,2,31.9,9.4.2008
Charlie Villanueva,MILWAUKEE BUCKS,AWAY,TORONTO RAPTORS,LOSS,2815,14,25,7,12,3,5,0,12,1,1,0,2,3,27.4,9.4.2008
Andre Iguodala,PHILADELPHIA 76ERS,HOME,DETROIT PISTONS,WIN,2530,7,14,4,8,7,9,0,5,6,5,0,2,0,25.9,9.4.2008
Chris Paul,NEW ORLEANS HORNETS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1987,6,11,2,4,5,5,1,4,16,1,0,1,3,25.6,9.4.2008
Dwight Howard,ORLANDO MAGIC,HOME,CHICAGO BULLS,WIN,1939,12,15,0,0,6,13,1,13,1,1,1,3,4,23.9,9.4.2008
Antawn Jamison,WASHINGTON WIZARDS,HOME,BOSTON CELTICS,WIN,2260,8,17,3,7,8,11,1,10,2,1,0,0,4,21.6,9.4.2008
Paul Pierce,BOSTON CELTICS,AWAY,WASHINGTON WIZARDS,LOSS,2220,10,15,6,9,2,2,0,2,7,1,1,6,3,21.5,9.4.2008
Kevin Garnett,BOSTON CELTICS,AWAY,WASHINGTON WIZARDS,LOSS,1856,9,16,0,0,4,7,5,9,5,1,1,3,2,20.8,9.4.2008
Raymond Felton,CHARLOTTE BOBCATS,AWAY,NEW YORK KNICKS,LOSS,2445,10,16,0,1,4,5,1,5,8,1,0,4,2,20.4,9.4.2008
Jason Richardson,CHARLOTTE BOBCATS,AWAY,NEW YORK KNICKS,LOSS,2503,8,20,4,11,5,8,4,6,4,0,1,1,0,20.1,9.4.2008
David West,NEW ORLEANS HORNETS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2206,10,13,0,1,2,2,1,5,3,1,1,2,2,20.1,9.4.2008
Chauncey Billups,DETROIT PISTONS,AWAY,PHILADELPHIA 76ERS,LOSS,1748,5,9,4,5,4,4,0,5,5,2,0,1,0,19.7,9.4.2008
Emeka Okafor,CHARLOTTE BOBCATS,AWAY,NEW YORK KNICKS,LOSS,1953,11,19,0,0,2,5,5,3,0,0,2,0,1,19.3,9.4.2008
Kevin Durant,SEATTLE SUPERSONICS,AWAY,HOUSTON ROCKETS,LOSS,2321,10,23,1,1,5,7,1,2,4,4,0,2,1,18.8,9.4.2008
Peja Stojakovic,NEW ORLEANS HORNETS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2071,9,15,5,8,1,2,2,3,0,0,0,1,2,17.2,9.4.2008
Amar'e Stoudemire,PHOENIX SUNS,AWAY,SAN ANTONIO SPURS,WIN,1878,8,13,0,0,5,5,1,3,2,1,3,3,4,16.6,9.4.2008
Luis Scola,HOUSTON ROCKETS,HOME,SEATTLE SUPERSONICS,WIN,1638,5,9,0,0,3,4,1,11,4,1,2,1,1,16.1,9.4.2008
Samuel Dalembert,PHILADELPHIA 76ERS,HOME,DETROIT PISTONS,WIN,1961,9,13,0,0,2,4,4,9,1,0,1,3,4,16.0,9.4.2008
Anthony Parker,TORONTO RAPTORS,HOME,MILWAUKEE BUCKS,WIN,1898,6,10,1,3,5,6,0,4,2,1,2,1,3,15.8,9.4.2008
Earl Watson,SEATTLE SUPERSONICS,AWAY,HOUSTON ROCKETS,LOSS,2236,8,19,0,2,2,4,1,2,8,2,1,1,0,15.7,9.4.2008
Steve Nash,PHOENIX SUNS,AWAY,SAN ANTONIO SPURS,WIN,2061,4,10,0,0,4,4,1,4,10,0,0,0,1,15.1,9.4.2008
Vince Carter,NEW JERSEY NETS,AWAY,CLEVELAND CAVALIERS,LOSS,2419,5,12,1,2,8,10,0,4,6,1,1,3,3,14.7,9.4.2008
T.J. Ford,TORONTO RAPTORS,HOME,MILWAUKEE BUCKS,WIN,1347,7,9,0,0,0,0,0,1,7,0,0,0,3,14.5,9.4.2008
Rashard Lewis,ORLANDO MAGIC,HOME,CHICAGO BULLS,WIN,2327,8,16,4,9,1,1,0,7,4,2,1,5,3,14.4,9.4.2008
Daniel Gibson,CLEVELAND CAVALIERS,HOME,NEW JERSEY NETS,WIN,1909,4,9,1,5,3,3,0,5,5,3,0,0,3,14.1,9.4.2008
Lou Williams,PHILADELPHIA 76ERS,HOME,DETROIT PISTONS,WIN,1440,4,10,0,1,4,4,1,4,7,1,0,0,1,14.0,9.4.2008
Jamal Crawford,NEW YORK KNICKS,HOME,CHARLOTTE BOBCATS,WIN,1701,7,14,2,6,2,2,1,3,3,1,0,1,2,13.9,9.4.2008
Kirk Hinrich,CHICAGO BULLS,AWAY,ORLANDO MAGIC,LOSS,1529,7,12,2,5,3,4,0,3,4,1,0,3,2,13.9,9.4.2008
Randy Foye,MINNESOTA TIMBERWOLVES,HOME,NEW ORLEANS HORNETS,LOSS,2117,7,15,4,7,2,2,0,0,5,2,0,2,5,13.8,9.4.2008
Tyson Chandler,NEW ORLEANS HORNETS,AWAY,MINNESOTA TIMBERWOLVES,WIN,1879,6,7,0,0,2,5,3,4,1,0,1,1,1,13.6,9.4.2008
Rashad McCants,MINNESOTA TIMBERWOLVES,HOME,NEW ORLEANS HORNETS,LOSS,1809,8,15,5,10,2,2,0,3,1,0,0,3,2,13.5,9.4.2008
Willie Green,PHILADELPHIA 76ERS,HOME,DETROIT PISTONS,WIN,1524,6,9,0,0,3,4,0,2,3,0,2,1,2,13.0,9.4.2008
Zach Randolph,NEW YORK KNICKS,HOME,CHARLOTTE BOBCATS,WIN,1567,6,13,1,4,0,0,4,7,3,1,0,1,1,12.9,9.4.2008
Caron Butler,WASHINGTON WIZARDS,HOME,BOSTON CELTICS,WIN,2544,5,10,0,3,3,4,2,5,10,2,1,7,1,12.8,9.4.2008
Jameer Nelson,ORLANDO MAGIC,HOME,CHICAGO BULLS,WIN,1322,3,5,1,2,2,2,0,4,5,2,0,0,2,12.6,9.4.2008
Luther Head,HOUSTON ROCKETS,HOME,SEATTLE SUPERSONICS,WIN,1426,7,11,1,4,1,1,1,1,2,0,0,1,0,12.5,9.4.2008
Rafer Alston,HOUSTON ROCKETS,HOME,SEATTLE SUPERSONICS,WIN,1662,6,11,2,5,4,4,0,3,5,2,0,6,2,12.3,9.4.2008
Boris Diaw,PHOENIX SUNS,AWAY,SAN ANTONIO SPURS,WIN,1840,5,11,0,0,1,2,1,4,4,3,1,1,0,12.3,9.4.2008
Tim Duncan,SAN ANTONIO SPURS,HOME,PHOENIX SUNS,LOSS,2094,9,21,0,0,5,6,3,7,0,0,2,3,5,12.1,9.4.2008
