name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
LeBron James,CLEVELAND CAVALIERS,AWAY,WASHINGTON WIZARDS,WIN,2561,23,34,2,4,9,9,5,6,7,3,2,3,2,53.2,3.11.2017
Kristaps Porzingis,NEW YORK KNICKS,HOME,PHOENIX SUNS,WIN,1872,13,22,1,2,10,13,2,5,0,1,3,2,1,29.2,3.11.2017
James Harden,HOUSTON ROCKETS,AWAY,ATLANTA HAWKS,WIN,1856,8,15,6,11,7,10,1,2,11,1,0,2,0,28.5,3.11.2017
Jeremy Lamb,CHARLOTTE HORNETS,AWAY,SAN ANTONIO SPURS,LOSS,2105,10,15,3,3,4,5,1,8,6,2,0,0,3,28.2,3.11.2017
Bradley Beal,WASHINGTON WIZARDS,HOME,CLEVELAND CAVALIERS,LOSS,2211,12,19,1,5,11,13,2,2,4,1,0,4,1,28.1,3.11.2017
Andre Drummond,DETROIT PISTONS,HOME,MILWAUKEE BUCKS,WIN,1665,5,7,0,0,14,16,2,12,0,1,2,0,2,26.9,3.11.2017
Brook Lopez,LOS ANGELES LAKERS,HOME,BROOKLYN NETS,WIN,1828,13,23,6,9,2,2,3,7,2,0,3,3,4,26.2,3.11.2017
Victor Oladipo,INDIANA PACERS,AWAY,PHILADELPHIA 76ERS,LOSS,2224,12,20,3,7,4,5,1,4,7,0,1,3,0,25.9,3.11.2017
J.J. Redick,PHILADELPHIA 76ERS,HOME,INDIANA PACERS,WIN,1973,11,19,8,12,1,1,0,3,6,0,0,1,2,25.4,3.11.2017
Anthony Davis,NEW ORLEANS PELICANS,AWAY,DALLAS MAVERICKS,WIN,2418,10,19,0,2,10,12,1,12,4,1,3,4,4,24.5,3.11.2017
DeMar DeRozan,TORONTO RAPTORS,AWAY,UTAH JAZZ,WIN,2262,10,20,3,7,14,14,2,4,2,0,0,6,3,23.8,3.11.2017
Devin Booker,PHOENIX SUNS,AWAY,NEW YORK KNICKS,LOSS,2001,10,19,2,7,12,12,0,2,1,2,0,3,5,23.0,3.11.2017
Paul Millsap,DENVER NUGGETS,HOME,MIAMI HEAT,WIN,2045,9,17,1,4,8,12,4,5,5,2,1,4,2,22.8,3.11.2017
Kyrie Irving,BOSTON CELTICS,AWAY,OKLAHOMA CITY THUNDER,WIN,2069,10,22,3,7,2,3,1,4,6,2,1,0,1,21.6,3.11.2017
Nikola Jokic,DENVER NUGGETS,HOME,MIAMI HEAT,WIN,2031,8,15,2,6,1,1,5,9,2,4,1,1,4,21.4,3.11.2017
