name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
Nikola Vucevic,ORLANDO MAGIC,AWAY,DETROIT PISTONS,LOSS,2159,10,20,4,6,0,0,3,11,7,1,2,2,2,23.9,17.12.2017
Mario Hezonja,ORLANDO MAGIC,AWAY,DETROIT PISTONS,LOSS,1889,10,18,8,12,0,0,0,6,2,3,0,2,3,22.4,17.12.2017
Victor Oladipo,INDIANA PACERS,AWAY,BROOKLYN NETS,WIN,2455,9,14,4,6,4,5,0,7,3,1,0,2,3,21.4,17.12.2017
Reggie Bullock,DETROIT PISTONS,HOME,ORLANDO MAGIC,WIN,1833,8,10,4,6,0,0,0,5,0,1,0,0,1,18.3,17.12.2017
Bogdan Bogdanovic,SACRAMENTO KINGS,AWAY,TORONTO RAPTORS,LOSS,1715,7,10,4,7,0,0,1,2,5,1,0,2,0,17.6,17.12.2017
Jonathon Simmons,ORLANDO MAGIC,AWAY,DETROIT PISTONS,LOSS,2197,10,19,0,3,3,6,2,4,7,1,0,3,1,17.6,17.12.2017
Mike Scott,WASHINGTON WIZARDS,HOME,CLEVELAND CAVALIERS,LOSS,1976,8,14,3,7,0,0,2,2,4,2,1,1,4,17.3,17.12.2017
Kevin Love,CLEVELAND CAVALIERS,AWAY,WASHINGTON WIZARDS,WIN,1911,9,20,5,8,2,2,0,9,0,1,0,1,2,16.5,17.12.2017
Darren Collison,INDIANA PACERS,AWAY,BROOKLYN NETS,WIN,2041,6,10,1,1,1,2,1,3,7,2,0,0,3,16.3,17.12.2017
Kyle Lowry,TORONTO RAPTORS,HOME,SACRAMENTO KINGS,WIN,1950,5,11,4,8,2,2,0,5,7,2,0,2,1,16.3,17.12.2017
Jonas Valanciunas,TORONTO RAPTORS,HOME,SACRAMENTO KINGS,WIN,1646,3,10,0,1,7,8,7,8,2,0,3,1,1,16.2,17.12.2017
Bradley Beal,WASHINGTON WIZARDS,HOME,CLEVELAND CAVALIERS,LOSS,2608,10,27,4,13,3,4,0,5,5,0,1,1,2,15.6,17.12.2017
Cory Joseph,INDIANA PACERS,AWAY,BROOKLYN NETS,WIN,1813,5,7,1,2,4,4,1,5,3,0,1,1,2,15.3,17.12.2017
LeBron James,CLEVELAND CAVALIERS,AWAY,WASHINGTON WIZARDS,WIN,2481,8,23,2,7,2,3,2,9,15,0,1,6,4,14.4,17.12.2017
Anthony Tolliver,DETROIT PISTONS,HOME,ORLANDO MAGIC,WIN,1434,5,7,5,7,2,2,0,2,2,0,0,2,1,13.7,17.12.2017
Jeff Green,CLEVELAND CAVALIERS,AWAY,WASHINGTON WIZARDS,WIN,1745,5,12,1,4,4,5,2,3,2,0,2,0,0,13.3,17.12.2017
Caris LeVert,BROOKLYN NETS,HOME,INDIANA PACERS,LOSS,1867,6,11,0,2,2,5,1,3,3,3,0,1,0,13.2,17.12.2017
John Wall,WASHINGTON WIZARDS,HOME,CLEVELAND CAVALIERS,LOSS,1921,6,16,2,5,1,2,2,8,6,1,2,3,0,13.2,17.12.2017
DeMar DeRozan,TORONTO RAPTORS,HOME,SACRAMENTO KINGS,WIN,2010,6,17,0,1,9,12,0,1,5,0,2,2,1,13.1,17.12.2017
Allen Crabbe,BROOKLYN NETS,HOME,INDIANA PACERS,LOSS,1757,5,8,4,6,3,3,0,0,3,1,0,3,2,12.7,17.12.2017
Elfrid Payton,ORLANDO MAGIC,AWAY,DETROIT PISTONS,LOSS,1886,6,7,2,3,1,2,0,0,7,0,0,3,4,12.4,17.12.2017
George Hill,SACRAMENTO KINGS,AWAY,TORONTO RAPTORS,LOSS,1984,6,11,4,7,0,2,0,1,5,1,0,2,1,12.3,17.12.2017
Domantas Sabonis,INDIANA PACERS,AWAY,BROOKLYN NETS,WIN,1289,7,13,0,0,3,4,3,5,1,0,3,3,4,12.1,17.12.2017
Willie Cauley-Stein,SACRAMENTO KINGS,AWAY,TORONTO RAPTORS,LOSS,2002,5,9,0,0,2,2,0,6,4,0,2,1,2,11.9,17.12.2017
Andre Drummond,DETROIT PISTONS,HOME,ORLANDO MAGIC,WIN,1741,5,11,0,0,2,2,2,4,2,1,2,0,3,11.5,17.12.2017
Myles Turner,INDIANA PACERS,AWAY,BROOKLYN NETS,WIN,1971,7,11,0,1,2,2,0,6,2,1,2,4,3,11.5,17.12.2017
Norman Powell,TORONTO RAPTORS,HOME,SACRAMENTO KINGS,WIN,1270,5,5,2,2,2,2,0,1,1,0,1,2,3,11.0,17.12.2017
Garrett Temple,SACRAMENTO KINGS,AWAY,TORONTO RAPTORS,LOSS,1662,6,13,2,7,4,4,0,2,2,1,1,3,3,10.8,17.12.2017
Kyle Korver,CLEVELAND CAVALIERS,AWAY,WASHINGTON WIZARDS,WIN,1419,4,6,1,2,2,2,0,1,2,1,0,0,1,10.7,17.12.2017
Quincy Acy,BROOKLYN NETS,HOME,INDIANA PACERS,LOSS,1366,5,10,4,7,0,0,0,2,0,1,1,0,2,10.5,17.12.2017
Tobias Harris,DETROIT PISTONS,HOME,ORLANDO MAGIC,WIN,1460,7,17,3,5,0,0,1,2,1,2,0,2,0,9.9,17.12.2017
OG Anunoby,TORONTO RAPTORS,HOME,SACRAMENTO KINGS,WIN,1743,4,8,3,6,0,0,1,2,0,2,0,0,2,9.5,17.12.2017
