name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
LaMarcus Aldridge,SAN ANTONIO SPURS,HOME,MINNESOTA TIMBERWOLVES,WIN,2134,14,22,0,2,11,12,4,6,2,0,2,1,4,33.6,17.3.2018
Giannis Antetokounmpo,MILWAUKEE BUCKS,HOME,ATLANTA HAWKS,WIN,2364,12,25,2,6,7,8,4,8,7,4,2,2,5,31.4,17.3.2018
Denzel Valentine,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,LOSS,2314,13,20,8,11,0,0,1,6,6,0,1,0,3,31.4,17.3.2018
Josh Jackson,PHOENIX SUNS,HOME,GOLDEN STATE WARRIORS,LOSS,2164,14,23,2,4,6,8,2,4,4,2,1,4,2,28.0,17.3.2018
LeBron James,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,WIN,2393,15,26,2,8,1,4,1,12,12,1,2,6,3,27.5,17.3.2018
James Harden,HOUSTON ROCKETS,AWAY,NEW ORLEANS PELICANS,WIN,2261,11,28,4,13,6,8,4,7,8,2,0,2,2,25.7,17.3.2018
Taurean Waller-Prince,ATLANTA HAWKS,AWAY,MILWAUKEE BUCKS,LOSS,2385,13,26,4,13,8,8,2,6,1,0,2,4,2,25.5,17.3.2018
Rudy Gobert,UTAH JAZZ,HOME,SACRAMENTO KINGS,WIN,2356,7,8,0,0,8,10,3,10,0,0,4,1,2,24.5,17.3.2018
Quinn Cook,GOLDEN STATE WARRIORS,AWAY,PHOENIX SUNS,WIN,2400,11,17,5,7,1,1,0,4,4,2,0,2,1,24.1,17.3.2018
Damian Lillard,PORTLAND TRAIL BLAZERS,HOME,DETROIT PISTONS,WIN,2240,6,19,3,10,9,9,3,4,8,1,3,1,1,23.7,17.3.2018
Draymond Green,GOLDEN STATE WARRIORS,AWAY,PHOENIX SUNS,WIN,2075,10,20,4,8,1,2,2,9,8,1,1,3,3,21.8,17.3.2018
Andre Drummond,DETROIT PISTONS,AWAY,PORTLAND TRAIL BLAZERS,LOSS,2229,6,9,0,0,6,8,4,18,0,0,2,1,2,21.1,17.3.2018
Anthony Davis,NEW ORLEANS PELICANS,HOME,HOUSTON ROCKETS,LOSS,2163,11,18,0,2,4,4,1,12,1,0,1,2,2,20.7,17.3.2018
Marcin Gortat,WASHINGTON WIZARDS,HOME,INDIANA PACERS,WIN,1470,6,8,0,0,6,6,1,7,4,1,1,1,1,20.7,17.3.2018
Lance Stephenson,INDIANA PACERS,AWAY,WASHINGTON WIZARDS,LOSS,1713,10,15,2,3,3,3,1,4,5,0,1,2,5,20.6,17.3.2018
Buddy Hield,SACRAMENTO KINGS,AWAY,UTAH JAZZ,LOSS,1730,9,15,5,8,0,0,0,6,6,1,0,2,2,20.3,17.3.2018
DeMarre Carroll,BROOKLYN NETS,HOME,DALLAS MAVERICKS,WIN,2138,7,12,4,8,1,1,2,10,3,1,0,1,0,19.9,17.3.2018
Tim Hardaway,NEW YORK KNICKS,HOME,CHARLOTTE HORNETS,WIN,1715,7,15,4,6,7,8,0,3,3,0,0,0,2,19.1,17.3.2018
Rondae Hollis-Jefferson,BROOKLYN NETS,HOME,DALLAS MAVERICKS,WIN,1912,9,16,0,1,5,6,2,3,4,1,0,1,3,18.9,17.3.2018
Dennis Smith,DALLAS MAVERICKS,AWAY,BROOKLYN NETS,LOSS,1381,9,17,2,5,1,1,0,2,5,1,2,0,2,18.4,17.3.2018
Donovan Mitchell,UTAH JAZZ,HOME,SACRAMENTO KINGS,WIN,2368,11,21,1,8,5,6,0,2,3,2,0,3,2,18.2,17.3.2018
Pau Gasol,SAN ANTONIO SPURS,HOME,MINNESOTA TIMBERWOLVES,WIN,1461,6,10,0,1,0,0,3,4,8,1,1,0,0,18.0,17.3.2018
Chris Paul,HOUSTON ROCKETS,AWAY,NEW ORLEANS PELICANS,WIN,1995,8,19,3,6,2,2,1,8,5,2,1,2,2,17.4,17.3.2018
Eric Bledsoe,MILWAUKEE BUCKS,HOME,ATLANTA HAWKS,WIN,1832,5,10,1,2,8,9,1,2,9,2,1,5,4,17.3,17.3.2018
Andrew Wiggins,MINNESOTA TIMBERWOLVES,AWAY,SAN ANTONIO SPURS,LOSS,2039,8,15,0,0,5,6,1,4,5,0,0,1,1,17.3,17.3.2018
Bradley Beal,WASHINGTON WIZARDS,HOME,INDIANA PACERS,WIN,1869,6,12,1,3,6,7,0,2,6,2,0,1,3,17.2,17.3.2018
Nikola Jokic,DENVER NUGGETS,AWAY,MEMPHIS GRIZZLIES,LOSS,2114,5,15,1,4,6,8,5,8,2,3,2,1,3,17.2,17.3.2018
Jeff Teague,MINNESOTA TIMBERWOLVES,AWAY,SAN ANTONIO SPURS,LOSS,1888,6,13,1,1,3,4,0,2,8,2,0,0,1,16.7,17.3.2018
Jeff Green,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,WIN,2566,8,14,2,6,3,5,0,4,2,1,1,1,2,16.1,17.3.2018
Dillon Brooks,MEMPHIS GRIZZLIES,HOME,DENVER NUGGETS,WIN,2347,8,17,4,9,4,4,1,4,1,0,1,1,4,16.0,17.3.2018
Nick Young,GOLDEN STATE WARRIORS,AWAY,PHOENIX SUNS,WIN,2498,7,15,3,9,3,3,1,6,2,1,0,0,3,16.0,17.3.2018
Khris Middleton,MILWAUKEE BUCKS,HOME,ATLANTA HAWKS,WIN,2223,6,14,2,4,9,9,0,7,2,1,0,3,4,15.5,17.3.2018
Jrue Holiday,NEW ORLEANS PELICANS,HOME,HOUSTON ROCKETS,LOSS,2279,8,17,1,4,2,3,3,3,8,3,2,6,4,15.3,17.3.2018
Karl-Anthony Towns,MINNESOTA TIMBERWOLVES,AWAY,SAN ANTONIO SPURS,LOSS,2340,8,15,2,2,5,6,3,6,2,0,1,5,3,15.1,17.3.2018
D'Angelo Russell,BROOKLYN NETS,HOME,DALLAS MAVERICKS,WIN,1720,9,17,4,9,0,1,0,4,6,0,0,3,2,14.9,17.3.2018
Dwayne Bacon,CHARLOTTE HORNETS,AWAY,NEW YORK KNICKS,LOSS,1138,6,10,0,2,3,4,1,0,3,2,0,0,0,14.8,17.3.2018
Trevor Ariza,HOUSTON ROCKETS,AWAY,NEW ORLEANS PELICANS,WIN,1909,6,9,4,6,1,1,1,3,2,0,0,0,4,14.5,17.3.2018
Dwight Powell,DALLAS MAVERICKS,AWAY,BROOKLYN NETS,LOSS,1730,7,10,2,2,2,2,1,4,2,1,0,2,4,14.5,17.3.2018
