name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
Chris Paul,HOUSTON ROCKETS,HOME,CHARLOTTE HORNETS,WIN,2107,10,18,5,9,6,6,2,5,11,2,0,3,3,30.8,13.12.2017
Giannis Antetokounmpo,MILWAUKEE BUCKS,AWAY,NEW ORLEANS PELICANS,LOSS,2502,13,24,1,2,5,8,5,4,4,5,1,2,1,30.0,13.12.2017
Gary Harris,DENVER NUGGETS,AWAY,BOSTON CELTICS,LOSS,2254,16,25,3,8,1,1,2,1,6,2,0,3,1,29.4,13.12.2017
DeMar DeRozan,TORONTO RAPTORS,AWAY,PHOENIX SUNS,WIN,2200,12,24,0,4,13,15,2,5,4,0,0,1,1,28.5,13.12.2017
Kyrie Irving,BOSTON CELTICS,HOME,DENVER NUGGETS,WIN,1954,12,19,4,9,5,6,0,1,7,1,2,3,4,27.1,13.12.2017
Troy Daniels,PHOENIX SUNS,HOME,TORONTO RAPTORS,LOSS,1915,11,16,7,10,3,3,0,3,0,0,1,0,1,26.4,13.12.2017
Jamal Murray,DENVER NUGGETS,AWAY,BOSTON CELTICS,LOSS,2125,9,17,4,8,6,6,4,7,4,3,0,4,3,25.2,13.12.2017
Lou Williams,LOS ANGELES CLIPPERS,AWAY,ORLANDO MAGIC,WIN,1948,11,22,3,6,6,8,1,2,8,1,0,3,0,24.1,13.12.2017
Nikola Mirotic,CHICAGO BULLS,HOME,UTAH JAZZ,WIN,2116,11,18,3,5,4,4,3,6,0,2,0,2,2,23.9,13.12.2017
Donovan Mitchell,UTAH JAZZ,AWAY,CHICAGO BULLS,LOSS,2209,15,26,1,7,1,1,0,3,6,2,1,3,2,23.8,13.12.2017
