name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
Andre Drummond,DETROIT PISTONS,HOME,UTAH JAZZ,LOSS,2368,11,17,0,1,8,12,8,16,4,3,6,5,4,34.7,24.1.2018
James Harden,HOUSTON ROCKETS,AWAY,DALLAS MAVERICKS,WIN,1952,9,16,6,10,1,2,1,4,13,1,1,1,1,28.3,24.1.2018
Damian Lillard,PORTLAND TRAIL BLAZERS,HOME,MINNESOTA TIMBERWOLVES,WIN,1933,9,17,6,11,7,7,1,3,6,0,0,0,2,27.7,24.1.2018
Bobby Portis,CHICAGO BULLS,AWAY,PHILADELPHIA 76ERS,LOSS,1520,8,12,1,2,5,6,5,6,2,3,0,0,1,25.7,24.1.2018
Wesley Matthews,DALLAS MAVERICKS,HOME,HOUSTON ROCKETS,LOSS,2285,10,18,7,14,2,2,0,4,5,2,1,2,2,25.0,24.1.2018
Victor Oladipo,INDIANA PACERS,HOME,PHOENIX SUNS,WIN,1979,6,11,2,6,7,7,1,3,9,3,0,1,3,24.4,24.1.2018
Fred VanVleet,TORONTO RAPTORS,AWAY,ATLANTA HAWKS,WIN,1108,6,9,4,6,3,3,1,6,5,2,3,0,2,24.4,24.1.2018
CJ McCollum,PORTLAND TRAIL BLAZERS,HOME,MINNESOTA TIMBERWOLVES,WIN,2125,12,20,4,5,0,2,0,3,5,0,0,0,0,22.4,24.1.2018
Dario Saric,PHILADELPHIA 76ERS,HOME,CHICAGO BULLS,WIN,1678,6,9,4,5,5,5,1,9,2,1,0,2,0,20.9,24.1.2018
Thaddeus Young,INDIANA PACERS,HOME,PHOENIX SUNS,WIN,1885,10,13,2,4,0,0,0,3,0,3,0,0,0,20.8,24.1.2018
Ben Simmons,PHILADELPHIA 76ERS,HOME,CHICAGO BULLS,WIN,2327,6,15,0,0,7,10,3,14,14,0,2,6,4,19.6,24.1.2018
