name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
Nikola Jokic,DENVER NUGGETS,HOME,PORTLAND TRAIL BLAZERS,WIN,1960,5,17,2,5,4,7,4,8,5,1,1,3,4,10.7,22.1.2018
Nikola Mirotic,CHICAGO BULLS,AWAY,NEW ORLEANS PELICANS,LOSS,1492,4,10,2,7,4,4,0,4,2,2,0,1,4,10.6,22.1.2018
Marvin Williams,CHARLOTTE HORNETS,HOME,SACRAMENTO KINGS,WIN,1770,5,8,3,5,1,1,0,2,1,0,1,1,2,10.6,22.1.2018
Dwight Powell,DALLAS MAVERICKS,HOME,WASHINGTON WIZARDS,WIN,1390,2,3,0,0,3,4,2,4,1,1,3,0,3,10.5,22.1.2018
Troy Daniels,PHOENIX SUNS,AWAY,MILWAUKEE BUCKS,LOSS,1377,5,10,5,10,0,0,0,4,1,0,0,1,3,9.7,22.1.2018
Nicolas Batum,CHARLOTTE HORNETS,HOME,SACRAMENTO KINGS,WIN,2083,6,13,1,5,1,1,1,5,3,0,0,2,0,9.6,22.1.2018
John Henson,MILWAUKEE BUCKS,HOME,PHOENIX SUNS,WIN,1810,4,9,0,0,2,2,3,3,1,3,1,2,3,9.5,22.1.2018
Bradley Beal,WASHINGTON WIZARDS,AWAY,DALLAS MAVERICKS,LOSS,2159,4,14,3,8,7,12,0,3,3,2,0,3,1,9.4,22.1.2018
Derrick Favors,UTAH JAZZ,AWAY,ATLANTA HAWKS,LOSS,1611,4,8,0,1,3,5,0,4,1,1,1,0,1,9.4,22.1.2018
Dirk Nowitzki,DALLAS MAVERICKS,HOME,WASHINGTON WIZARDS,WIN,1341,2,7,1,3,3,3,0,9,3,0,1,0,0,9.4,22.1.2018
Dennis Schroder,ATLANTA HAWKS,HOME,UTAH JAZZ,WIN,1473,7,18,0,2,6,6,0,1,2,0,0,2,2,9.1,22.1.2018
Justin Holiday,CHICAGO BULLS,AWAY,NEW ORLEANS PELICANS,LOSS,2495,5,13,1,8,4,5,0,7,3,0,0,2,2,8.9,22.1.2018
Raul Neto,UTAH JAZZ,AWAY,ATLANTA HAWKS,LOSS,870,4,8,0,2,3,4,1,0,1,1,0,0,1,8.6,22.1.2018
Bogdan Bogdanovic,SACRAMENTO KINGS,AWAY,CHARLOTTE HORNETS,LOSS,1711,3,10,2,4,2,2,0,2,7,1,0,1,3,8.5,22.1.2018
