name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
DeMar DeRozan,TORONTO RAPTORS,AWAY,PHILADELPHIA 76ERS,WIN,2368,13,21,6,9,13,15,3,2,3,2,1,2,3,39.0,21.12.2017
LeBron James,CLEVELAND CAVALIERS,HOME,CHICAGO BULLS,WIN,2346,12,23,2,5,8,8,1,5,9,3,0,4,1,29.8,21.12.2017
Dario Saric,PHILADELPHIA 76ERS,HOME,TORONTO RAPTORS,LOSS,2193,7,10,1,3,3,3,2,8,9,2,1,3,2,22.8,21.12.2017
Kevin Love,CLEVELAND CAVALIERS,HOME,CHICAGO BULLS,WIN,1754,9,15,4,8,5,5,1,6,2,0,0,1,3,21.8,21.12.2017
Michael Beasley,NEW YORK KNICKS,HOME,BOSTON CELTICS,WIN,1499,13,20,1,1,5,6,1,11,1,0,0,5,2,21.7,21.12.2017
T.J. Warren,PHOENIX SUNS,HOME,MEMPHIS GRIZZLIES,WIN,2016,9,15,1,1,8,10,2,3,1,1,1,2,1,21.6,21.12.2017
Kyrie Irving,BOSTON CELTICS,AWAY,NEW YORK KNICKS,LOSS,2215,12,27,6,15,2,2,0,3,4,1,0,1,2,20.8,21.12.2017
Lauri Markkanen,CHICAGO BULLS,AWAY,CLEVELAND CAVALIERS,LOSS,1780,11,17,1,4,2,2,1,1,2,1,0,1,2,19.1,21.12.2017
Rodney Hood,UTAH JAZZ,HOME,SAN ANTONIO SPURS,WIN,2084,12,24,3,10,2,3,0,3,0,1,1,1,1,17.8,21.12.2017
Kyle Lowry,TORONTO RAPTORS,AWAY,PHILADELPHIA 76ERS,WIN,2162,6,15,3,9,8,8,4,5,4,3,0,7,1,17.6,21.12.2017
Tyreke Evans,MEMPHIS GRIZZLIES,AWAY,PHOENIX SUNS,LOSS,2040,9,21,1,6,4,4,1,8,5,1,0,1,3,17.3,21.12.2017
Denzel Valentine,CHICAGO BULLS,AWAY,CLEVELAND CAVALIERS,LOSS,2158,7,10,4,7,0,0,0,5,4,1,1,1,4,17.2,21.12.2017
Enes Kanter,NEW YORK KNICKS,HOME,BOSTON CELTICS,WIN,1376,6,10,0,0,2,2,5,5,1,0,2,1,1,15.1,21.12.2017
Robert Covington,PHILADELPHIA 76ERS,HOME,TORONTO RAPTORS,LOSS,2304,6,16,5,12,2,2,3,4,1,5,0,3,4,14.6,21.12.2017
Kyle Korver,CLEVELAND CAVALIERS,HOME,CHICAGO BULLS,WIN,1509,5,7,4,6,1,1,1,1,2,1,0,2,2,12.7,21.12.2017
JaMychal Green,MEMPHIS GRIZZLIES,AWAY,PHOENIX SUNS,LOSS,1611,5,10,0,3,2,2,5,5,2,0,0,1,0,12.4,21.12.2017
Robin Lopez,CHICAGO BULLS,AWAY,CLEVELAND CAVALIERS,LOSS,1633,7,11,0,0,0,0,1,2,3,1,0,0,3,12.3,21.12.2017
Derrick Favors,UTAH JAZZ,HOME,SAN ANTONIO SPURS,WIN,1934,5,10,0,0,4,5,4,5,1,0,1,1,3,12.1,21.12.2017
Richaun Holmes,PHILADELPHIA 76ERS,HOME,TORONTO RAPTORS,LOSS,1623,7,12,0,0,1,2,3,4,2,1,1,1,6,12.0,21.12.2017
Jayson Tatum,BOSTON CELTICS,AWAY,NEW YORK KNICKS,LOSS,2046,6,10,2,6,3,4,1,2,0,2,0,3,1,11.9,21.12.2017
Kris Dunn,CHICAGO BULLS,AWAY,CLEVELAND CAVALIERS,LOSS,2098,5,11,0,2,0,0,0,5,14,1,0,4,2,11.8,21.12.2017
Greg Monroe,PHOENIX SUNS,HOME,MEMPHIS GRIZZLIES,WIN,1646,4,8,0,0,0,0,5,7,7,0,0,2,2,11.7,21.12.2017
Isaiah Canaan,PHOENIX SUNS,HOME,MEMPHIS GRIZZLIES,WIN,1464,3,7,2,3,2,2,0,3,4,2,0,1,0,11.0,21.12.2017
Amir Johnson,PHILADELPHIA 76ERS,HOME,TORONTO RAPTORS,LOSS,1251,6,8,0,0,0,0,1,3,3,1,1,2,3,11.0,21.12.2017
Nikola Mirotic,CHICAGO BULLS,AWAY,CLEVELAND CAVALIERS,LOSS,1528,5,9,3,6,2,4,0,5,1,0,0,0,3,10.9,21.12.2017
Tony Parker,SAN ANTONIO SPURS,AWAY,UTAH JAZZ,LOSS,1557,5,8,0,0,1,1,0,0,6,0,0,1,0,10.6,21.12.2017
Ben Simmons,PHILADELPHIA 76ERS,HOME,TORONTO RAPTORS,LOSS,2003,9,14,0,0,2,5,2,4,4,0,1,7,3,10.5,21.12.2017
Courtney Lee,NEW YORK KNICKS,HOME,BOSTON CELTICS,WIN,1673,2,9,2,4,6,6,1,3,3,2,0,1,2,10.4,21.12.2017
Jakob Poeltl,TORONTO RAPTORS,AWAY,PHILADELPHIA 76ERS,WIN,1208,4,5,0,0,0,0,3,3,0,2,2,1,3,10.3,21.12.2017
