name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
Kobe Bryant,LOS ANGELES LAKERS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,3207,13,30,3,10,11,13,3,10,8,2,3,4,3,33.0,6.3.2007
Stephon Marbury,NEW YORK KNICKS,HOME,SEATTLE SUPERSONICS,LOSS,2807,13,22,8,11,6,7,0,1,3,0,0,2,1,29.4,6.3.2007
Ricky Davis,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES LAKERS,WIN,3350,10,23,1,7,12,12,3,7,8,4,0,6,4,27.1,6.3.2007
Vince Carter,NEW JERSEY NETS,AWAY,DALLAS MAVERICKS,LOSS,2580,10,25,0,2,12,13,0,6,8,1,0,0,2,25.7,6.3.2007
Kevin Garnett,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES LAKERS,WIN,3069,9,20,0,1,8,9,1,16,4,1,2,2,2,23.1,6.3.2007
Earl Watson,SEATTLE SUPERSONICS,AWAY,NEW YORK KNICKS,WIN,2403,8,13,6,8,1,1,0,1,9,1,0,1,3,22.5,6.3.2007
Ray Allen,SEATTLE SUPERSONICS,AWAY,NEW YORK KNICKS,WIN,2626,9,22,3,9,8,9,1,7,7,2,0,3,4,21.9,6.3.2007
Gilbert Arenas,WASHINGTON WIZARDS,HOME,TORONTO RAPTORS,WIN,1590,9,13,5,5,2,4,0,0,6,2,0,3,3,20.7,6.3.2007
Smush Parker,LOS ANGELES LAKERS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2559,8,14,2,4,6,10,2,2,3,4,0,3,3,19.7,6.3.2007
Marcus Camby,DENVER NUGGETS,HOME,NEW ORLEANS/OKLAHOMA CITY HORNETS,WIN,2079,4,6,0,0,0,0,1,10,6,4,6,1,3,19.3,6.3.2007
Antonio Daniels,WASHINGTON WIZARDS,HOME,TORONTO RAPTORS,WIN,1512,7,9,2,2,2,3,1,1,6,3,0,3,0,19.3,6.3.2007
Rashard Lewis,SEATTLE SUPERSONICS,AWAY,NEW YORK KNICKS,WIN,2610,10,22,4,7,0,0,3,5,7,0,1,2,2,19.0,6.3.2007
Jason Terry,DALLAS MAVERICKS,HOME,NEW JERSEY NETS,WIN,2088,9,15,3,6,3,3,0,3,3,1,0,1,3,18.9,6.3.2007
Tyson Chandler,NEW ORLEANS/OKLAHOMA CITY HORNETS,AWAY,DENVER NUGGETS,LOSS,2388,7,10,0,0,1,3,7,11,0,1,4,2,3,18.8,6.3.2007
Kevin Martin,SACRAMENTO KINGS,HOME,INDIANA PACERS,WIN,2382,8,17,2,7,9,11,3,4,1,1,0,4,0,18.5,6.3.2007
Mike Dunleavy,INDIANA PACERS,AWAY,SACRAMENTO KINGS,LOSS,2258,10,14,1,2,3,4,0,3,2,2,0,2,5,18.1,6.3.2007
Antawn Jamison,WASHINGTON WIZARDS,HOME,TORONTO RAPTORS,WIN,1842,10,18,1,5,4,5,2,2,2,1,0,2,1,18.0,6.3.2007
Dirk Nowitzki,DALLAS MAVERICKS,HOME,NEW JERSEY NETS,WIN,2407,8,17,0,1,6,6,3,8,5,0,2,4,2,17.9,6.3.2007
Nene Hilario,DENVER NUGGETS,HOME,NEW ORLEANS/OKLAHOMA CITY HORNETS,WIN,2093,5,8,0,0,5,6,3,11,3,1,1,2,1,17.8,6.3.2007
Troy Murphy,INDIANA PACERS,AWAY,SACRAMENTO KINGS,LOSS,2213,8,12,0,1,3,6,2,4,3,0,1,0,1,17.6,6.3.2007
Brandon Roy,PORTLAND TRAIL BLAZERS,HOME,SAN ANTONIO SPURS,LOSS,2211,8,18,1,1,2,3,1,4,9,2,0,1,2,17.6,6.3.2007
Manu Ginobili,SAN ANTONIO SPURS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1607,8,15,2,4,5,5,2,2,3,0,0,1,4,17.2,6.3.2007
Michael Finley,SAN ANTONIO SPURS,AWAY,PORTLAND TRAIL BLAZERS,WIN,1985,8,16,3,8,1,1,0,3,5,1,0,0,1,17.0,6.3.2007
Chris Bosh,TORONTO RAPTORS,AWAY,WASHINGTON WIZARDS,LOSS,2081,8,14,0,0,9,10,1,0,0,1,3,4,4,16.2,6.3.2007
Jermaine O'Neal,INDIANA PACERS,AWAY,SACRAMENTO KINGS,LOSS,2260,8,16,0,1,6,6,3,9,0,1,0,2,5,15.8,6.3.2007
Mikki Moore,NEW JERSEY NETS,AWAY,DALLAS MAVERICKS,LOSS,2128,9,12,0,0,2,3,0,1,2,1,3,2,5,15.6,6.3.2007
Mark Blount,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES LAKERS,WIN,2855,6,13,3,6,3,4,2,4,1,2,1,0,4,15.3,6.3.2007
Tim Duncan,SAN ANTONIO SPURS,AWAY,PORTLAND TRAIL BLAZERS,WIN,2194,10,17,0,0,4,5,0,8,2,0,2,5,2,15.1,6.3.2007
Carmelo Anthony,DENVER NUGGETS,HOME,NEW ORLEANS/OKLAHOMA CITY HORNETS,WIN,1928,8,18,1,1,4,6,1,6,6,1,0,2,4,14.9,6.3.2007
Erick Dampier,DALLAS MAVERICKS,HOME,NEW JERSEY NETS,WIN,1964,5,7,0,0,2,3,4,10,1,0,2,1,3,14.4,6.3.2007
Allen Iverson,DENVER NUGGETS,HOME,NEW ORLEANS/OKLAHOMA CITY HORNETS,WIN,2383,8,17,2,3,7,7,1,2,5,0,0,6,2,14.3,6.3.2007
Mike Bibby,SACRAMENTO KINGS,HOME,INDIANA PACERS,WIN,1891,8,15,2,5,4,4,0,3,2,1,0,3,3,13.8,6.3.2007
Caron Butler,WASHINGTON WIZARDS,HOME,TORONTO RAPTORS,WIN,1571,2,8,0,0,8,8,4,8,2,1,0,1,1,13.4,6.3.2007
Chris Paul,NEW ORLEANS/OKLAHOMA CITY HORNETS,AWAY,DENVER NUGGETS,LOSS,2338,4,14,1,5,4,6,1,3,14,1,0,2,4,12.8,6.3.2007
Jose Calderon,TORONTO RAPTORS,AWAY,WASHINGTON WIZARDS,LOSS,1163,6,7,0,1,1,2,0,0,4,2,0,2,1,12.5,6.3.2007
Zach Randolph,PORTLAND TRAIL BLAZERS,HOME,SAN ANTONIO SPURS,LOSS,1931,6,14,1,2,1,2,4,8,2,1,0,1,2,12.0,6.3.2007
Malik Rose,NEW YORK KNICKS,HOME,SEATTLE SUPERSONICS,LOSS,1246,1,1,0,0,7,8,1,3,2,1,0,0,1,11.9,6.3.2007
Devin Harris,DALLAS MAVERICKS,HOME,NEW JERSEY NETS,WIN,1391,5,9,1,2,0,0,1,2,3,2,0,0,1,11.7,6.3.2007
Ime Udoka,PORTLAND TRAIL BLAZERS,HOME,SAN ANTONIO SPURS,LOSS,1876,6,8,1,2,0,0,0,4,2,0,0,0,2,11.6,6.3.2007
Marko Jaric,MINNESOTA TIMBERWOLVES,HOME,LOS ANGELES LAKERS,WIN,2143,5,8,1,2,1,2,1,2,5,2,3,3,6,11.5,6.3.2007
