name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
Vince Carter,NEW JERSEY NETS,HOME,WASHINGTON WIZARDS,WIN,2817,16,28,7,13,7,9,4,12,10,1,3,5,2,42.7,7.4.2007
Eddy Curry,NEW YORK KNICKS,AWAY,MILWAUKEE BUCKS,WIN,3010,17,20,1,1,8,12,4,9,1,2,0,4,1,38.0,7.4.2007
Nate Robinson,NEW YORK KNICKS,AWAY,MILWAUKEE BUCKS,WIN,2979,12,22,5,13,5,7,1,3,7,2,0,1,3,28.9,7.4.2007
Rashard Lewis,SEATTLE SUPERSONICS,AWAY,UTAH JAZZ,WIN,2623,12,19,6,10,5,7,2,6,2,1,0,3,1,27.9,7.4.2007
Tim Duncan,SAN ANTONIO SPURS,HOME,GOLDEN STATE WARRIORS,WIN,2327,12,17,0,0,4,9,6,9,3,0,4,2,3,27.5,7.4.2007
Dwight Howard,ORLANDO MAGIC,HOME,MEMPHIS GRIZZLIES,WIN,1906,10,13,0,0,11,17,3,8,2,1,0,2,3,27.2,7.4.2007
Antawn Jamison,WASHINGTON WIZARDS,AWAY,NEW JERSEY NETS,LOSS,2696,12,29,6,14,7,7,3,8,4,4,0,6,4,25.2,7.4.2007
Allen Iverson,DENVER NUGGETS,AWAY,LOS ANGELES CLIPPERS,WIN,2570,12,19,3,4,7,10,1,3,4,1,0,5,0,24.7,7.4.2007
Ruben Patterson,MILWAUKEE BUCKS,HOME,NEW YORK KNICKS,LOSS,2501,12,24,1,2,2,4,5,2,4,7,1,3,3,24.6,7.4.2007
Manu Ginobili,SAN ANTONIO SPURS,HOME,GOLDEN STATE WARRIORS,WIN,1906,7,13,3,7,8,10,1,6,7,2,0,3,2,23.5,7.4.2007
Jarvis Hayes,WASHINGTON WIZARDS,AWAY,NEW JERSEY NETS,LOSS,2135,12,22,5,8,0,0,1,2,3,2,0,0,1,23.4,7.4.2007
Jason Terry,DALLAS MAVERICKS,HOME,PORTLAND TRAIL BLAZERS,WIN,2163,12,19,2,3,3,4,0,2,1,2,0,0,0,23.4,7.4.2007
Mike Dunleavy,INDIANA PACERS,HOME,BOSTON CELTICS,WIN,2591,8,16,0,2,6,6,2,6,7,2,0,1,1,22.7,7.4.2007
Deron Williams,UTAH JAZZ,HOME,SEATTLE SUPERSONICS,LOSS,2538,10,17,2,3,2,3,3,2,13,1,0,5,4,21.9,7.4.2007
Elton Brand,LOS ANGELES CLIPPERS,HOME,DENVER NUGGETS,LOSS,2289,9,16,0,0,4,4,7,6,4,2,2,5,2,21.5,7.4.2007
Chris Paul,NEW ORLEANS/OKLAHOMA CITY HORNETS,AWAY,MINNESOTA TIMBERWOLVES,WIN,2173,6,12,3,6,3,6,1,2,10,3,1,1,1,21.4,7.4.2007
Richard Jefferson,NEW JERSEY NETS,HOME,WASHINGTON WIZARDS,WIN,2429,7,12,6,8,7,8,0,3,3,1,0,3,3,20.8,7.4.2007
Carlos Boozer,UTAH JAZZ,HOME,SEATTLE SUPERSONICS,LOSS,1883,8,14,0,0,0,0,3,10,4,2,0,0,1,18.9,7.4.2007
Rajon Rondo,BOSTON CELTICS,AWAY,INDIANA PACERS,LOSS,2417,6,12,0,1,2,5,2,6,8,7,0,2,5,18.6,7.4.2007
Troy Murphy,INDIANA PACERS,HOME,BOSTON CELTICS,WIN,1651,6,6,2,2,2,2,0,0,4,3,0,2,1,17.6,7.4.2007
Jason Kidd,NEW JERSEY NETS,HOME,WASHINGTON WIZARDS,WIN,2423,4,12,1,6,1,2,6,10,18,4,0,9,1,17.2,7.4.2007
Grant Hill,ORLANDO MAGIC,HOME,MEMPHIS GRIZZLIES,WIN,1716,7,8,0,0,1,2,1,2,3,2,0,0,1,16.8,7.4.2007
Carmelo Anthony,DENVER NUGGETS,AWAY,LOS ANGELES CLIPPERS,WIN,2490,9,18,1,1,4,7,3,3,5,2,1,4,4,16.4,7.4.2007
Nick Collison,SEATTLE SUPERSONICS,AWAY,UTAH JAZZ,WIN,1975,4,8,0,0,6,10,1,6,4,3,1,0,3,16.2,7.4.2007
Al Harrington,GOLDEN STATE WARRIORS,AWAY,SAN ANTONIO SPURS,LOSS,1937,9,15,3,6,1,2,3,4,2,2,0,3,6,16.0,7.4.2007
Tony Parker,SAN ANTONIO SPURS,HOME,GOLDEN STATE WARRIORS,WIN,2098,5,10,0,0,8,10,0,2,7,2,0,3,2,15.9,7.4.2007
Michael Redd,MILWAUKEE BUCKS,HOME,NEW YORK KNICKS,LOSS,2427,9,24,3,8,4,7,1,1,3,3,0,1,0,15.7,7.4.2007
Jason Richardson,GOLDEN STATE WARRIORS,AWAY,SAN ANTONIO SPURS,LOSS,2219,9,17,5,9,0,1,1,5,1,0,0,0,4,15.6,7.4.2007
Mo Williams,MILWAUKEE BUCKS,HOME,NEW YORK KNICKS,LOSS,2299,7,11,1,3,0,0,1,7,10,1,0,4,4,15.3,7.4.2007
Mardy Collins,NEW YORK KNICKS,AWAY,MILWAUKEE BUCKS,WIN,3082,6,17,1,2,6,10,3,9,8,5,0,7,3,15.1,7.4.2007
Sebastian Telfair,BOSTON CELTICS,AWAY,INDIANA PACERS,LOSS,1899,8,12,1,2,4,6,1,4,3,1,0,3,6,14.6,7.4.2007
Hedo Turkoglu,ORLANDO MAGIC,HOME,MEMPHIS GRIZZLIES,WIN,1459,5,6,1,2,4,5,0,3,5,0,0,1,3,14.6,7.4.2007
Earl Watson,SEATTLE SUPERSONICS,AWAY,UTAH JAZZ,WIN,2607,6,13,3,6,0,0,0,0,9,1,1,1,2,14.5,7.4.2007
Trevor Ariza,ORLANDO MAGIC,HOME,MEMPHIS GRIZZLIES,WIN,1257,4,7,0,1,6,6,3,4,4,3,0,5,1,14.4,7.4.2007
Corey Maggette,LOS ANGELES CLIPPERS,HOME,DENVER NUGGETS,LOSS,2212,7,12,0,0,10,11,2,3,2,1,0,7,4,14.1,7.4.2007
