name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
Zach Randolph,PORTLAND TRAIL BLAZERS,AWAY,UTAH JAZZ,LOSS,2563,16,25,0,0,2,3,1,12,4,1,0,2,1,28.2,30.12.2006
Luol Deng,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,WIN,2544,15,19,0,0,2,2,3,3,1,1,0,1,1,28.0,30.12.2006
Jermaine O'Neal,INDIANA PACERS,HOME,CHARLOTTE BOBCATS,LOSS,2440,8,17,0,0,11,14,3,9,3,0,4,0,4,25.2,30.12.2006
Caron Butler,WASHINGTON WIZARDS,AWAY,MILWAUKEE BUCKS,LOSS,2743,13,25,2,2,1,1,5,8,4,1,0,1,3,24.2,30.12.2006
Kevin Martin,SACRAMENTO KINGS,HOME,GOLDEN STATE WARRIORS,WIN,1810,6,11,3,3,10,10,1,5,1,2,0,1,1,23.2,30.12.2006
Adam Morrison,CHARLOTTE BOBCATS,AWAY,INDIANA PACERS,WIN,2322,9,17,2,2,10,11,1,5,2,0,0,1,2,23.1,30.12.2006
Mikki Moore,NEW JERSEY NETS,HOME,MINNESOTA TIMBERWOLVES,WIN,2349,9,9,0,0,2,3,5,3,1,2,0,1,3,21.8,30.12.2006
Michael Redd,MILWAUKEE BUCKS,HOME,WASHINGTON WIZARDS,WIN,2650,10,23,4,14,4,4,1,7,4,0,0,0,0,21.5,30.12.2006
Quincy Douby,SACRAMENTO KINGS,HOME,GOLDEN STATE WARRIORS,WIN,1809,9,13,2,4,1,1,1,4,1,3,1,1,0,20.8,30.12.2006
Emeka Okafor,CHARLOTTE BOBCATS,AWAY,INDIANA PACERS,WIN,2374,6,12,0,0,7,9,3,11,1,0,5,0,4,20.2,30.12.2006
Ruben Patterson,MILWAUKEE BUCKS,HOME,WASHINGTON WIZARDS,WIN,1694,9,13,0,0,3,5,4,3,4,0,1,1,2,20.1,30.12.2006
LeBron James,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,LOSS,2419,15,26,3,4,0,3,2,7,3,1,0,5,4,19.6,30.12.2006
Jason Kidd,NEW JERSEY NETS,HOME,MINNESOTA TIMBERWOLVES,WIN,2131,6,9,3,4,4,6,0,4,8,2,1,3,3,19.6,30.12.2006
Mike Miller,MEMPHIS GRIZZLIES,HOME,TORONTO RAPTORS,WIN,2190,9,15,7,12,2,2,2,2,1,1,0,3,3,19.6,30.12.2006
Dwight Howard,ORLANDO MAGIC,HOME,MIAMI HEAT,WIN,1806,5,8,0,0,8,9,3,7,2,0,2,1,2,19.2,30.12.2006
Pau Gasol,MEMPHIS GRIZZLIES,HOME,TORONTO RAPTORS,WIN,2051,8,16,0,0,6,7,1,10,4,1,2,3,1,19.1,30.12.2006
Jason Terry,DALLAS MAVERICKS,HOME,NEW ORLEANS/OKLAHOMA CITY HORNETS,WIN,1982,10,20,2,4,3,4,0,2,6,0,0,0,1,19.0,30.12.2006
Richard Jefferson,NEW JERSEY NETS,HOME,MINNESOTA TIMBERWOLVES,WIN,2569,8,16,2,3,5,5,1,5,5,1,0,3,1,18.3,30.12.2006
Mike Bibby,SACRAMENTO KINGS,HOME,GOLDEN STATE WARRIORS,WIN,1885,7,13,2,6,5,6,0,3,6,1,0,3,1,17.0,30.12.2006
Morris Peterson,TORONTO RAPTORS,AWAY,MEMPHIS GRIZZLIES,LOSS,1682,6,13,4,11,3,4,2,3,2,2,2,1,3,16.8,30.12.2006
Trevor Ariza,ORLANDO MAGIC,HOME,MIAMI HEAT,WIN,2138,7,11,0,1,2,4,1,9,3,2,1,1,2,16.7,30.12.2006
Andrew Bogut,MILWAUKEE BUCKS,HOME,WASHINGTON WIZARDS,WIN,1871,6,12,0,0,2,2,6,6,3,1,1,0,3,16.6,30.12.2006
Chucky Atkins,MEMPHIS GRIZZLIES,HOME,TORONTO RAPTORS,WIN,1898,4,10,2,5,6,7,0,2,9,2,0,2,2,16.3,30.12.2006
Raymond Felton,CHARLOTTE BOBCATS,AWAY,INDIANA PACERS,WIN,2500,3,8,1,1,3,4,0,6,19,2,0,4,5,16.3,30.12.2006
Randy Foye,MINNESOTA TIMBERWOLVES,AWAY,NEW JERSEY NETS,LOSS,1531,5,8,1,2,7,7,0,1,4,2,1,2,5,16.2,30.12.2006
Mo Williams,MILWAUKEE BUCKS,HOME,WASHINGTON WIZARDS,WIN,2099,7,17,1,5,1,1,0,8,9,3,0,2,1,16.2,30.12.2006
Ricky Davis,MINNESOTA TIMBERWOLVES,AWAY,NEW JERSEY NETS,LOSS,2462,8,15,1,3,1,1,1,3,6,3,0,3,2,15.7,30.12.2006
Josh Howard,DALLAS MAVERICKS,HOME,NEW ORLEANS/OKLAHOMA CITY HORNETS,WIN,1759,6,9,0,0,3,4,0,6,3,2,1,1,3,15.1,30.12.2006
Marc Jackson,NEW ORLEANS/OKLAHOMA CITY HORNETS,AWAY,DALLAS MAVERICKS,LOSS,2005,6,13,0,0,10,10,2,6,0,0,0,2,4,14.9,30.12.2006
Matt Carroll,CHARLOTTE BOBCATS,AWAY,INDIANA PACERS,WIN,1703,5,11,4,7,4,4,0,3,2,1,0,0,2,14.8,30.12.2006
Carlos Boozer,UTAH JAZZ,HOME,PORTLAND TRAIL BLAZERS,WIN,2210,8,15,0,0,3,5,2,8,4,0,0,2,2,14.7,30.12.2006
Keith McLeod,GOLDEN STATE WARRIORS,AWAY,SACRAMENTO KINGS,LOSS,1568,7,9,3,3,0,0,0,3,3,2,0,3,2,14.7,30.12.2006
Ben Gordon,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,WIN,2092,8,18,0,1,5,5,1,3,7,2,0,4,4,14.5,30.12.2006
Kevin Garnett,MINNESOTA TIMBERWOLVES,AWAY,NEW JERSEY NETS,LOSS,2352,5,14,0,1,7,7,2,9,5,0,0,2,1,14.4,30.12.2006
Charlie Bell,MILWAUKEE BUCKS,HOME,WASHINGTON WIZARDS,WIN,1955,8,13,3,7,0,0,0,2,4,0,0,1,3,14.3,30.12.2006
Paul Millsap,UTAH JAZZ,HOME,PORTLAND TRAIL BLAZERS,WIN,898,4,4,0,0,3,3,3,3,0,2,1,0,3,14.3,30.12.2006
Corliss Williamson,SACRAMENTO KINGS,HOME,GOLDEN STATE WARRIORS,WIN,1387,2,7,0,0,9,12,3,4,3,4,0,2,3,13.9,30.12.2006
Andrei Kirilenko,UTAH JAZZ,HOME,PORTLAND TRAIL BLAZERS,WIN,2172,4,6,1,1,5,6,0,4,2,2,3,3,3,13.5,30.12.2006
Stromile Swift,MEMPHIS GRIZZLIES,HOME,TORONTO RAPTORS,WIN,2045,5,10,0,0,5,5,4,10,0,1,2,4,2,13.4,30.12.2006
Antawn Jamison,WASHINGTON WIZARDS,AWAY,MILWAUKEE BUCKS,LOSS,2146,7,15,1,3,2,2,3,5,1,0,0,0,2,12.8,30.12.2006
Anthony Parker,TORONTO RAPTORS,AWAY,MEMPHIS GRIZZLIES,LOSS,1947,4,11,2,4,2,4,1,4,6,3,0,1,1,12.8,30.12.2006
P.J. Brown,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,WIN,1893,5,11,0,0,3,3,4,6,1,1,0,1,0,12.6,30.12.2006
Mehmet Okur,UTAH JAZZ,HOME,PORTLAND TRAIL BLAZERS,WIN,1899,9,13,0,1,2,2,3,4,0,0,0,4,3,12.6,30.12.2006
Jose Calderon,TORONTO RAPTORS,AWAY,MEMPHIS GRIZZLIES,LOSS,1434,4,5,0,0,5,6,0,3,3,1,0,2,1,12.3,30.12.2006
Jamaal Tinsley,INDIANA PACERS,HOME,CHARLOTTE BOBCATS,LOSS,1979,5,12,0,1,5,10,1,2,6,2,0,1,2,12.3,30.12.2006
Shareef Abdur-Rahim,SACRAMENTO KINGS,HOME,GOLDEN STATE WARRIORS,WIN,1577,5,9,0,1,2,2,2,6,3,1,1,1,4,12.1,30.12.2006
Donyell Marshall,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,LOSS,1457,5,12,2,5,0,0,5,2,3,1,0,0,2,12.0,30.12.2006
Hedo Turkoglu,ORLANDO MAGIC,HOME,MIAMI HEAT,WIN,1751,2,8,1,4,6,7,1,3,5,1,0,0,1,11.5,30.12.2006
Rasho Nesterovic,TORONTO RAPTORS,AWAY,MEMPHIS GRIZZLIES,LOSS,2029,6,10,0,0,1,2,3,6,2,0,1,1,4,11.4,30.12.2006
Brian Skinner,MILWAUKEE BUCKS,HOME,WASHINGTON WIZARDS,WIN,1736,5,8,0,0,2,3,3,5,1,0,1,0,4,11.4,30.12.2006
Danny Granger,INDIANA PACERS,HOME,CHARLOTTE BOBCATS,LOSS,1594,6,11,3,7,2,3,1,5,0,0,1,2,3,11.0,30.12.2006
Dorell Wright,MIAMI HEAT,AWAY,ORLANDO MAGIC,LOSS,1907,5,9,0,0,2,2,1,4,2,2,2,2,4,10.8,30.12.2006
Jorge Garbajosa,TORONTO RAPTORS,AWAY,MEMPHIS GRIZZLIES,LOSS,1696,7,13,1,2,0,0,0,5,0,4,0,2,4,10.6,30.12.2006
Brandon Roy,PORTLAND TRAIL BLAZERS,AWAY,UTAH JAZZ,LOSS,2110,6,11,1,3,4,8,0,2,1,2,0,2,2,10.6,30.12.2006
Andray Blatche,WASHINGTON WIZARDS,AWAY,MILWAUKEE BUCKS,LOSS,745,4,6,1,2,0,0,4,4,1,0,1,1,1,10.4,30.12.2006
Matt Barnes,GOLDEN STATE WARRIORS,AWAY,SACRAMENTO KINGS,LOSS,2246,4,13,3,10,6,8,0,6,0,2,0,1,3,10.3,30.12.2006
J.J. Redick,ORLANDO MAGIC,HOME,MIAMI HEAT,WIN,733,2,3,1,1,4,4,0,1,1,2,0,0,1,10.3,30.12.2006
Devin Brown,NEW ORLEANS/OKLAHOMA CITY HORNETS,AWAY,DALLAS MAVERICKS,LOSS,2157,3,7,1,3,3,4,0,10,3,3,0,3,2,10.2,30.12.2006
Erick Dampier,DALLAS MAVERICKS,HOME,NEW ORLEANS/OKLAHOMA CITY HORNETS,WIN,1571,2,3,0,0,3,4,4,5,1,1,1,1,2,10.2,30.12.2006
Dirk Nowitzki,DALLAS MAVERICKS,HOME,NEW ORLEANS/OKLAHOMA CITY HORNETS,WIN,1925,6,14,0,2,5,5,0,4,4,0,1,3,3,10.1,30.12.2006
Ike Diogu,GOLDEN STATE WARRIORS,AWAY,SACRAMENTO KINGS,LOSS,1076,6,8,0,0,4,4,2,3,1,0,1,5,4,9.9,30.12.2006
Jason Kapono,MIAMI HEAT,AWAY,ORLANDO MAGIC,LOSS,2271,5,9,4,4,1,1,0,2,3,0,0,3,2,9.6,30.12.2006
Derek Fisher,UTAH JAZZ,HOME,PORTLAND TRAIL BLAZERS,WIN,1046,5,8,1,1,0,0,0,1,2,1,0,0,2,9.3,30.12.2006
Darrick Martin,TORONTO RAPTORS,AWAY,MEMPHIS GRIZZLIES,LOSS,1446,2,6,1,3,2,2,0,3,10,1,0,2,4,8.9,30.12.2006
Tony Battie,ORLANDO MAGIC,HOME,MIAMI HEAT,WIN,1865,6,10,0,0,0,1,1,5,0,0,0,0,1,8.8,30.12.2006
Antonio Daniels,WASHINGTON WIZARDS,AWAY,MILWAUKEE BUCKS,LOSS,1269,3,6,0,1,2,2,0,0,6,1,0,1,1,8.8,30.12.2006
Chris Duhon,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,WIN,2482,2,9,0,4,4,5,0,2,11,0,0,2,0,8.4,30.12.2006
Malik Allen,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,WIN,910,5,9,0,0,0,0,1,6,0,1,1,0,4,8.3,30.12.2006
Larry Hughes,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,LOSS,2335,5,14,1,2,4,5,0,3,1,1,0,1,1,8.0,30.12.2006
Deron Williams,UTAH JAZZ,HOME,PORTLAND TRAIL BLAZERS,WIN,2370,4,13,0,2,0,2,2,2,12,0,1,2,2,8.0,30.12.2006
Zydrunas Ilgauskas,CLEVELAND CAVALIERS,AWAY,CHICAGO BULLS,LOSS,1842,6,13,0,0,2,2,4,5,2,0,2,5,4,7.8,30.12.2006
Brad Miller,SACRAMENTO KINGS,HOME,GOLDEN STATE WARRIORS,WIN,1303,3,3,0,0,4,4,0,0,4,0,0,3,3,7.7,30.12.2006
Mike Sweetney,CHICAGO BULLS,HOME,CLEVELAND CAVALIERS,WIN,611,3,3,0,0,0,2,2,3,1,0,2,0,3,7.5,30.12.2006
Francisco Garcia,SACRAMENTO KINGS,HOME,GOLDEN STATE WARRIORS,WIN,2058,4,15,3,8,2,4,1,6,0,2,4,1,6,7.2,30.12.2006
Stephen Jackson,INDIANA PACERS,HOME,CHARLOTTE BOBCATS,LOSS,1824,5,12,0,1,4,7,0,2,2,0,0,0,3,7.2,30.12.2006
Desmond Mason,NEW ORLEANS/OKLAHOMA CITY HORNETS,AWAY,DALLAS MAVERICKS,LOSS,2376,6,11,0,0,5,7,2,3,0,0,0,4,5,7.2,30.12.2006
Eddie Jones,MEMPHIS GRIZZLIES,HOME,TORONTO RAPTORS,WIN,1194,2,4,1,3,3,3,0,2,3,1,0,1,4,7.1,30.12.2006
Jeff Foster,INDIANA PACERS,HOME,CHARLOTTE BOBCATS,LOSS,1771,3,7,0,0,2,2,4,5,0,0,0,1,2,6.8,30.12.2006
Trenton Hassell,MINNESOTA TIMBERWOLVES,AWAY,NEW JERSEY NETS,LOSS,2123,3,4,0,0,2,2,0,1,3,0,2,3,1,6.8,30.12.2006
Mike Dunleavy,GOLDEN STATE WARRIORS,AWAY,SACRAMENTO KINGS,LOSS,1713,5,19,1,6,2,2,5,3,4,1,0,2,3,6.7,30.12.2006
Devin Harris,DALLAS MAVERICKS,HOME,NEW ORLEANS/OKLAHOMA CITY HORNETS,WIN,1835,5,11,0,0,2,3,0,2,4,1,0,2,4,6.7,30.12.2006
