name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
Kobe Bryant,LOS ANGELES LAKERS,HOME,PHOENIX SUNS,WIN,2689,15,26,2,3,13,13,0,6,6,1,1,5,3,34.3,26.4.2007
Tayshaun Prince,DETROIT PISTONS,AWAY,ORLANDO MAGIC,WIN,2602,8,16,3,5,4,4,1,6,5,3,0,2,0,22.0,26.4.2007
Carlos Boozer,UTAH JAZZ,HOME,HOUSTON ROCKETS,WIN,2095,10,18,0,0,2,3,5,7,4,0,0,1,2,19.6,26.4.2007
Amar'e Stoudemire,PHOENIX SUNS,AWAY,LOS ANGELES LAKERS,LOSS,1882,11,17,0,2,2,2,2,8,3,0,2,3,4,19.2,26.4.2007
Lamar Odom,LOS ANGELES LAKERS,HOME,PHOENIX SUNS,WIN,2764,8,17,1,3,1,2,6,10,2,0,2,1,2,17.1,26.4.2007
Jameer Nelson,ORLANDO MAGIC,HOME,DETROIT PISTONS,LOSS,2349,10,19,3,5,4,4,1,2,4,0,0,3,5,16.8,26.4.2007
Chauncey Billups,DETROIT PISTONS,AWAY,ORLANDO MAGIC,WIN,2250,8,13,2,3,3,6,0,6,3,2,0,3,1,16.4,26.4.2007
Yao Ming,HOUSTON ROCKETS,AWAY,UTAH JAZZ,LOSS,2343,6,14,0,0,14,16,3,11,1,0,1,8,3,15.4,26.4.2007
Kwame Brown,LOS ANGELES LAKERS,HOME,PHOENIX SUNS,WIN,2145,8,14,0,0,3,5,4,2,0,0,2,3,1,13.0,26.4.2007
Chris Webber,DETROIT PISTONS,AWAY,ORLANDO MAGIC,WIN,1661,7,13,0,0,1,2,2,5,0,1,2,0,3,12.4,26.4.2007
Tracy McGrady,HOUSTON ROCKETS,AWAY,UTAH JAZZ,LOSS,2347,9,23,1,5,5,8,1,3,3,1,1,4,2,10.9,26.4.2007
Leandro Barbosa,PHOENIX SUNS,AWAY,LOS ANGELES LAKERS,LOSS,2167,7,18,5,11,1,2,1,4,2,0,0,2,1,10.7,26.4.2007
Rasheed Wallace,DETROIT PISTONS,AWAY,ORLANDO MAGIC,WIN,1797,6,13,3,3,0,0,2,4,0,0,1,0,4,10.0,26.4.2007
Matt Harpring,UTAH JAZZ,HOME,HOUSTON ROCKETS,WIN,1789,4,12,0,0,5,5,3,4,1,0,0,0,1,9.8,26.4.2007
Steve Nash,PHOENIX SUNS,AWAY,LOS ANGELES LAKERS,LOSS,2225,4,9,1,2,1,1,0,4,13,0,0,5,2,9.8,26.4.2007
Darko Milicic,ORLANDO MAGIC,HOME,DETROIT PISTONS,LOSS,1462,5,7,0,0,1,5,2,0,1,1,1,0,2,9.5,26.4.2007
Shane Battier,HOUSTON ROCKETS,AWAY,UTAH JAZZ,LOSS,2444,4,10,3,7,0,0,0,5,1,1,2,0,2,9.4,26.4.2007
Boris Diaw,PHOENIX SUNS,AWAY,LOS ANGELES LAKERS,LOSS,1421,3,4,0,0,2,2,1,2,5,0,0,2,1,8.8,26.4.2007
Hedo Turkoglu,ORLANDO MAGIC,HOME,DETROIT PISTONS,LOSS,2308,4,10,0,2,2,3,1,6,4,2,1,3,1,8.8,26.4.2007
Paul Millsap,UTAH JAZZ,HOME,HOUSTON ROCKETS,WIN,839,4,4,0,0,1,2,1,3,0,0,0,1,0,8.0,26.4.2007
Raja Bell,PHOENIX SUNS,AWAY,LOS ANGELES LAKERS,LOSS,2266,3,7,2,4,1,2,1,2,5,1,0,1,5,7.7,26.4.2007
Antonio McDyess,DETROIT PISTONS,AWAY,ORLANDO MAGIC,WIN,1273,2,5,0,0,0,0,3,8,2,0,2,0,3,7.4,26.4.2007
Dwight Howard,ORLANDO MAGIC,HOME,DETROIT PISTONS,LOSS,2661,5,10,0,0,1,2,2,10,1,0,1,3,3,7.2,26.4.2007
Mehmet Okur,UTAH JAZZ,HOME,HOUSTON ROCKETS,WIN,2154,2,12,0,6,3,3,1,2,1,4,4,1,3,6.0,26.4.2007
Rafer Alston,HOUSTON ROCKETS,AWAY,UTAH JAZZ,LOSS,2703,2,5,2,4,0,0,1,6,5,1,1,5,2,5.2,26.4.2007
Deron Williams,UTAH JAZZ,HOME,HOUSTON ROCKETS,WIN,2334,5,18,0,5,1,1,2,5,8,2,0,5,2,5.1,26.4.2007
Shawn Marion,PHOENIX SUNS,AWAY,LOS ANGELES LAKERS,LOSS,2663,4,12,1,3,1,3,0,4,1,1,2,1,2,4.9,26.4.2007
Derek Fisher,UTAH JAZZ,HOME,HOUSTON ROCKETS,WIN,1526,3,9,0,2,0,0,0,1,1,3,0,0,1,4.5,26.4.2007
Richard Hamilton,DETROIT PISTONS,AWAY,ORLANDO MAGIC,WIN,2332,2,11,0,0,6,7,3,2,2,1,0,2,4,4.2,26.4.2007
Jarron Collins,UTAH JAZZ,HOME,HOUSTON ROCKETS,WIN,726,0,1,0,0,1,2,2,2,2,2,0,0,3,4.1,26.4.2007
Gordan Giricek,UTAH JAZZ,HOME,HOUSTON ROCKETS,WIN,1339,4,9,2,2,0,0,0,3,1,0,0,2,3,3.7,26.4.2007
Luke Walton,LOS ANGELES LAKERS,HOME,PHOENIX SUNS,WIN,1351,2,6,1,2,0,0,1,2,2,1,0,1,2,3.5,26.4.2007
