name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
Ray Allen,SEATTLE SUPERSONICS,AWAY,GOLDEN STATE WARRIORS,LOSS,2255,11,17,7,11,9,9,2,0,4,2,0,5,5,29.7,6.1.2007
Deron Williams,UTAH JAZZ,AWAY,DENVER NUGGETS,WIN,2504,12,22,4,9,0,0,0,3,12,4,0,2,5,26.7,6.1.2007
Al Harrington,INDIANA PACERS,AWAY,NEW ORLEANS/OKLAHOMA CITY HORNETS,WIN,2314,10,12,3,3,4,5,3,2,3,1,1,2,4,25.1,6.1.2007
Luol Deng,CHICAGO BULLS,HOME,DETROIT PISTONS,WIN,2300,11,19,1,1,7,10,3,4,3,0,1,2,0,24.0,6.1.2007
Zach Randolph,PORTLAND TRAIL BLAZERS,AWAY,SACRAMENTO KINGS,WIN,2699,10,23,0,1,12,15,4,11,3,1,0,4,3,22.7,6.1.2007
Carlos Boozer,UTAH JAZZ,AWAY,DENVER NUGGETS,WIN,2106,10,12,0,0,4,4,3,8,3,1,0,4,4,21.6,6.1.2007
Metta World Peace,SACRAMENTO KINGS,HOME,PORTLAND TRAIL BLAZERS,LOSS,2723,9,16,1,2,4,6,2,4,3,2,2,1,3,20.5,6.1.2007
Richard Hamilton,DETROIT PISTONS,AWAY,CHICAGO BULLS,LOSS,2315,7,20,2,2,11,12,2,2,6,1,3,4,1,20.3,6.1.2007
Drew Gooden,CLEVELAND CAVALIERS,HOME,NEW JERSEY NETS,WIN,1896,8,12,0,0,5,6,6,6,1,1,0,2,3,19.9,6.1.2007
Joe Johnson,ATLANTA HAWKS,HOME,LOS ANGELES CLIPPERS,WIN,2391,8,16,2,5,9,10,0,2,3,0,0,2,0,19.3,6.1.2007
Andres Nocioni,CHICAGO BULLS,HOME,DETROIT PISTONS,WIN,1643,8,10,3,4,2,2,3,3,2,0,0,2,3,18.4,6.1.2007
Desmond Mason,NEW ORLEANS/OKLAHOMA CITY HORNETS,HOME,INDIANA PACERS,LOSS,2173,11,15,0,0,6,7,1,3,1,2,0,6,5,17.8,6.1.2007
Chris Wilcox,SEATTLE SUPERSONICS,AWAY,GOLDEN STATE WARRIORS,LOSS,1914,8,13,0,0,6,7,2,5,2,1,0,2,3,17.8,6.1.2007
Zaza Pachulia,ATLANTA HAWKS,HOME,LOS ANGELES CLIPPERS,WIN,2016,7,15,0,1,8,9,4,4,2,2,0,2,4,17.7,6.1.2007
Andris Biedrins,GOLDEN STATE WARRIORS,HOME,SEATTLE SUPERSONICS,WIN,2111,6,11,0,0,3,4,8,8,1,0,2,1,3,17.2,6.1.2007
Ben Wallace,CHICAGO BULLS,HOME,DETROIT PISTONS,WIN,2397,5,11,0,0,2,4,5,9,2,3,6,2,3,17.1,6.1.2007
Mike Bibby,SACRAMENTO KINGS,HOME,PORTLAND TRAIL BLAZERS,LOSS,2650,10,20,5,7,3,4,0,5,2,1,0,3,4,16.9,6.1.2007
Elton Brand,LOS ANGELES CLIPPERS,AWAY,ATLANTA HAWKS,LOSS,2417,10,17,0,0,6,10,4,3,4,1,0,6,4,16.4,6.1.2007
Jermaine O'Neal,INDIANA PACERS,AWAY,NEW ORLEANS/OKLAHOMA CITY HORNETS,WIN,2323,8,15,0,0,6,7,1,6,3,2,2,4,5,16.3,6.1.2007
Baron Davis,GOLDEN STATE WARRIORS,HOME,SEATTLE SUPERSONICS,WIN,2880,9,19,2,6,2,4,2,5,11,1,0,5,5,16.1,6.1.2007
Mikki Moore,NEW JERSEY NETS,AWAY,CLEVELAND CAVALIERS,LOSS,2221,8,11,0,0,2,2,3,7,0,1,0,1,5,15.7,6.1.2007
Kevin Martin,SACRAMENTO KINGS,HOME,PORTLAND TRAIL BLAZERS,LOSS,2504,7,13,1,5,7,9,0,6,2,0,0,1,5,15.1,6.1.2007
Brandon Roy,PORTLAND TRAIL BLAZERS,AWAY,SACRAMENTO KINGS,WIN,2534,8,15,1,6,6,6,0,5,0,0,0,1,3,15.0,6.1.2007
Earl Boykins,DENVER NUGGETS,HOME,UTAH JAZZ,LOSS,2491,9,19,2,8,2,3,2,1,3,2,0,2,2,14.9,6.1.2007
Stephen Jackson,INDIANA PACERS,AWAY,NEW ORLEANS/OKLAHOMA CITY HORNETS,WIN,2341,7,17,0,2,13,14,0,2,2,0,1,4,4,14.6,6.1.2007
Ben Gordon,CHICAGO BULLS,HOME,DETROIT PISTONS,WIN,1929,8,18,3,6,4,6,0,3,4,3,0,4,3,14.3,6.1.2007
Nazr Mohammed,DETROIT PISTONS,AWAY,CHICAGO BULLS,LOSS,1224,6,9,0,0,3,4,4,1,1,0,2,1,2,14.1,6.1.2007
Zydrunas Ilgauskas,CLEVELAND CAVALIERS,HOME,NEW JERSEY NETS,WIN,1755,6,9,0,0,4,4,2,2,1,0,0,0,2,14.0,6.1.2007
Jarrett Jack,PORTLAND TRAIL BLAZERS,AWAY,SACRAMENTO KINGS,WIN,2719,5,14,1,4,6,7,0,2,8,2,0,2,3,13.8,6.1.2007
Allen Iverson,DENVER NUGGETS,HOME,UTAH JAZZ,LOSS,2659,5,19,1,7,11,12,0,5,8,2,0,5,2,13.6,6.1.2007
Richard Jefferson,NEW JERSEY NETS,AWAY,CLEVELAND CAVALIERS,LOSS,2560,7,17,2,3,1,3,1,3,5,2,0,0,2,13.4,6.1.2007
LeBron James,CLEVELAND CAVALIERS,HOME,NEW JERSEY NETS,WIN,2640,9,21,1,3,0,0,0,13,4,3,3,5,4,13.1,6.1.2007
Monta Ellis,GOLDEN STATE WARRIORS,HOME,SEATTLE SUPERSONICS,WIN,2224,9,16,1,3,1,5,0,0,4,2,0,2,3,12.4,6.1.2007
Larry Hughes,CLEVELAND CAVALIERS,HOME,NEW JERSEY NETS,WIN,2650,8,19,2,5,3,6,0,2,3,2,0,1,3,12.2,6.1.2007
Linas Kleiza,DENVER NUGGETS,HOME,UTAH JAZZ,LOSS,2064,5,9,1,3,6,8,1,1,0,0,0,1,4,10.3,6.1.2007
Vince Carter,NEW JERSEY NETS,AWAY,CLEVELAND CAVALIERS,LOSS,2353,6,13,0,3,6,7,1,6,3,1,1,5,5,10.2,6.1.2007
Speedy Claxton,ATLANTA HAWKS,HOME,LOS ANGELES CLIPPERS,WIN,2299,4,11,0,3,1,4,0,4,6,5,0,1,3,9.9,6.1.2007
