name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
Antawn Jamison,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,2872,14,26,5,9,15,24,4,5,1,1,0,0,3,36.6,17.4.2007
Josh Smith,ATLANTA HAWKS,HOME,INDIANA PACERS,WIN,2740,9,20,0,1,7,10,3,10,5,2,4,3,3,22.6,17.4.2007
Tyronn Lue,ATLANTA HAWKS,HOME,INDIANA PACERS,WIN,2227,6,12,0,2,13,14,0,1,8,0,0,2,2,21.7,17.4.2007
Shelden Williams,ATLANTA HAWKS,HOME,INDIANA PACERS,WIN,2461,9,13,0,0,3,5,2,8,2,2,2,0,4,21.7,17.4.2007
Matt Barnes,GOLDEN STATE WARRIORS,HOME,DALLAS MAVERICKS,WIN,1893,7,15,2,4,3,3,3,9,5,1,0,0,2,19.8,17.4.2007
Marvin Williams,ATLANTA HAWKS,HOME,INDIANA PACERS,WIN,2271,10,15,0,0,3,3,3,4,3,2,1,3,5,19.6,17.4.2007
Leandro Barbosa,PHOENIX SUNS,HOME,LOS ANGELES CLIPPERS,LOSS,1863,9,17,4,8,0,0,1,7,2,1,0,1,1,17.5,17.4.2007
Mickael Pietrus,GOLDEN STATE WARRIORS,HOME,DALLAS MAVERICKS,WIN,1739,6,9,3,4,7,8,0,6,0,0,0,1,3,17.3,17.4.2007
Elton Brand,LOS ANGELES CLIPPERS,AWAY,PHOENIX SUNS,WIN,2510,8,18,0,0,5,8,5,4,4,1,3,3,2,17.2,17.4.2007
Hedo Turkoglu,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,2479,9,16,1,3,7,7,1,5,1,0,1,3,5,17.0,17.4.2007
Quinton Ross,LOS ANGELES CLIPPERS,AWAY,PHOENIX SUNS,WIN,2630,6,10,0,0,3,4,3,4,1,2,0,0,2,15.2,17.4.2007
Ike Diogu,INDIANA PACERS,AWAY,ATLANTA HAWKS,LOSS,1671,7,12,0,0,6,7,2,5,1,1,1,2,6,14.9,17.4.2007
Danny Granger,INDIANA PACERS,AWAY,ATLANTA HAWKS,LOSS,1667,4,8,2,2,5,6,2,1,2,1,2,0,3,14.9,17.4.2007
Willie Green,PHILADELPHIA 76ERS,HOME,CLEVELAND CAVALIERS,LOSS,2811,10,19,3,4,1,1,1,3,3,0,0,3,2,14.6,17.4.2007
Ronald Murray,DETROIT PISTONS,HOME,TORONTO RAPTORS,WIN,1482,6,9,2,3,2,3,0,3,4,1,0,1,2,14.6,17.4.2007
Larry Hughes,CLEVELAND CAVALIERS,AWAY,PHILADELPHIA 76ERS,WIN,2568,9,19,3,6,1,2,0,3,5,3,0,4,3,14.1,17.4.2007
Boris Diaw,PHOENIX SUNS,HOME,LOS ANGELES CLIPPERS,LOSS,1781,8,12,0,1,1,2,1,1,6,0,0,2,3,13.4,17.4.2007
Jarvis Hayes,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,2516,6,12,1,4,2,2,0,2,4,2,0,1,0,13.4,17.4.2007
LeBron James,CLEVELAND CAVALIERS,AWAY,PHILADELPHIA 76ERS,WIN,2163,7,15,0,2,4,7,1,4,6,0,0,1,3,13.0,17.4.2007
Uros Slokar,TORONTO RAPTORS,AWAY,DETROIT PISTONS,LOSS,1779,7,10,1,1,3,4,3,0,0,1,0,2,4,12.9,17.4.2007
Solomon Jones,ATLANTA HAWKS,HOME,INDIANA PACERS,WIN,1890,5,8,0,0,4,4,3,5,0,0,2,1,5,12.4,17.4.2007
Joe Smith,PHILADELPHIA 76ERS,HOME,CLEVELAND CAVALIERS,LOSS,2270,6,13,0,0,5,5,1,12,1,1,0,4,0,12.3,17.4.2007
Carlos Delfino,DETROIT PISTONS,HOME,TORONTO RAPTORS,WIN,1410,5,6,0,0,2,2,0,5,2,0,1,1,1,12.0,17.4.2007
Dwight Howard,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,2457,7,11,0,0,3,6,3,9,2,0,3,6,3,12.0,17.4.2007
Maurice Ager,DALLAS MAVERICKS,AWAY,GOLDEN STATE WARRIORS,LOSS,2038,6,14,2,4,6,6,1,5,0,1,1,3,4,11.9,17.4.2007
Anthony Johnson,ATLANTA HAWKS,HOME,INDIANA PACERS,WIN,1288,3,6,0,2,0,0,1,0,12,1,0,1,1,11.7,17.4.2007
Jason Hart,LOS ANGELES CLIPPERS,AWAY,PHOENIX SUNS,WIN,2481,6,15,0,0,4,4,3,2,4,0,0,1,2,11.6,17.4.2007
Zydrunas Ilgauskas,CLEVELAND CAVALIERS,AWAY,PHILADELPHIA 76ERS,WIN,1841,6,10,0,0,2,2,2,6,5,1,0,4,4,11.5,17.4.2007
Baron Davis,GOLDEN STATE WARRIORS,HOME,DALLAS MAVERICKS,WIN,1785,5,9,0,1,2,4,0,3,4,2,0,0,3,11.4,17.4.2007
Antonio McDyess,DETROIT PISTONS,HOME,TORONTO RAPTORS,WIN,737,5,5,0,0,0,0,0,6,0,2,0,1,0,11.3,17.4.2007
Monta Ellis,GOLDEN STATE WARRIORS,HOME,DALLAS MAVERICKS,WIN,1643,1,9,0,0,9,10,2,4,4,5,0,2,5,11.1,17.4.2007
Raja Bell,PHOENIX SUNS,HOME,LOS ANGELES CLIPPERS,LOSS,1972,5,14,4,10,3,4,2,4,3,0,0,1,4,10.9,17.4.2007
Al Harrington,GOLDEN STATE WARRIORS,HOME,DALLAS MAVERICKS,WIN,1138,2,7,2,3,5,5,2,4,3,1,2,2,3,10.8,17.4.2007
Lindsey Hunter,DETROIT PISTONS,HOME,TORONTO RAPTORS,WIN,1162,3,5,2,3,0,0,0,0,11,0,1,3,1,10.7,17.4.2007
Mike Dunleavy,INDIANA PACERS,AWAY,ATLANTA HAWKS,LOSS,2145,4,7,0,3,3,5,1,8,2,1,0,1,2,10.6,17.4.2007
Stephen Jackson,GOLDEN STATE WARRIORS,HOME,DALLAS MAVERICKS,WIN,1640,5,11,2,4,1,1,1,4,4,0,0,1,1,10.6,17.4.2007
Tim Thomas,LOS ANGELES CLIPPERS,AWAY,PHOENIX SUNS,WIN,2310,7,18,4,8,0,0,2,6,2,0,0,1,3,10.6,17.4.2007
Drew Gooden,CLEVELAND CAVALIERS,AWAY,PHILADELPHIA 76ERS,WIN,1516,6,10,0,0,0,0,3,5,1,2,0,2,3,10.5,17.4.2007
Grant Hill,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,2082,4,7,0,0,5,6,0,4,2,1,2,3,2,10.5,17.4.2007
Steve Nash,PHOENIX SUNS,HOME,LOS ANGELES CLIPPERS,LOSS,1955,2,6,0,3,2,2,0,4,12,1,0,3,0,10.2,17.4.2007
Andre Miller,PHILADELPHIA 76ERS,HOME,CLEVELAND CAVALIERS,LOSS,2400,4,11,0,0,4,6,2,5,5,0,0,1,1,10.1,17.4.2007
Eric Snow,CLEVELAND CAVALIERS,AWAY,PHILADELPHIA 76ERS,WIN,1482,1,3,0,0,3,4,0,5,8,1,0,0,3,9.8,17.4.2007
Anderson Varejao,CLEVELAND CAVALIERS,AWAY,PHILADELPHIA 76ERS,WIN,1564,4,6,0,0,3,6,1,7,1,0,1,1,2,9.6,17.4.2007
Bobby Jones,PHILADELPHIA 76ERS,HOME,CLEVELAND CAVALIERS,LOSS,1747,5,9,0,0,3,4,0,0,1,2,0,0,4,9.4,17.4.2007
Rasho Nesterovic,TORONTO RAPTORS,AWAY,DETROIT PISTONS,LOSS,1026,5,7,0,0,1,2,1,3,0,0,0,0,0,9.3,17.4.2007
Sasha Pavlovic,CLEVELAND CAVALIERS,AWAY,PHILADELPHIA 76ERS,WIN,1685,4,8,1,1,2,2,1,1,1,1,0,0,1,9.3,17.4.2007
Amar'e Stoudemire,PHOENIX SUNS,HOME,LOS ANGELES CLIPPERS,LOSS,1955,5,12,0,0,6,6,1,2,0,1,2,2,5,9.3,17.4.2007
Jason Richardson,GOLDEN STATE WARRIORS,HOME,DALLAS MAVERICKS,WIN,2384,5,15,2,6,2,4,2,5,2,0,2,0,3,9.2,17.4.2007
Orien Greene,INDIANA PACERS,AWAY,ATLANTA HAWKS,LOSS,841,2,3,1,1,4,4,0,2,2,2,0,2,2,8.9,17.4.2007
Lou Williams,PHILADELPHIA 76ERS,HOME,CLEVELAND CAVALIERS,LOSS,1682,2,8,1,2,8,9,0,3,7,0,0,4,2,8.8,17.4.2007
Chris Kaman,LOS ANGELES CLIPPERS,AWAY,PHOENIX SUNS,WIN,1495,3,6,0,0,3,4,4,1,1,1,0,1,2,8.6,17.4.2007
Etan Thomas,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,1639,2,5,0,0,1,4,5,4,1,1,6,1,6,8.3,17.4.2007
Pape Sow,TORONTO RAPTORS,AWAY,DETROIT PISTONS,LOSS,1472,1,4,0,0,3,5,4,4,2,1,1,0,2,8.1,17.4.2007
J.J. Barea,DALLAS MAVERICKS,AWAY,GOLDEN STATE WARRIORS,LOSS,1846,5,14,0,2,3,6,5,5,3,0,0,2,3,7.9,17.4.2007
Richard Hamilton,DETROIT PISTONS,HOME,TORONTO RAPTORS,WIN,1398,6,10,0,1,0,0,1,2,2,0,0,1,3,7.9,17.4.2007
Amir Johnson,DETROIT PISTONS,HOME,TORONTO RAPTORS,WIN,791,2,3,0,0,4,6,2,4,0,1,0,1,2,7.7,17.4.2007
Keith McLeod,INDIANA PACERS,AWAY,ATLANTA HAWKS,LOSS,1618,4,8,1,3,2,2,0,0,5,0,1,2,4,7.6,17.4.2007
James Jones,PHOENIX SUNS,HOME,LOS ANGELES CLIPPERS,LOSS,1942,3,8,2,6,0,0,1,1,1,2,2,0,3,7.5,17.4.2007
Rasheed Wallace,DETROIT PISTONS,HOME,TORONTO RAPTORS,WIN,1256,3,8,2,5,0,0,0,6,0,1,2,0,1,7.4,17.4.2007
Keyon Dooling,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,1541,2,7,0,1,5,5,1,1,2,0,1,0,2,7.2,17.4.2007
Corey Maggette,LOS ANGELES CLIPPERS,AWAY,PHOENIX SUNS,WIN,1867,4,13,0,0,5,5,2,9,3,1,0,4,4,7.1,17.4.2007
Samuel Dalembert,PHILADELPHIA 76ERS,HOME,CLEVELAND CAVALIERS,LOSS,2252,4,9,0,0,3,4,4,6,1,0,2,4,4,7.0,17.4.2007
Shawne Williams,INDIANA PACERS,AWAY,ATLANTA HAWKS,LOSS,1525,3,5,0,1,1,2,1,0,3,1,0,0,3,6.9,17.4.2007
Devin Harris,DALLAS MAVERICKS,AWAY,GOLDEN STATE WARRIORS,LOSS,961,4,7,0,1,5,6,0,1,1,0,1,3,3,6.8,17.4.2007
Morris Peterson,TORONTO RAPTORS,AWAY,DETROIT PISTONS,LOSS,2262,6,16,2,4,0,1,0,13,1,0,0,1,4,6.8,17.4.2007
Kris Humphries,TORONTO RAPTORS,AWAY,DETROIT PISTONS,LOSS,1483,2,9,0,0,2,2,3,5,2,1,1,0,2,6.4,17.4.2007
Shawn Marion,PHOENIX SUNS,HOME,LOS ANGELES CLIPPERS,LOSS,1670,5,17,0,4,0,0,3,5,1,3,0,1,0,6.4,17.4.2007
Sam Cassell,LOS ANGELES CLIPPERS,AWAY,PHOENIX SUNS,WIN,873,4,10,1,2,2,2,1,3,1,0,1,2,1,6.2,17.4.2007
Jason Maxiell,DETROIT PISTONS,HOME,TORONTO RAPTORS,WIN,1624,4,8,0,0,2,6,0,4,0,2,2,1,5,6.0,17.4.2007
Tayshaun Prince,DETROIT PISTONS,HOME,TORONTO RAPTORS,WIN,1470,3,5,0,1,0,0,0,3,2,0,0,0,0,6.0,17.4.2007
Darrick Martin,TORONTO RAPTORS,AWAY,DETROIT PISTONS,LOSS,1145,2,7,0,4,3,4,0,2,8,0,0,2,2,5.9,17.4.2007
Darko Milicic,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,659,1,1,0,0,2,2,0,4,0,0,2,0,1,5.9,17.4.2007
DeSagana Diop,DALLAS MAVERICKS,AWAY,GOLDEN STATE WARRIORS,LOSS,1379,2,4,0,0,0,0,1,5,0,1,4,1,3,5.8,17.4.2007
Maceo Baston,INDIANA PACERS,AWAY,ATLANTA HAWKS,LOSS,1326,3,7,0,1,3,3,0,3,2,0,1,2,2,5.5,17.4.2007
Devean George,DALLAS MAVERICKS,AWAY,GOLDEN STATE WARRIORS,LOSS,1884,4,11,0,0,4,4,2,3,0,1,0,2,5,5.2,17.4.2007
Jose Calderon,TORONTO RAPTORS,AWAY,DETROIT PISTONS,LOSS,799,3,7,0,0,0,0,1,2,2,1,0,1,0,5.0,17.4.2007
Carlos Arroyo,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,776,2,3,0,0,0,0,0,1,4,0,0,0,4,4.2,17.4.2007
Juan Dixon,TORONTO RAPTORS,AWAY,DETROIT PISTONS,LOSS,1334,3,10,0,2,4,4,0,1,1,1,0,2,0,4.2,17.4.2007
Greg Buckner,DALLAS MAVERICKS,AWAY,GOLDEN STATE WARRIORS,LOSS,2044,3,7,0,3,0,0,1,6,3,0,1,2,4,4.0,17.4.2007
Kurt Thomas,PHOENIX SUNS,HOME,LOS ANGELES CLIPPERS,LOSS,1262,0,0,0,0,3,4,1,3,0,0,2,0,4,4.0,17.4.2007
Josh Powell,GOLDEN STATE WARRIORS,HOME,DALLAS MAVERICKS,WIN,517,1,2,0,0,1,2,1,2,2,0,2,1,2,3.9,17.4.2007
Jamaal Tinsley,INDIANA PACERS,AWAY,ATLANTA HAWKS,LOSS,1017,2,4,0,0,0,0,1,0,3,1,0,2,1,3.4,17.4.2007
T.J. Ford,TORONTO RAPTORS,AWAY,DETROIT PISTONS,LOSS,936,2,6,0,0,0,0,1,1,5,0,0,1,2,3.3,17.4.2007
Austin Croshere,DALLAS MAVERICKS,AWAY,GOLDEN STATE WARRIORS,LOSS,1790,1,6,0,1,3,5,2,4,0,1,0,0,2,3.2,17.4.2007
Darius Songaila,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,744,1,4,0,1,2,2,1,3,1,0,0,0,2,3.1,17.4.2007
Andris Biedrins,GOLDEN STATE WARRIORS,HOME,DALLAS MAVERICKS,WIN,960,2,5,0,0,0,0,2,1,0,1,2,0,6,3.0,17.4.2007
Chris Webber,DETROIT PISTONS,HOME,TORONTO RAPTORS,WIN,1068,3,7,0,0,0,0,0,2,0,0,0,0,0,2.9,17.4.2007
Donyell Marshall,CLEVELAND CAVALIERS,AWAY,PHILADELPHIA 76ERS,WIN,839,2,6,1,3,0,0,0,3,1,0,1,0,3,2.7,17.4.2007
J.J. Redick,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,426,1,2,1,2,0,0,1,0,0,0,0,0,0,2.7,17.4.2007
Trevor Ariza,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,1020,2,4,0,0,1,2,2,3,0,0,1,1,5,2.6,17.4.2007
Troy Murphy,INDIANA PACERS,AWAY,ATLANTA HAWKS,LOSS,1388,4,10,0,2,1,1,0,3,1,0,0,1,4,2.6,17.4.2007
Donell Taylor,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,575,2,4,0,0,0,0,1,1,0,0,0,0,1,2.6,17.4.2007
Jameer Nelson,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,1350,2,8,0,1,3,3,0,1,5,0,0,3,2,2.2,17.4.2007
Chauncey Billups,DETROIT PISTONS,HOME,TORONTO RAPTORS,WIN,1282,1,8,0,3,0,0,0,3,10,0,0,2,2,1.9,17.4.2007
Kelenna Azubuike,GOLDEN STATE WARRIORS,HOME,DALLAS MAVERICKS,WIN,354,1,2,0,0,0,0,1,0,0,0,0,0,0,1.7,17.4.2007
Tony Battie,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,855,2,5,0,0,0,0,1,4,0,0,0,0,4,1.6,17.4.2007
Rawle Marshall,INDIANA PACERS,AWAY,ATLANTA HAWKS,LOSS,336,1,3,1,1,0,0,0,1,0,0,0,0,0,1.6,17.4.2007
Lou Amundson,PHILADELPHIA 76ERS,HOME,CLEVELAND CAVALIERS,LOSS,702,1,1,0,0,0,2,1,3,0,0,0,0,3,1.3,17.4.2007
Andray Blatche,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,730,0,1,0,1,0,0,2,1,1,1,0,1,1,1.3,17.4.2007
Darrell Armstrong,INDIANA PACERS,AWAY,ATLANTA HAWKS,LOSS,130,0,0,0,0,2,2,0,1,0,0,0,1,1,0.9,17.4.2007
Pops Mensah-Bonsu,DALLAS MAVERICKS,AWAY,GOLDEN STATE WARRIORS,LOSS,834,1,3,0,0,2,6,2,4,0,0,0,2,1,0.9,17.4.2007
Keith Bogans,ORLANDO MAGIC,AWAY,WASHINGTON WIZARDS,WIN,755,1,2,1,2,0,0,1,1,0,0,0,1,3,0.8,17.4.2007
Jason Terry,DALLAS MAVERICKS,AWAY,GOLDEN STATE WARRIORS,LOSS,1060,2,9,0,1,1,1,0,0,2,0,0,0,1,0.5,17.4.2007
Daniel Ewing,LOS ANGELES CLIPPERS,AWAY,PHOENIX SUNS,WIN,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,17.4.2007
Sarunas Jasikevicius,GOLDEN STATE WARRIORS,HOME,DALLAS MAVERICKS,WIN,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,17.4.2007
James Singleton,LOS ANGELES CLIPPERS,AWAY,PHOENIX SUNS,WIN,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,17.4.2007
Adonal Foyle,GOLDEN STATE WARRIORS,HOME,DALLAS MAVERICKS,WIN,255,0,0,0,0,0,0,1,0,0,0,0,1,0,-0.3,17.4.2007
DeShawn Stevenson,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,2322,2,14,2,8,3,6,1,3,2,1,0,3,1,-0.6,17.4.2007
Kevin Willis,DALLAS MAVERICKS,AWAY,GOLDEN STATE WARRIORS,LOSS,564,0,1,0,0,0,0,0,3,0,0,0,0,2,-0.6,17.4.2007
Steven Hunter,PHILADELPHIA 76ERS,HOME,CLEVELAND CAVALIERS,LOSS,325,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.8,17.4.2007
Antonio Daniels,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,1966,0,10,0,3,2,2,2,2,6,0,0,1,3,-1.0,17.4.2007
Esteban Batista,ATLANTA HAWKS,HOME,INDIANA PACERS,WIN,192,0,1,0,0,0,0,0,0,0,0,0,0,1,-1.1,17.4.2007
Alan Henderson,PHILADELPHIA 76ERS,HOME,CLEVELAND CAVALIERS,LOSS,211,0,0,0,0,0,2,0,0,0,0,0,0,1,-1.2,17.4.2007
Daniel Gibson,CLEVELAND CAVALIERS,AWAY,PHILADELPHIA 76ERS,WIN,742,0,2,0,0,0,0,0,0,1,1,0,0,4,-1.3,17.4.2007
Brendan Haywood,WASHINGTON WIZARDS,HOME,ORLANDO MAGIC,LOSS,1037,1,4,0,0,0,4,2,3,0,0,2,2,3,-1.5,17.4.2007
Nazr Mohammed,DETROIT PISTONS,HOME,TORONTO RAPTORS,WIN,720,1,6,0,0,0,0,0,1,0,0,1,0,3,-2.0,17.4.2007
David Harrison,INDIANA PACERS,AWAY,ATLANTA HAWKS,LOSS,736,1,4,0,0,0,0,0,2,1,0,1,3,4,-3.0,17.4.2007
Royal Ivey,ATLANTA HAWKS,HOME,INDIANA PACERS,WIN,1331,2,8,0,1,0,0,0,1,0,0,0,1,4,-3.1,17.4.2007
Luke Jackson,TORONTO RAPTORS,AWAY,DETROIT PISTONS,LOSS,2164,1,6,0,2,1,4,0,2,0,2,1,4,2,-3.5,17.4.2007
