name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
Mike Miller,MEMPHIS GRIZZLIES,HOME,GOLDEN STATE WARRIORS,WIN,1846,11,15,9,12,2,2,0,1,7,0,1,1,3,30.6,3.1.2007
Caron Butler,WASHINGTON WIZARDS,HOME,MILWAUKEE BUCKS,WIN,2772,13,17,1,2,2,2,2,5,9,2,1,4,3,29.0,3.1.2007
Gilbert Arenas,WASHINGTON WIZARDS,HOME,MILWAUKEE BUCKS,WIN,2635,12,25,4,9,4,5,4,7,8,4,0,5,1,28.0,3.1.2007
LeBron James,CLEVELAND CAVALIERS,AWAY,BOSTON CELTICS,WIN,2687,11,20,2,3,8,10,1,5,4,3,1,3,0,27.3,3.1.2007
Damon Stoudamire,MEMPHIS GRIZZLIES,HOME,GOLDEN STATE WARRIORS,WIN,1684,6,9,2,3,4,4,2,4,16,2,0,1,4,27.3,3.1.2007
Baron Davis,GOLDEN STATE WARRIORS,AWAY,MEMPHIS GRIZZLIES,LOSS,2391,8,14,1,5,5,6,2,5,13,2,0,1,2,27.2,3.1.2007
Tim Duncan,SAN ANTONIO SPURS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2684,11,19,0,0,2,2,6,7,5,1,5,1,4,26.8,3.1.2007
Elton Brand,LOS ANGELES CLIPPERS,AWAY,MIAMI HEAT,WIN,2193,10,14,0,0,8,8,2,4,2,1,2,1,3,26.4,3.1.2007
Pau Gasol,MEMPHIS GRIZZLIES,HOME,GOLDEN STATE WARRIORS,WIN,2120,9,14,0,0,6,7,3,10,2,0,4,0,1,26.3,3.1.2007
Tracy McGrady,HOUSTON ROCKETS,HOME,SEATTLE SUPERSONICS,WIN,2204,11,21,3,6,6,8,2,4,7,1,0,2,1,26.0,3.1.2007
Matt Barnes,GOLDEN STATE WARRIORS,AWAY,MEMPHIS GRIZZLIES,LOSS,2623,13,28,7,16,3,3,2,5,5,1,2,3,4,25.8,3.1.2007
Mark Blount,MINNESOTA TIMBERWOLVES,HOME,SAN ANTONIO SPURS,WIN,2520,12,14,0,0,4,4,0,4,2,1,1,1,3,25.1,3.1.2007
Carlos Boozer,UTAH JAZZ,HOME,PHILADELPHIA 76ERS,WIN,2335,10,14,0,0,7,10,5,9,1,0,0,1,3,24.7,3.1.2007
Stromile Swift,MEMPHIS GRIZZLIES,HOME,GOLDEN STATE WARRIORS,WIN,2076,11,17,0,0,4,7,4,5,2,3,4,3,3,24.6,3.1.2007
Eddy Curry,NEW YORK KNICKS,AWAY,PORTLAND TRAIL BLAZERS,WIN,2356,11,17,0,0,5,8,2,8,0,1,2,2,1,22.1,3.1.2007
Kevin Garnett,MINNESOTA TIMBERWOLVES,HOME,SAN ANTONIO SPURS,WIN,2790,9,23,0,0,9,10,2,15,7,0,3,4,3,21.8,3.1.2007
Ray Allen,SEATTLE SUPERSONICS,AWAY,HOUSTON ROCKETS,LOSS,2571,13,22,2,7,4,5,0,3,2,0,0,2,0,21.7,3.1.2007
Mo Williams,MILWAUKEE BUCKS,AWAY,WASHINGTON WIZARDS,LOSS,2577,10,20,2,6,2,2,1,6,5,4,0,3,1,20.6,3.1.2007
Zydrunas Ilgauskas,CLEVELAND CAVALIERS,AWAY,BOSTON CELTICS,WIN,2525,12,19,0,0,3,4,4,7,2,1,1,4,5,20.1,3.1.2007
Manu Ginobili,SAN ANTONIO SPURS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2239,7,17,2,4,10,11,1,6,1,1,0,0,3,19.5,3.1.2007
Chris Bosh,TORONTO RAPTORS,HOME,PHOENIX SUNS,LOSS,2480,11,22,0,2,4,5,4,10,4,1,2,6,2,18.8,3.1.2007
Jamal Crawford,NEW YORK KNICKS,AWAY,PORTLAND TRAIL BLAZERS,WIN,2553,9,21,0,4,7,7,2,3,6,2,0,2,4,18.8,3.1.2007
Rudy Gay,MEMPHIS GRIZZLIES,HOME,GOLDEN STATE WARRIORS,WIN,2156,8,15,0,3,6,9,3,5,3,0,1,1,1,18.5,3.1.2007
Anthony Parker,TORONTO RAPTORS,HOME,PHOENIX SUNS,LOSS,2290,5,10,2,3,4,5,3,1,4,4,0,1,1,18.4,3.1.2007
Tony Allen,BOSTON CELTICS,HOME,CLEVELAND CAVALIERS,LOSS,2442,8,13,1,3,5,6,2,3,4,2,0,3,5,17.8,3.1.2007
Mehmet Okur,UTAH JAZZ,HOME,PHILADELPHIA 76ERS,WIN,1807,4,11,3,5,10,10,3,4,1,0,0,0,3,17.7,3.1.2007
Jason Kapono,MIAMI HEAT,HOME,LOS ANGELES CLIPPERS,LOSS,1870,7,10,3,3,2,2,0,3,3,0,0,0,1,17.4,3.1.2007
Antawn Jamison,WASHINGTON WIZARDS,HOME,MILWAUKEE BUCKS,WIN,2421,9,20,3,8,1,3,2,7,2,2,0,0,2,16.9,3.1.2007
Boris Diaw,PHOENIX SUNS,AWAY,TORONTO RAPTORS,WIN,2068,7,10,0,1,1,1,4,2,6,0,1,2,2,16.3,3.1.2007
Amar'e Stoudemire,PHOENIX SUNS,AWAY,TORONTO RAPTORS,WIN,2116,6,11,0,0,3,3,2,6,2,3,6,3,6,16.1,3.1.2007
Tony Parker,SAN ANTONIO SPURS,AWAY,MINNESOTA TIMBERWOLVES,LOSS,2381,7,15,0,0,5,6,0,4,4,1,0,0,0,15.9,3.1.2007
Alonzo Mourning,MIAMI HEAT,HOME,LOS ANGELES CLIPPERS,LOSS,1820,7,10,0,0,2,4,4,3,2,2,4,5,2,15.1,3.1.2007
Stephon Marbury,NEW YORK KNICKS,AWAY,PORTLAND TRAIL BLAZERS,WIN,2262,6,12,2,5,3,6,1,6,7,0,0,1,3,15.0,3.1.2007
Raja Bell,PHOENIX SUNS,AWAY,TORONTO RAPTORS,WIN,2388,6,13,3,8,2,2,0,8,5,0,2,2,2,14.8,3.1.2007
Brian Skinner,MILWAUKEE BUCKS,AWAY,WASHINGTON WIZARDS,LOSS,1487,4,6,0,0,0,1,4,5,1,2,5,0,2,14.7,3.1.2007
Chris Kaman,LOS ANGELES CLIPPERS,AWAY,MIAMI HEAT,WIN,2570,9,12,0,0,2,2,1,5,1,1,2,4,5,14.5,3.1.2007
Damien Wilkins,SEATTLE SUPERSONICS,AWAY,HOUSTON ROCKETS,LOSS,2152,6,13,5,10,2,2,1,3,2,0,0,0,2,14.5,3.1.2007
Andrea Bargnani,TORONTO RAPTORS,HOME,PHOENIX SUNS,LOSS,2170,6,10,4,4,1,2,0,4,1,4,0,2,4,14.3,3.1.2007
Larry Hughes,CLEVELAND CAVALIERS,AWAY,BOSTON CELTICS,WIN,2704,4,10,0,2,6,6,0,3,5,2,1,1,1,14.3,3.1.2007
Michael Redd,MILWAUKEE BUCKS,AWAY,WASHINGTON WIZARDS,LOSS,2398,9,23,3,8,6,7,1,3,3,1,1,4,3,14.3,3.1.2007
Andris Biedrins,GOLDEN STATE WARRIORS,AWAY,MEMPHIS GRIZZLIES,LOSS,1488,6,7,0,0,0,0,5,4,2,1,2,2,6,13.6,3.1.2007
Andre Miller,PHILADELPHIA 76ERS,AWAY,UTAH JAZZ,LOSS,2389,7,14,1,1,2,2,1,6,5,2,0,3,4,13.4,3.1.2007
Shawn Marion,PHOENIX SUNS,AWAY,TORONTO RAPTORS,WIN,2396,4,10,2,4,3,4,0,9,2,4,1,2,3,12.8,3.1.2007
Quinton Ross,LOS ANGELES CLIPPERS,AWAY,MIAMI HEAT,WIN,2531,6,9,0,0,1,2,1,5,4,2,1,2,4,12.8,3.1.2007
Matt Harpring,UTAH JAZZ,HOME,PHILADELPHIA 76ERS,WIN,1140,10,14,0,1,0,0,1,1,0,0,1,2,3,12.7,3.1.2007
Trenton Hassell,MINNESOTA TIMBERWOLVES,HOME,SAN ANTONIO SPURS,WIN,2646,3,4,0,0,5,5,4,4,4,0,2,3,5,12.6,3.1.2007
Al Jefferson,BOSTON CELTICS,HOME,CLEVELAND CAVALIERS,LOSS,2023,8,12,0,0,2,3,2,10,0,1,0,4,3,12.6,3.1.2007
Gerald Green,BOSTON CELTICS,HOME,CLEVELAND CAVALIERS,LOSS,1148,8,13,2,5,3,4,2,0,0,0,0,2,4,12.5,3.1.2007
Daniel Ewing,LOS ANGELES CLIPPERS,AWAY,MIAMI HEAT,WIN,1876,5,8,0,0,2,2,1,4,5,1,0,1,4,12.2,3.1.2007
Kelenna Azubuike,GOLDEN STATE WARRIORS,AWAY,MEMPHIS GRIZZLIES,LOSS,1454,5,14,3,6,2,2,3,2,2,1,1,1,0,12.0,3.1.2007
Randy Foye,MINNESOTA TIMBERWOLVES,HOME,SAN ANTONIO SPURS,WIN,2471,6,18,1,3,6,6,1,2,3,0,0,0,1,11.8,3.1.2007
Delonte West,BOSTON CELTICS,HOME,CLEVELAND CAVALIERS,LOSS,1942,4,9,1,3,1,1,0,1,8,2,0,1,1,11.8,3.1.2007
Robert Hite,MIAMI HEAT,HOME,LOS ANGELES CLIPPERS,LOSS,1173,6,14,2,7,2,3,2,1,0,1,1,0,0,11.6,3.1.2007
Shaun Livingston,LOS ANGELES CLIPPERS,AWAY,MIAMI HEAT,WIN,1679,6,9,0,0,0,0,0,2,9,0,0,2,4,11.4,3.1.2007
Juwan Howard,HOUSTON ROCKETS,HOME,SEATTLE SUPERSONICS,WIN,2390,8,14,0,0,2,2,0,4,3,0,0,3,1,11.3,3.1.2007
Mike Dunleavy,GOLDEN STATE WARRIORS,AWAY,MEMPHIS GRIZZLIES,LOSS,1466,5,13,2,6,4,4,2,1,3,0,1,1,3,11.2,3.1.2007
Sebastian Telfair,BOSTON CELTICS,HOME,CLEVELAND CAVALIERS,LOSS,1432,4,8,0,2,2,3,0,4,5,1,0,0,1,10.9,3.1.2007
Dikembe Mutombo,HOUSTON ROCKETS,HOME,SEATTLE SUPERSONICS,WIN,1692,3,4,0,0,2,3,5,7,0,1,1,1,4,10.7,3.1.2007
Ruben Patterson,MILWAUKEE BUCKS,AWAY,WASHINGTON WIZARDS,LOSS,1376,5,9,0,0,2,3,3,3,4,1,0,3,1,10.7,3.1.2007
Johan Petro,SEATTLE SUPERSONICS,AWAY,HOUSTON ROCKETS,LOSS,1424,4,5,0,0,3,4,0,6,2,0,0,0,4,10.3,3.1.2007
Kyle Korver,PHILADELPHIA 76ERS,AWAY,UTAH JAZZ,LOSS,1844,3,7,0,0,4,4,0,2,3,2,0,0,2,10.2,3.1.2007
Zach Randolph,PORTLAND TRAIL BLAZERS,HOME,NEW YORK KNICKS,LOSS,1593,7,10,0,0,1,1,0,9,2,0,0,4,2,10.1,3.1.2007
Chucky Atkins,MEMPHIS GRIZZLIES,HOME,GOLDEN STATE WARRIORS,WIN,1196,3,6,1,3,3,4,0,1,5,1,0,1,1,10.0,3.1.2007
Chris Wilcox,SEATTLE SUPERSONICS,AWAY,HOUSTON ROCKETS,LOSS,2379,5,11,0,0,3,8,2,2,2,1,1,0,1,10.0,3.1.2007
David Lee,NEW YORK KNICKS,AWAY,PORTLAND TRAIL BLAZERS,WIN,2105,3,9,0,0,3,3,6,8,4,0,0,3,1,9.9,3.1.2007
Deron Williams,UTAH JAZZ,HOME,PHILADELPHIA 76ERS,WIN,2317,1,12,0,3,5,6,0,3,14,2,0,1,1,9.9,3.1.2007
Jarrett Jack,PORTLAND TRAIL BLAZERS,HOME,NEW YORK KNICKS,LOSS,1809,4,10,1,2,2,2,0,2,7,0,0,1,1,9.7,3.1.2007
Shane Battier,HOUSTON ROCKETS,HOME,SEATTLE SUPERSONICS,WIN,2159,5,10,2,5,0,0,1,2,3,0,0,0,2,9.6,3.1.2007
Brandon Roy,PORTLAND TRAIL BLAZERS,HOME,NEW YORK KNICKS,LOSS,1981,4,11,0,1,6,6,0,3,3,1,0,2,1,9.5,3.1.2007
Dan Gadzuric,MILWAUKEE BUCKS,AWAY,WASHINGTON WIZARDS,LOSS,909,5,6,0,0,0,0,1,1,0,1,0,0,1,9.4,3.1.2007
Drew Gooden,CLEVELAND CAVALIERS,AWAY,BOSTON CELTICS,WIN,1984,3,8,0,0,7,8,3,9,1,0,0,3,4,9.1,3.1.2007
Steve Nash,PHOENIX SUNS,AWAY,TORONTO RAPTORS,WIN,2178,5,13,2,7,3,3,1,3,9,1,0,7,2,9.0,3.1.2007
Derek Fisher,UTAH JAZZ,HOME,PHILADELPHIA 76ERS,WIN,1905,5,10,0,0,2,3,0,1,4,2,0,2,2,8.9,3.1.2007
Chris Quinn,MIAMI HEAT,HOME,LOS ANGELES CLIPPERS,LOSS,1112,3,6,1,4,1,1,0,1,5,0,0,0,0,8.8,3.1.2007
