name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
Andre Iguodala,PHILADELPHIA 76ERS,AWAY,LOS ANGELES CLIPPERS,WIN,2659,7,16,0,3,14,17,1,6,7,2,0,1,2,26.0,31.12.2008
Joakim Noah,CHICAGO BULLS,HOME,ORLANDO MAGIC,LOSS,1848,4,6,0,0,11,13,4,7,3,1,1,0,3,23.1,31.12.2008
Jeff Green,OKLAHOMA CITY THUNDER,HOME,GOLDEN STATE WARRIORS,WIN,2627,10,19,1,2,5,5,5,3,1,2,1,1,3,22.3,31.12.2008
Brook Lopez,NEW JERSEY NETS,AWAY,DETROIT PISTONS,LOSS,2240,8,13,0,0,7,7,6,6,3,0,2,3,4,22.0,31.12.2008
Andrea Bargnani,TORONTO RAPTORS,HOME,DENVER NUGGETS,LOSS,2480,9,19,3,6,5,5,2,4,1,2,5,2,3,21.9,31.12.2008
Marcus Camby,LOS ANGELES CLIPPERS,HOME,PHILADELPHIA 76ERS,LOSS,2336,5,7,0,0,6,7,3,14,6,1,2,4,2,20.8,31.12.2008
Kelenna Azubuike,GOLDEN STATE WARRIORS,AWAY,OKLAHOMA CITY THUNDER,LOSS,1852,8,12,4,6,4,4,2,0,2,1,1,2,2,20.5,31.12.2008
Chris Wilcox,OKLAHOMA CITY THUNDER,HOME,GOLDEN STATE WARRIORS,WIN,2161,9,16,0,0,5,8,4,5,2,4,2,3,5,20.3,31.12.2008
Al Thornton,LOS ANGELES CLIPPERS,HOME,PHILADELPHIA 76ERS,LOSS,2494,9,17,0,1,6,8,4,5,0,1,4,2,2,20.2,31.12.2008
Nene Hilario,DENVER NUGGETS,AWAY,TORONTO RAPTORS,WIN,2340,8,12,1,1,4,5,2,5,3,1,1,1,3,19.9,31.12.2008
Kevin Durant,OKLAHOMA CITY THUNDER,HOME,GOLDEN STATE WARRIORS,WIN,2713,9,18,1,2,6,7,1,9,6,0,2,4,2,19.8,31.12.2008
Chris Bosh,TORONTO RAPTORS,HOME,DENVER NUGGETS,LOSS,2378,7,18,0,3,10,13,4,7,1,1,1,1,0,19.3,31.12.2008
Thaddeus Young,PHILADELPHIA 76ERS,AWAY,LOS ANGELES CLIPPERS,WIN,2259,10,14,0,0,0,0,3,3,1,3,0,0,4,19.3,31.12.2008
Kenyon Martin,DENVER NUGGETS,AWAY,TORONTO RAPTORS,WIN,2273,7,9,0,0,1,3,2,5,3,3,1,0,4,17.8,31.12.2008
Jose Calderon,TORONTO RAPTORS,HOME,DENVER NUGGETS,LOSS,2050,6,9,4,4,2,2,0,5,11,0,0,5,4,16.7,31.12.2008
Dwight Howard,ORLANDO MAGIC,AWAY,CHICAGO BULLS,WIN,1744,5,7,0,0,5,8,5,9,2,0,2,2,4,16.3,31.12.2008
