name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
Chauncey Billups,DENVER NUGGETS,HOME,TORONTO RAPTORS,WIN,1913,8,12,5,6,3,3,0,1,14,1,0,1,0,28.9,2.12.2008
Chris Duhon,NEW YORK KNICKS,HOME,PORTLAND TRAIL BLAZERS,LOSS,2626,7,14,1,4,8,8,0,5,13,1,0,1,1,26.2,2.12.2008
Chris Bosh,TORONTO RAPTORS,AWAY,DENVER NUGGETS,LOSS,1926,7,15,0,1,10,10,5,7,5,1,0,1,3,24.2,2.12.2008
Nene Hilario,DENVER NUGGETS,HOME,TORONTO RAPTORS,WIN,1613,8,9,0,0,3,3,3,8,2,0,2,0,2,22.4,2.12.2008
Caron Butler,WASHINGTON WIZARDS,AWAY,NEW JERSEY NETS,WIN,2251,9,16,2,6,2,2,0,5,10,0,0,2,0,20.9,2.12.2008
Dirk Nowitzki,DALLAS MAVERICKS,HOME,LOS ANGELES CLIPPERS,WIN,2596,10,27,2,6,7,7,1,9,2,2,2,1,2,20.5,2.12.2008
T.J. Ford,INDIANA PACERS,HOME,LOS ANGELES LAKERS,WIN,2061,9,16,1,2,2,2,0,3,8,3,0,1,4,20.3,2.12.2008
Kobe Bryant,LOS ANGELES LAKERS,AWAY,INDIANA PACERS,LOSS,2233,10,21,0,5,8,10,2,5,2,1,0,1,2,20.0,2.12.2008
Zach Randolph,LOS ANGELES CLIPPERS,AWAY,DALLAS MAVERICKS,LOSS,2494,12,17,1,1,2,2,0,10,3,0,0,4,3,19.8,2.12.2008
Jason Terry,DALLAS MAVERICKS,HOME,LOS ANGELES CLIPPERS,WIN,2422,9,17,5,7,3,4,1,2,3,0,0,1,1,19.3,2.12.2008
DeShawn Stevenson,WASHINGTON WIZARDS,AWAY,NEW JERSEY NETS,WIN,1678,7,13,5,8,2,2,0,3,5,0,0,0,0,19.1,2.12.2008
Pau Gasol,LOS ANGELES LAKERS,AWAY,INDIANA PACERS,LOSS,2166,7,12,0,0,6,10,4,5,3,1,1,2,1,18.5,2.12.2008
Troy Murphy,INDIANA PACERS,HOME,LOS ANGELES LAKERS,WIN,2265,7,12,2,4,0,0,6,11,3,2,0,2,4,18.4,2.12.2008
Danny Granger,INDIANA PACERS,HOME,LOS ANGELES LAKERS,WIN,2497,10,27,4,10,8,8,0,4,5,1,0,3,4,18.2,2.12.2008
Andre Iguodala,PHILADELPHIA 76ERS,AWAY,CHICAGO BULLS,WIN,2836,11,19,0,1,3,5,2,7,5,1,1,5,2,18.2,2.12.2008
Antawn Jamison,WASHINGTON WIZARDS,AWAY,NEW JERSEY NETS,WIN,1872,10,19,2,5,0,0,3,5,1,2,0,0,2,18.2,2.12.2008
Elton Brand,PHILADELPHIA 76ERS,AWAY,CHICAGO BULLS,WIN,2555,8,18,0,0,6,9,5,9,0,2,1,1,4,17.7,2.12.2008
