name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
LeBron James,CLEVELAND CAVALIERS,HOME,PORTLAND TRAIL BLAZERS,WIN,2807,10,22,0,3,6,11,0,11,10,1,2,0,4,23.7,19.3.2009
Monta Ellis,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES LAKERS,LOSS,2231,11,19,0,0,5,5,0,3,5,3,0,2,2,22.7,19.3.2009
Kelenna Azubuike,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES LAKERS,LOSS,2083,9,15,5,6,2,2,2,6,0,1,1,2,3,19.8,19.3.2009
Brandon Roy,PORTLAND TRAIL BLAZERS,AWAY,CLEVELAND CAVALIERS,LOSS,2807,6,16,1,4,11,11,0,7,7,0,0,2,2,19.4,19.3.2009
Lamar Odom,LOS ANGELES LAKERS,HOME,GOLDEN STATE WARRIORS,WIN,1763,5,9,0,1,6,6,1,11,4,1,3,2,4,18.0,19.3.2009
Pau Gasol,LOS ANGELES LAKERS,HOME,GOLDEN STATE WARRIORS,WIN,2139,9,15,0,0,3,6,5,9,1,1,1,3,2,17.7,19.3.2009
Joe Johnson,ATLANTA HAWKS,HOME,DALLAS MAVERICKS,WIN,2593,7,19,3,4,7,7,1,6,4,1,0,1,3,17.6,19.3.2009
Zydrunas Ilgauskas,CLEVELAND CAVALIERS,HOME,PORTLAND TRAIL BLAZERS,WIN,1751,8,13,0,0,5,6,1,4,0,1,0,0,2,16.8,19.3.2009
Dirk Nowitzki,DALLAS MAVERICKS,AWAY,ATLANTA HAWKS,LOSS,2611,10,23,1,4,2,4,3,9,1,1,1,1,3,15.1,19.3.2009
Ronald Murray,ATLANTA HAWKS,HOME,DALLAS MAVERICKS,WIN,1860,7,12,1,3,4,5,0,2,1,2,0,1,3,14.1,19.3.2009
Joe Smith,CLEVELAND CAVALIERS,HOME,PORTLAND TRAIL BLAZERS,WIN,1142,5,5,0,0,2,2,2,1,0,0,2,0,3,12.4,19.3.2009
Joel Przybilla,PORTLAND TRAIL BLAZERS,AWAY,CLEVELAND CAVALIERS,LOSS,2097,4,4,0,0,5,8,1,10,0,0,2,2,4,12.1,19.3.2009
Sasha Vujacic,LOS ANGELES LAKERS,HOME,GOLDEN STATE WARRIORS,WIN,990,4,4,2,2,2,2,0,3,2,0,1,1,2,12.0,19.3.2009
Al Horford,ATLANTA HAWKS,HOME,DALLAS MAVERICKS,WIN,2171,6,10,0,0,1,5,2,6,3,0,4,2,3,11.7,19.3.2009
Steve Blake,PORTLAND TRAIL BLAZERS,AWAY,CLEVELAND CAVALIERS,LOSS,2644,5,10,2,4,0,0,1,4,7,0,0,1,4,11.2,19.3.2009
Jason Kidd,DALLAS MAVERICKS,AWAY,ATLANTA HAWKS,LOSS,2354,2,8,2,6,2,2,1,7,6,4,0,3,0,11.2,19.3.2009
Trevor Ariza,LOS ANGELES LAKERS,HOME,GOLDEN STATE WARRIORS,WIN,1762,6,12,1,3,0,0,0,3,3,3,0,1,4,10.4,19.3.2009
Brandan Wright,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES LAKERS,LOSS,1950,4,12,0,0,3,5,2,8,4,1,0,0,2,10.2,19.3.2009
Maurice Evans,ATLANTA HAWKS,HOME,DALLAS MAVERICKS,WIN,1880,4,9,2,5,0,0,3,1,0,2,0,0,0,9.7,19.3.2009
Derek Fisher,LOS ANGELES LAKERS,HOME,GOLDEN STATE WARRIORS,WIN,1093,4,6,2,2,1,1,0,2,2,0,0,0,2,9.6,19.3.2009
Josh Smith,ATLANTA HAWKS,HOME,DALLAS MAVERICKS,WIN,2507,6,11,0,1,3,6,1,8,2,2,1,5,3,9.5,19.3.2009
Ryan Hollins,DALLAS MAVERICKS,AWAY,ATLANTA HAWKS,LOSS,1989,6,9,0,0,1,2,6,1,1,1,1,4,6,9.2,19.3.2009
Jermareo Davidson,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES LAKERS,LOSS,638,4,6,0,0,0,0,2,1,0,2,0,0,1,8.7,19.3.2009
Kobe Bryant,LOS ANGELES LAKERS,HOME,GOLDEN STATE WARRIORS,WIN,2360,9,25,2,6,1,1,3,3,2,2,0,5,1,8.1,19.3.2009
Travis Outlaw,PORTLAND TRAIL BLAZERS,AWAY,CLEVELAND CAVALIERS,LOSS,2812,7,18,1,4,2,2,2,5,0,0,1,3,1,7.4,19.3.2009
Mike Bibby,ATLANTA HAWKS,HOME,DALLAS MAVERICKS,WIN,1992,4,14,0,4,2,2,0,3,7,1,0,0,4,7.0,19.3.2009
Channing Frye,PORTLAND TRAIL BLAZERS,AWAY,CLEVELAND CAVALIERS,LOSS,2051,7,15,0,1,0,0,2,2,0,0,0,0,4,6.7,19.3.2009
Luke Walton,LOS ANGELES LAKERS,HOME,GOLDEN STATE WARRIORS,WIN,1100,4,6,1,1,0,0,0,2,2,1,0,2,2,6.6,19.3.2009
Antoine Wright,DALLAS MAVERICKS,AWAY,ATLANTA HAWKS,LOSS,1922,7,15,1,6,1,1,1,2,0,1,0,2,5,6.6,19.3.2009
Ronny Turiaf,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES LAKERS,LOSS,1980,2,5,0,0,0,0,4,4,3,1,1,2,2,6.3,19.3.2009
Anthony Morrow,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES LAKERS,LOSS,872,2,3,0,1,3,3,0,1,1,0,1,0,3,6.2,19.3.2009
Brandon Bass,DALLAS MAVERICKS,AWAY,ATLANTA HAWKS,LOSS,939,4,10,0,0,2,2,2,4,0,0,1,1,3,5.7,19.3.2009
Greg Oden,PORTLAND TRAIL BLAZERS,AWAY,CLEVELAND CAVALIERS,LOSS,735,1,4,0,0,5,8,4,5,0,0,0,0,5,5.7,19.3.2009
Anderson Varejao,CLEVELAND CAVALIERS,HOME,PORTLAND TRAIL BLAZERS,WIN,1894,3,8,0,0,2,2,3,5,0,0,0,0,4,5.6,19.3.2009
Daniel Gibson,CLEVELAND CAVALIERS,HOME,PORTLAND TRAIL BLAZERS,WIN,1454,3,6,2,4,0,0,1,1,1,0,0,0,3,5.5,19.3.2009
Mo Williams,CLEVELAND CAVALIERS,HOME,PORTLAND TRAIL BLAZERS,WIN,2597,4,15,2,9,2,2,1,5,3,0,0,2,2,4.6,19.3.2009
Jordan Farmar,LOS ANGELES LAKERS,HOME,GOLDEN STATE WARRIORS,WIN,1475,1,4,0,1,2,3,0,2,7,0,1,3,0,4.4,19.3.2009
J.J. Barea,DALLAS MAVERICKS,AWAY,ATLANTA HAWKS,LOSS,1414,2,5,0,1,0,0,1,3,3,0,0,1,0,4.0,19.3.2009
C.J. Watson,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES LAKERS,LOSS,699,3,6,0,1,0,1,0,0,1,1,0,0,1,3.9,19.3.2009
Jason Terry,DALLAS MAVERICKS,AWAY,ATLANTA HAWKS,LOSS,1992,3,13,1,9,1,2,0,7,4,0,0,0,3,3.4,19.3.2009
Corey Maggette,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES LAKERS,LOSS,1348,2,8,0,2,2,2,0,4,7,3,0,5,5,3.3,19.3.2009
James Singleton,DALLAS MAVERICKS,AWAY,ATLANTA HAWKS,LOSS,1010,2,4,1,3,0,0,2,0,0,0,0,1,1,3.0,19.3.2009
Rudy Fernandez,PORTLAND TRAIL BLAZERS,AWAY,CLEVELAND CAVALIERS,LOSS,2219,1,6,1,4,0,0,1,3,3,0,0,0,1,2.5,19.3.2009
Delonte West,CLEVELAND CAVALIERS,HOME,PORTLAND TRAIL BLAZERS,WIN,2458,4,14,0,3,1,2,0,3,2,1,0,0,3,2.5,19.3.2009
Sergio Rodriguez,PORTLAND TRAIL BLAZERS,AWAY,CLEVELAND CAVALIERS,LOSS,248,1,2,0,1,0,0,0,2,2,0,0,0,2,2.2,19.3.2009
Josh Powell,LOS ANGELES LAKERS,HOME,GOLDEN STATE WARRIORS,WIN,962,3,8,0,0,1,1,1,3,1,0,0,2,2,2.1,19.3.2009
Marco Belinelli,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES LAKERS,LOSS,597,1,3,0,0,0,1,0,0,1,1,0,0,0,1.6,19.3.2009
Stephen Jackson,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES LAKERS,LOSS,1910,5,17,0,5,0,0,2,1,2,2,0,4,2,0.4,19.3.2009
Mario West,ATLANTA HAWKS,HOME,DALLAS MAVERICKS,WIN,251,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3,19.3.2009
Acie Law,ATLANTA HAWKS,HOME,DALLAS MAVERICKS,WIN,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,19.3.2009
Jerryd Bayless,PORTLAND TRAIL BLAZERS,AWAY,CLEVELAND CAVALIERS,LOSS,288,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.4,19.3.2009
Anthony Randolph,GOLDEN STATE WARRIORS,AWAY,LOS ANGELES LAKERS,LOSS,92,0,0,0,0,0,0,0,2,0,0,0,1,0,-0.4,19.3.2009
Darnell Jackson,CLEVELAND CAVALIERS,HOME,PORTLAND TRAIL BLAZERS,WIN,373,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.8,19.3.2009
Zaza Pachulia,ATLANTA HAWKS,HOME,DALLAS MAVERICKS,WIN,1082,1,2,0,0,2,2,1,3,0,0,0,4,4,-1.0,19.3.2009
Shannon Brown,LOS ANGELES LAKERS,HOME,GOLDEN STATE WARRIORS,WIN,312,0,1,0,0,0,0,0,0,0,0,0,0,1,-1.1,19.3.2009
Matt Carroll,DALLAS MAVERICKS,AWAY,ATLANTA HAWKS,LOSS,169,0,2,0,2,0,0,0,0,0,0,0,0,0,-1.4,19.3.2009
Sasha Pavlovic,CLEVELAND CAVALIERS,HOME,PORTLAND TRAIL BLAZERS,WIN,1425,0,3,0,0,1,2,1,1,2,0,0,0,6,-1.5,19.3.2009
Didier Ilunga-Mbenga,LOS ANGELES LAKERS,HOME,GOLDEN STATE WARRIORS,WIN,444,0,0,0,0,0,0,1,1,0,0,1,3,1,-1.7,19.3.2009
