name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
Devin Harris,NEW JERSEY NETS,HOME,DETROIT PISTONS,WIN,2335,9,15,0,3,20,24,1,4,2,1,0,1,5,30.8,7.11.2008
Dwyane Wade,MIAMI HEAT,AWAY,SAN ANTONIO SPURS,WIN,2185,14,25,0,1,5,6,2,8,9,3,0,3,1,30.4,7.11.2008
Michael Beasley,MIAMI HEAT,AWAY,SAN ANTONIO SPURS,WIN,1846,5,10,0,0,10,10,2,6,3,2,2,1,1,22.3,7.11.2008
Amar'e Stoudemire,PHOENIX SUNS,AWAY,CHICAGO BULLS,LOSS,2070,5,10,0,0,16,18,0,7,3,2,1,4,2,22.3,7.11.2008
Chris Kaman,LOS ANGELES CLIPPERS,HOME,HOUSTON ROCKETS,LOSS,2511,11,18,0,0,1,2,5,6,3,2,2,2,3,22.0,7.11.2008
Carmelo Anthony,DENVER NUGGETS,HOME,DALLAS MAVERICKS,WIN,2005,7,18,0,1,14,14,4,4,6,0,0,3,4,21.8,7.11.2008
LeBron James,CLEVELAND CAVALIERS,HOME,INDIANA PACERS,WIN,2360,11,24,1,6,4,7,2,7,8,1,4,4,2,21.5,7.11.2008
Mike Bibby,ATLANTA HAWKS,HOME,TORONTO RAPTORS,WIN,1846,7,12,5,7,0,0,0,3,12,0,0,1,1,21.3,7.11.2008
Chris Paul,NEW ORLEANS HORNETS,AWAY,CHARLOTTE BOBCATS,LOSS,2341,8,13,1,3,3,5,0,3,10,6,0,4,5,21.2,7.11.2008
Baron Davis,LOS ANGELES CLIPPERS,HOME,HOUSTON ROCKETS,LOSS,2408,9,18,1,3,4,4,1,3,8,1,0,0,3,21.0,7.11.2008
Antawn Jamison,WASHINGTON WIZARDS,HOME,NEW YORK KNICKS,LOSS,2484,11,21,2,7,0,0,4,8,2,1,0,0,2,20.5,7.11.2008
Andris Biedrins,GOLDEN STATE WARRIORS,HOME,MEMPHIS GRIZZLIES,LOSS,2094,7,13,0,0,9,10,5,7,1,1,2,3,4,20.4,7.11.2008
Nene Hilario,DENVER NUGGETS,HOME,DALLAS MAVERICKS,WIN,2158,8,12,0,1,3,4,4,3,1,2,2,0,2,20.4,7.11.2008
Ben Gordon,CHICAGO BULLS,HOME,PHOENIX SUNS,WIN,1973,8,13,4,8,3,4,1,3,6,0,0,2,1,20.1,7.11.2008
Jason Kidd,DALLAS MAVERICKS,AWAY,DENVER NUGGETS,LOSS,2408,8,14,6,12,0,1,1,9,9,1,2,5,5,20.1,7.11.2008
Danny Granger,INDIANA PACERS,AWAY,CLEVELAND CAVALIERS,LOSS,2168,13,22,5,11,2,2,2,1,2,1,0,6,3,19.7,7.11.2008
Jason Terry,DALLAS MAVERICKS,AWAY,DENVER NUGGETS,LOSS,2333,7,16,2,8,4,4,2,0,7,2,1,1,1,19.2,7.11.2008
Chris Bosh,TORONTO RAPTORS,AWAY,ATLANTA HAWKS,LOSS,2262,8,15,0,0,10,12,2,6,0,0,0,2,0,19.1,7.11.2008
Hakim Warrick,MEMPHIS GRIZZLIES,AWAY,GOLDEN STATE WARRIORS,WIN,2272,7,12,0,0,5,6,3,7,3,1,0,0,3,19.1,7.11.2008
Josh Boone,NEW JERSEY NETS,HOME,DETROIT PISTONS,WIN,2097,9,12,0,0,0,1,5,9,1,0,1,0,4,18.8,7.11.2008
Caron Butler,WASHINGTON WIZARDS,HOME,NEW YORK KNICKS,LOSS,2434,11,24,1,1,7,11,0,7,3,0,1,1,3,18.7,7.11.2008
Jeff Green,OKLAHOMA CITY THUNDER,AWAY,UTAH JAZZ,LOSS,2418,6,13,3,3,7,8,2,3,1,3,0,2,1,18.5,7.11.2008
Allen Iverson,DETROIT PISTONS,AWAY,NEW JERSEY NETS,LOSS,2226,6,12,1,3,11,13,2,1,6,1,0,4,4,18.5,7.11.2008
Kevin Love,MINNESOTA TIMBERWOLVES,AWAY,SACRAMENTO KINGS,LOSS,1813,6,7,0,0,8,10,4,4,2,1,0,3,5,18.1,7.11.2008
Tim Duncan,SAN ANTONIO SPURS,HOME,MIAMI HEAT,LOSS,1653,9,16,0,0,4,5,4,7,2,0,0,2,1,17.9,7.11.2008
Joe Johnson,ATLANTA HAWKS,HOME,TORONTO RAPTORS,WIN,1897,6,10,2,3,3,4,0,7,6,1,1,1,3,17.8,7.11.2008
Kevin Durant,OKLAHOMA CITY THUNDER,AWAY,UTAH JAZZ,LOSS,2030,9,15,1,2,5,6,0,5,3,1,0,2,4,17.7,7.11.2008
Stephen Jackson,GOLDEN STATE WARRIORS,HOME,MEMPHIS GRIZZLIES,LOSS,2642,9,21,0,6,9,13,2,1,4,1,1,2,3,17.3,7.11.2008
John Salmons,SACRAMENTO KINGS,HOME,MINNESOTA TIMBERWOLVES,WIN,2312,9,15,0,2,5,5,0,3,2,1,1,2,2,17.3,7.11.2008
Andrei Kirilenko,UTAH JAZZ,HOME,OKLAHOMA CITY THUNDER,WIN,1900,5,9,0,1,6,8,3,9,2,0,2,1,1,17.1,7.11.2008
Dirk Nowitzki,DALLAS MAVERICKS,AWAY,DENVER NUGGETS,LOSS,2365,8,20,2,4,5,6,0,10,3,0,2,0,3,17.1,7.11.2008
Zach Randolph,NEW YORK KNICKS,AWAY,WASHINGTON WIZARDS,WIN,2224,8,16,1,2,5,7,1,12,2,1,0,2,2,17.1,7.11.2008
Derrick Rose,CHICAGO BULLS,HOME,PHOENIX SUNS,WIN,2429,8,11,1,2,1,2,0,4,6,2,0,3,1,17.1,7.11.2008
Kevin Martin,SACRAMENTO KINGS,HOME,MINNESOTA TIMBERWOLVES,WIN,2425,9,23,2,6,6,7,3,2,6,0,1,3,2,16.9,7.11.2008
Metta World Peace,HOUSTON ROCKETS,AWAY,LOS ANGELES CLIPPERS,WIN,2502,8,21,4,7,3,4,2,6,4,1,0,0,3,16.9,7.11.2008
Anderson Varejao,CLEVELAND CAVALIERS,HOME,INDIANA PACERS,WIN,1801,8,12,0,0,2,2,3,5,1,3,0,2,4,16.5,7.11.2008
Marquis Daniels,INDIANA PACERS,AWAY,CLEVELAND CAVALIERS,LOSS,2240,7,18,0,4,3,3,5,6,7,1,0,1,3,16.2,7.11.2008
Carl Landry,HOUSTON ROCKETS,AWAY,LOS ANGELES CLIPPERS,WIN,1771,7,14,0,0,6,6,3,6,0,0,1,1,1,16.2,7.11.2008
Raymond Felton,CHARLOTTE BOBCATS,HOME,NEW ORLEANS HORNETS,WIN,1697,7,9,1,3,5,5,0,1,3,1,0,3,3,15.7,7.11.2008
Carlos Boozer,UTAH JAZZ,HOME,OKLAHOMA CITY THUNDER,WIN,2269,7,14,0,0,7,8,2,7,5,1,1,6,2,15.5,7.11.2008
Jermaine O'Neal,TORONTO RAPTORS,AWAY,ATLANTA HAWKS,LOSS,1771,7,10,0,0,3,3,0,4,3,0,3,2,2,15.4,7.11.2008
Jamal Crawford,NEW YORK KNICKS,AWAY,WASHINGTON WIZARDS,WIN,1947,8,18,4,9,3,5,0,1,3,1,0,1,0,15.2,7.11.2008
Paul Pierce,BOSTON CELTICS,HOME,MILWAUKEE BUCKS,WIN,2254,6,16,2,6,4,5,1,9,7,0,0,2,1,14.7,7.11.2008
Sebastian Telfair,MINNESOTA TIMBERWOLVES,AWAY,SACRAMENTO KINGS,LOSS,1712,5,12,1,3,4,4,1,1,7,1,0,0,2,14.7,7.11.2008
Zydrunas Ilgauskas,CLEVELAND CAVALIERS,HOME,INDIANA PACERS,WIN,1752,5,9,0,0,7,8,0,4,1,0,3,1,3,14.1,7.11.2008
Nate Robinson,NEW YORK KNICKS,AWAY,WASHINGTON WIZARDS,WIN,1865,8,15,1,5,0,2,0,4,6,3,0,2,3,14.1,7.11.2008
Kevin Garnett,BOSTON CELTICS,HOME,MILWAUKEE BUCKS,WIN,1785,7,13,0,0,2,2,1,8,1,1,2,1,3,13.7,7.11.2008
Yao Ming,HOUSTON ROCKETS,AWAY,LOS ANGELES CLIPPERS,WIN,2251,6,12,0,0,4,5,2,7,2,0,5,4,1,13.6,7.11.2008
Emeka Okafor,CHARLOTTE BOBCATS,HOME,NEW ORLEANS HORNETS,WIN,2399,4,5,0,0,2,2,4,6,1,1,0,0,2,13.6,7.11.2008
Chris Duhon,NEW YORK KNICKS,AWAY,WASHINGTON WIZARDS,WIN,2135,2,5,2,5,0,0,0,7,12,0,0,0,1,13.4,7.11.2008
Peja Stojakovic,NEW ORLEANS HORNETS,AWAY,CHARLOTTE BOBCATS,LOSS,1902,7,16,6,12,0,0,1,6,1,0,0,1,1,13.4,7.11.2008
Tayshaun Prince,DETROIT PISTONS,AWAY,NEW JERSEY NETS,LOSS,2187,4,15,2,4,9,10,4,7,2,0,1,3,1,13.3,7.11.2008
Marvin Williams,ATLANTA HAWKS,HOME,TORONTO RAPTORS,WIN,2075,7,14,0,1,0,0,2,3,4,2,0,1,0,13.1,7.11.2008
Desmond Mason,OKLAHOMA CITY THUNDER,AWAY,UTAH JAZZ,LOSS,1578,7,14,0,0,4,6,3,2,1,1,1,1,4,12.7,7.11.2008
Robin Lopez,PHOENIX SUNS,AWAY,CHICAGO BULLS,LOSS,1819,6,9,0,0,2,5,3,4,0,0,2,1,0,12.6,7.11.2008
Chris Quinn,MIAMI HEAT,AWAY,SAN ANTONIO SPURS,WIN,1042,5,9,5,6,0,0,0,2,1,1,0,0,1,12.6,7.11.2008
Jason Richardson,CHARLOTTE BOBCATS,HOME,NEW ORLEANS HORNETS,WIN,1868,5,14,2,2,8,9,1,4,1,2,0,3,2,12.6,7.11.2008
Udonis Haslem,MIAMI HEAT,AWAY,SAN ANTONIO SPURS,WIN,2285,5,8,0,0,5,6,0,10,1,0,0,1,3,12.5,7.11.2008
Kyle Korver,UTAH JAZZ,HOME,OKLAHOMA CITY THUNDER,WIN,1407,5,7,1,2,2,3,1,3,2,1,0,0,3,12.5,7.11.2008
Richard Jefferson,MILWAUKEE BUCKS,AWAY,BOSTON CELTICS,LOSS,2002,8,15,2,4,2,2,0,5,2,2,0,4,3,12.4,7.11.2008
Tony Allen,BOSTON CELTICS,HOME,MILWAUKEE BUCKS,WIN,1383,4,5,0,0,5,5,0,0,4,2,0,2,4,12.3,7.11.2008
Maurice Evans,ATLANTA HAWKS,HOME,TORONTO RAPTORS,WIN,1438,6,9,2,4,1,1,0,5,1,1,0,2,0,12.3,7.11.2008
C.J. Watson,GOLDEN STATE WARRIORS,HOME,MEMPHIS GRIZZLIES,LOSS,2545,1,7,0,1,7,11,3,5,8,1,0,0,2,12.3,7.11.2008
Mo Williams,CLEVELAND CAVALIERS,HOME,INDIANA PACERS,WIN,2236,6,14,2,5,7,7,1,2,4,1,0,5,4,12.1,7.11.2008
Eddie House,BOSTON CELTICS,HOME,MILWAUKEE BUCKS,WIN,656,5,7,1,2,0,0,1,1,1,3,0,0,2,12.0,7.11.2008
Roger Mason,SAN ANTONIO SPURS,HOME,MIAMI HEAT,LOSS,2269,6,17,5,11,1,2,0,5,6,1,0,2,2,12.0,7.11.2008
O.J. Mayo,MEMPHIS GRIZZLIES,AWAY,GOLDEN STATE WARRIORS,WIN,2642,8,19,1,4,3,4,3,6,4,0,0,3,3,12.0,7.11.2008
