name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
Kobe Bryant,LOS ANGELES LAKERS,AWAY,NEW YORK KNICKS,WIN,2208,19,31,3,6,20,20,0,0,3,0,1,2,1,47.3,2.2.2009
Pau Gasol,LOS ANGELES LAKERS,AWAY,NEW YORK KNICKS,WIN,2457,12,17,0,0,7,8,4,10,5,0,2,2,2,31.4,2.2.2009
Dwight Howard,ORLANDO MAGIC,HOME,DALLAS MAVERICKS,LOSS,2397,13,19,0,0,9,12,6,5,3,0,1,3,3,30.0,2.2.2009
Stephen Jackson,GOLDEN STATE WARRIORS,HOME,SAN ANTONIO SPURS,LOSS,3180,13,25,2,5,5,7,2,3,11,4,0,4,4,28.3,2.2.2009
Dwyane Wade,MIAMI HEAT,HOME,LOS ANGELES CLIPPERS,WIN,2231,10,17,2,3,10,12,1,2,9,0,0,2,2,28.1,2.2.2009
Jason Richardson,PHOENIX SUNS,HOME,SACRAMENTO KINGS,WIN,1472,10,12,3,4,1,1,2,3,6,4,0,2,2,27.3,2.2.2009
O.J. Mayo,MEMPHIS GRIZZLIES,AWAY,WASHINGTON WIZARDS,WIN,2490,12,22,3,6,6,7,0,2,4,1,0,1,3,24.2,2.2.2009
Tim Duncan,SAN ANTONIO SPURS,AWAY,GOLDEN STATE WARRIORS,WIN,2501,13,20,0,0,6,8,2,13,5,0,1,6,6,23.5,2.2.2009
Marc Gasol,MEMPHIS GRIZZLIES,AWAY,WASHINGTON WIZARDS,WIN,2189,7,11,0,0,8,11,4,7,4,2,0,1,3,23.4,2.2.2009
Manu Ginobili,SAN ANTONIO SPURS,AWAY,GOLDEN STATE WARRIORS,WIN,2079,10,23,1,6,11,12,1,2,3,2,1,3,4,21.0,2.2.2009
Dirk Nowitzki,DALLAS MAVERICKS,AWAY,ORLANDO MAGIC,WIN,2391,12,21,0,0,5,6,2,4,3,0,0,2,1,21.0,2.2.2009
Amar'e Stoudemire,PHOENIX SUNS,HOME,SACRAMENTO KINGS,WIN,1655,6,12,0,0,13,13,3,5,0,1,0,2,3,20.4,2.2.2009
Jerryd Bayless,PORTLAND TRAIL BLAZERS,AWAY,NEW ORLEANS HORNETS,WIN,1444,7,9,0,1,5,7,0,2,6,2,0,1,4,18.9,2.2.2009
Antawn Jamison,WASHINGTON WIZARDS,HOME,MEMPHIS GRIZZLIES,LOSS,2689,10,22,2,6,7,11,4,9,2,0,0,3,4,18.3,2.2.2009
Mehmet Okur,UTAH JAZZ,HOME,CHARLOTTE BOBCATS,WIN,1874,7,12,2,2,6,6,2,3,1,1,1,2,4,17.5,2.2.2009
