name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,date
Tony Parker,SAN ANTONIO SPURS,AWAY,ATLANTA HAWKS,WIN,2352,18,25,0,0,6,6,0,3,10,1,0,2,2,37.8,25.3.2009
Mike Taylor,LOS ANGELES CLIPPERS,AWAY,NEW YORK KNICKS,WIN,2205,14,20,0,0,7,7,2,6,3,2,0,2,4,30.3,25.3.2009
Zach Randolph,LOS ANGELES CLIPPERS,AWAY,NEW YORK KNICKS,WIN,2278,15,21,1,2,2,2,3,3,3,2,0,3,1,28.0,25.3.2009
Dwight Howard,ORLANDO MAGIC,HOME,BOSTON CELTICS,WIN,2309,11,18,0,0,2,4,6,15,2,2,4,2,3,26.7,25.3.2009
Al Harrington,NEW YORK KNICKS,HOME,LOS ANGELES CLIPPERS,LOSS,2475,13,21,4,8,8,9,1,6,1,0,0,3,5,26.3,25.3.2009
LeBron James,CLEVELAND CAVALIERS,HOME,NEW JERSEY NETS,WIN,2346,7,14,1,1,7,7,1,7,11,1,0,1,0,25.5,25.3.2009
Chauncey Billups,DENVER NUGGETS,AWAY,NEW ORLEANS HORNETS,WIN,2469,7,13,5,7,7,7,1,5,6,1,0,1,3,24.9,25.3.2009
Chris Bosh,TORONTO RAPTORS,HOME,MILWAUKEE BUCKS,WIN,2426,5,8,0,1,8,10,4,11,5,2,2,1,2,24.8,25.3.2009
Deron Williams,UTAH JAZZ,AWAY,PHOENIX SUNS,LOSS,2362,9,17,3,5,4,6,1,2,10,0,1,1,1,23.5,25.3.2009
Dirk Nowitzki,DALLAS MAVERICKS,HOME,GOLDEN STATE WARRIORS,WIN,1954,8,12,1,2,9,9,1,4,5,0,0,2,2,23.4,25.3.2009
Thaddeus Young,PHILADELPHIA 76ERS,HOME,MINNESOTA TIMBERWOLVES,WIN,2352,9,18,0,2,11,14,0,3,0,3,0,0,2,21.9,25.3.2009
Anthony Morrow,GOLDEN STATE WARRIORS,AWAY,DALLAS MAVERICKS,LOSS,2163,10,11,3,4,6,7,1,1,1,0,0,3,5,21.6,25.3.2009
Jason Terry,DALLAS MAVERICKS,HOME,GOLDEN STATE WARRIORS,WIN,1929,10,15,1,2,5,6,0,1,3,2,1,2,3,21.0,25.3.2009
Matt Barnes,PHOENIX SUNS,HOME,UTAH JAZZ,WIN,2126,8,14,1,4,4,5,0,9,5,0,2,0,2,20.8,25.3.2009
Al Thornton,LOS ANGELES CLIPPERS,AWAY,NEW YORK KNICKS,WIN,2447,8,14,1,2,4,4,5,4,1,1,2,1,1,20.8,25.3.2009
Grant Hill,PHOENIX SUNS,HOME,UTAH JAZZ,WIN,2237,10,16,0,0,6,6,2,3,1,2,2,3,4,20.6,25.3.2009
J.J. Barea,DALLAS MAVERICKS,HOME,GOLDEN STATE WARRIORS,WIN,1720,8,13,0,2,4,4,0,3,7,4,0,2,4,20.3,25.3.2009
David Lee,NEW YORK KNICKS,HOME,LOS ANGELES CLIPPERS,LOSS,2134,7,7,0,0,4,5,3,10,5,3,0,5,5,20.1,25.3.2009
Antawn Jamison,WASHINGTON WIZARDS,HOME,CHARLOTTE BOBCATS,WIN,2239,11,22,2,6,3,6,2,6,3,1,2,1,4,19.9,25.3.2009
Chris Paul,NEW ORLEANS HORNETS,HOME,DENVER NUGGETS,LOSS,2373,5,11,0,1,9,10,1,5,13,2,0,6,1,19.8,25.3.2009
Gerald Wallace,CHARLOTTE BOBCATS,AWAY,WASHINGTON WIZARDS,LOSS,2571,8,16,0,2,5,9,5,6,4,2,3,3,2,19.8,25.3.2009
Jose Calderon,TORONTO RAPTORS,HOME,MILWAUKEE BUCKS,WIN,2251,7,12,3,5,2,2,0,1,11,1,1,3,2,19.3,25.3.2009
Carmelo Anthony,DENVER NUGGETS,AWAY,NEW ORLEANS HORNETS,WIN,2180,10,24,1,4,8,8,1,4,3,2,0,3,1,18.8,25.3.2009
Danny Granger,INDIANA PACERS,HOME,MIAMI HEAT,WIN,2255,10,20,3,7,5,6,0,4,1,3,2,4,4,18.3,25.3.2009
Nick Young,WASHINGTON WIZARDS,HOME,CHARLOTTE BOBCATS,WIN,1485,10,15,1,2,2,2,0,2,2,1,1,1,3,18.0,25.3.2009
Joe Johnson,ATLANTA HAWKS,HOME,SAN ANTONIO SPURS,LOSS,2642,13,23,1,1,3,3,0,2,3,0,0,3,3,17.6,25.3.2009
Charlie Bell,MILWAUKEE BUCKS,AWAY,TORONTO RAPTORS,LOSS,2029,8,16,4,9,0,0,0,6,7,2,0,2,3,17.5,25.3.2009
T.J. Ford,INDIANA PACERS,HOME,MIAMI HEAT,WIN,1955,8,14,0,3,4,4,1,8,3,0,1,1,2,17.5,25.3.2009
Udonis Haslem,MIAMI HEAT,AWAY,INDIANA PACERS,LOSS,2209,9,12,0,0,0,0,2,12,1,0,0,1,1,17.5,25.3.2009
Rodney Carney,MINNESOTA TIMBERWOLVES,AWAY,PHILADELPHIA 76ERS,LOSS,1948,7,10,7,8,0,0,0,2,0,0,2,0,4,17.2,25.3.2009
Monta Ellis,GOLDEN STATE WARRIORS,AWAY,DALLAS MAVERICKS,LOSS,1989,8,19,0,0,6,6,0,4,5,5,0,4,1,17.2,25.3.2009
Ramon Sessions,MILWAUKEE BUCKS,AWAY,TORONTO RAPTORS,LOSS,1879,8,13,0,0,2,2,0,1,7,1,0,1,1,16.9,25.3.2009
Anderson Varejao,CLEVELAND CAVALIERS,HOME,NEW JERSEY NETS,WIN,2148,6,8,0,0,4,4,3,8,1,0,1,1,3,16.5,25.3.2009
Richard Jefferson,MILWAUKEE BUCKS,AWAY,TORONTO RAPTORS,LOSS,1725,10,18,0,2,2,3,1,2,2,2,1,1,3,16.2,25.3.2009
Rashard Lewis,ORLANDO MAGIC,HOME,BOSTON CELTICS,WIN,2323,6,10,4,7,5,5,2,0,1,1,0,3,1,16.1,25.3.2009
Wilson Chandler,NEW YORK KNICKS,HOME,LOS ANGELES CLIPPERS,LOSS,2496,10,20,2,4,0,1,1,3,4,1,1,2,0,15.7,25.3.2009
Jason Richardson,PHOENIX SUNS,HOME,UTAH JAZZ,WIN,2309,9,16,3,5,0,0,0,5,2,2,2,3,3,15.5,25.3.2009
Ronnie Brewer,UTAH JAZZ,AWAY,PHOENIX SUNS,LOSS,1894,6,11,0,0,5,7,4,1,3,2,0,2,2,15.3,25.3.2009
Shaquille O'Neal,PHOENIX SUNS,HOME,UTAH JAZZ,WIN,2083,4,8,0,0,4,6,2,10,5,0,3,1,3,15.0,25.3.2009
Shawn Marion,TORONTO RAPTORS,HOME,MILWAUKEE BUCKS,WIN,2349,5,11,0,0,7,9,1,8,1,2,1,2,1,14.6,25.3.2009
Zydrunas Ilgauskas,CLEVELAND CAVALIERS,HOME,NEW JERSEY NETS,WIN,1683,5,13,0,1,6,8,3,3,1,2,3,1,1,14.5,25.3.2009
D.J. Augustin,CHARLOTTE BOBCATS,AWAY,WASHINGTON WIZARDS,LOSS,1413,5,7,3,4,2,3,0,3,3,3,0,3,1,14.3,25.3.2009
Paul Pierce,BOSTON CELTICS,AWAY,ORLANDO MAGIC,LOSS,2631,10,23,1,4,5,6,1,6,2,1,1,4,2,14.3,25.3.2009
Andrea Bargnani,TORONTO RAPTORS,HOME,MILWAUKEE BUCKS,WIN,1997,7,17,3,8,6,6,1,1,2,0,2,3,2,13.9,25.3.2009
Eric Gordon,LOS ANGELES CLIPPERS,AWAY,NEW YORK KNICKS,WIN,2666,6,16,3,5,4,5,3,3,4,2,0,3,2,13.8,25.3.2009
Steve Nash,PHOENIX SUNS,HOME,UTAH JAZZ,WIN,2074,4,10,0,2,4,4,0,4,14,0,0,3,2,13.8,25.3.2009
Dwyane Wade,MIAMI HEAT,AWAY,INDIANA PACERS,LOSS,2309,5,24,1,6,10,12,0,4,8,4,0,2,1,13.8,25.3.2009
Paul Millsap,UTAH JAZZ,AWAY,PHOENIX SUNS,LOSS,2006,5,11,0,0,3,4,4,3,1,3,2,0,5,13.7,25.3.2009
Anthony Parker,TORONTO RAPTORS,HOME,MILWAUKEE BUCKS,WIN,2266,4,9,3,5,7,8,1,6,1,0,0,2,1,13.7,25.3.2009
Kevin Love,MINNESOTA TIMBERWOLVES,AWAY,PHILADELPHIA 76ERS,LOSS,1343,4,8,0,0,4,4,3,6,0,2,2,1,2,13.5,25.3.2009
Mario Chalmers,MIAMI HEAT,AWAY,INDIANA PACERS,LOSS,2222,0,3,0,1,7,8,2,4,7,2,1,1,1,13.3,25.3.2009
Emeka Okafor,CHARLOTTE BOBCATS,AWAY,WASHINGTON WIZARDS,LOSS,1968,6,9,0,0,3,6,3,4,2,1,1,2,3,13.1,25.3.2009
Ray Allen,BOSTON CELTICS,AWAY,ORLANDO MAGIC,LOSS,2083,6,14,2,7,2,2,2,3,5,0,0,1,1,13.0,25.3.2009
Raymond Felton,CHARLOTTE BOBCATS,AWAY,WASHINGTON WIZARDS,LOSS,2060,4,11,0,3,6,8,0,5,8,3,0,3,3,13.0,25.3.2009
Chris Andersen,DENVER NUGGETS,AWAY,NEW ORLEANS HORNETS,WIN,1717,3,5,0,1,3,4,3,6,1,2,2,0,4,12.7,25.3.2009
Nate Robinson,NEW YORK KNICKS,HOME,LOS ANGELES CLIPPERS,LOSS,1076,6,8,1,3,0,0,1,2,4,1,0,1,3,12.7,25.3.2009
Jarvis Hayes,NEW JERSEY NETS,AWAY,CLEVELAND CAVALIERS,LOSS,1763,7,10,4,5,0,2,0,4,0,0,0,0,4,12.6,25.3.2009
Andre Iguodala,PHILADELPHIA 76ERS,HOME,MINNESOTA TIMBERWOLVES,WIN,2433,4,14,2,5,5,6,2,5,6,1,0,2,0,12.5,25.3.2009
Andre Miller,PHILADELPHIA 76ERS,HOME,MINNESOTA TIMBERWOLVES,WIN,2072,5,9,0,0,5,6,2,5,2,1,0,2,3,12.4,25.3.2009
Kyle Korver,UTAH JAZZ,AWAY,PHOENIX SUNS,LOSS,1737,5,9,5,8,0,0,0,1,4,1,0,2,2,12.0,25.3.2009
Craig Smith,MINNESOTA TIMBERWOLVES,AWAY,PHILADELPHIA 76ERS,LOSS,1518,7,14,0,0,6,7,3,1,2,1,0,3,6,12.0,25.3.2009
Gerald Green,DALLAS MAVERICKS,HOME,GOLDEN STATE WARRIORS,WIN,1128,6,10,0,1,2,2,0,5,1,3,0,2,2,11.8,25.3.2009
Mike James,WASHINGTON WIZARDS,HOME,CHARLOTTE BOBCATS,WIN,2437,6,13,3,5,0,0,0,4,5,3,0,3,3,11.8,25.3.2009
Keyon Dooling,NEW JERSEY NETS,AWAY,CLEVELAND CAVALIERS,LOSS,2275,3,11,1,1,4,5,0,3,10,0,0,0,1,11.6,25.3.2009
Michael Finley,SAN ANTONIO SPURS,AWAY,ATLANTA HAWKS,WIN,2302,5,12,3,5,0,0,1,5,1,2,0,0,0,11.5,25.3.2009
Vince Carter,NEW JERSEY NETS,AWAY,CLEVELAND CAVALIERS,LOSS,2442,7,21,3,9,3,3,1,3,5,2,1,4,3,10.7,25.3.2009
Roger Mason,SAN ANTONIO SPURS,AWAY,ATLANTA HAWKS,WIN,1483,7,10,2,5,2,2,0,0,0,0,0,3,1,10.4,25.3.2009
Mike Bibby,ATLANTA HAWKS,HOME,SAN ANTONIO SPURS,LOSS,2441,5,13,3,5,0,0,0,2,4,1,0,0,0,10.3,25.3.2009
Jeff Foster,INDIANA PACERS,HOME,MIAMI HEAT,WIN,2305,2,6,0,0,1,2,5,11,1,1,4,1,3,10.3,25.3.2009
Bobby Simmons,NEW JERSEY NETS,AWAY,CLEVELAND CAVALIERS,LOSS,1703,4,7,2,5,2,2,0,0,1,2,0,0,3,10.2,25.3.2009
Mehmet Okur,UTAH JAZZ,AWAY,PHOENIX SUNS,LOSS,1492,6,17,1,4,2,6,6,6,1,1,1,1,3,10.1,25.3.2009
Jason Kapono,TORONTO RAPTORS,HOME,MILWAUKEE BUCKS,WIN,1360,4,7,3,4,3,3,0,1,2,0,0,2,1,10.0,25.3.2009
Mo Williams,CLEVELAND CAVALIERS,HOME,NEW JERSEY NETS,WIN,2200,5,12,4,9,2,3,1,5,6,0,0,4,4,10.0,25.3.2009
Andray Blatche,WASHINGTON WIZARDS,HOME,CHARLOTTE BOBCATS,WIN,2311,6,15,0,0,3,3,4,3,2,1,2,3,4,9.8,25.3.2009
Kurt Thomas,SAN ANTONIO SPURS,AWAY,ATLANTA HAWKS,WIN,1440,3,5,0,0,2,2,2,6,1,1,2,1,3,9.8,25.3.2009
Lou Amundson,PHOENIX SUNS,HOME,UTAH JAZZ,WIN,1106,5,6,0,0,0,0,3,2,0,0,2,1,3,9.7,25.3.2009
Ronald Murray,ATLANTA HAWKS,HOME,SAN ANTONIO SPURS,LOSS,1692,7,12,1,3,0,0,0,0,2,1,0,1,3,9.6,25.3.2009
Erick Dampier,DALLAS MAVERICKS,HOME,GOLDEN STATE WARRIORS,WIN,1385,3,3,0,0,2,2,0,10,0,0,1,1,1,9.4,25.3.2009
Boris Diaw,CHARLOTTE BOBCATS,AWAY,WASHINGTON WIZARDS,LOSS,2195,5,8,0,0,1,2,3,6,2,1,1,3,4,9.4,25.3.2009
Larry Hughes,NEW YORK KNICKS,HOME,LOS ANGELES CLIPPERS,LOSS,1732,4,10,3,7,2,2,0,1,1,1,1,1,0,9.3,25.3.2009
Al Horford,ATLANTA HAWKS,HOME,SAN ANTONIO SPURS,LOSS,2472,2,9,0,0,3,4,3,10,2,1,2,0,2,9.2,25.3.2009
Kendrick Perkins,BOSTON CELTICS,AWAY,ORLANDO MAGIC,LOSS,2080,5,7,0,0,1,1,4,7,0,0,2,4,3,9.2,25.3.2009
Delonte West,CLEVELAND CAVALIERS,HOME,NEW JERSEY NETS,WIN,2118,5,11,3,4,0,0,1,8,3,1,0,4,1,9.1,25.3.2009
Lou Williams,PHILADELPHIA 76ERS,HOME,MINNESOTA TIMBERWOLVES,WIN,1561,1,9,0,2,7,8,1,4,5,1,2,1,1,9.1,25.3.2009
Fred Jones,LOS ANGELES CLIPPERS,AWAY,NEW YORK KNICKS,WIN,2030,4,6,2,4,0,0,1,4,2,1,0,2,2,8.9,25.3.2009
Josh Smith,ATLANTA HAWKS,HOME,SAN ANTONIO SPURS,LOSS,2373,3,12,0,1,6,11,5,3,5,3,0,4,2,8.9,25.3.2009
Antoine Wright,DALLAS MAVERICKS,HOME,GOLDEN STATE WARRIORS,WIN,1753,6,11,1,3,0,0,1,1,2,0,0,1,1,8.7,25.3.2009
J.R. Smith,DENVER NUGGETS,AWAY,NEW ORLEANS HORNETS,WIN,1399,6,12,2,6,2,2,0,0,1,2,0,3,3,8.5,25.3.2009
David West,NEW ORLEANS HORNETS,HOME,DENVER NUGGETS,LOSS,2522,6,19,0,0,6,6,2,6,2,0,0,2,3,8.5,25.3.2009
Carlos Boozer,UTAH JAZZ,AWAY,PHOENIX SUNS,LOSS,2262,7,17,0,0,0,0,1,11,1,1,0,1,3,8.4,25.3.2009
Brook Lopez,NEW JERSEY NETS,AWAY,CLEVELAND CAVALIERS,LOSS,1958,4,8,0,0,1,2,5,5,0,0,2,1,4,8.4,25.3.2009
C.J. Watson,GOLDEN STATE WARRIORS,AWAY,DALLAS MAVERICKS,LOSS,1792,3,8,1,3,3,3,0,0,3,2,0,0,4,8.1,25.3.2009
Chris Duhon,NEW YORK KNICKS,HOME,LOS ANGELES CLIPPERS,LOSS,2557,4,10,1,4,1,1,0,0,10,1,0,4,2,7.8,25.3.2009
Jared Jeffries,NEW YORK KNICKS,HOME,LOS ANGELES CLIPPERS,LOSS,1378,3,7,0,0,4,4,3,1,1,0,0,0,4,7.8,25.3.2009
Courtney Lee,ORLANDO MAGIC,HOME,BOSTON CELTICS,WIN,2111,4,11,3,4,0,0,1,2,2,2,0,1,2,7.8,25.3.2009
Jason Kidd,DALLAS MAVERICKS,HOME,GOLDEN STATE WARRIORS,WIN,1868,1,4,1,3,0,0,2,4,7,0,0,0,1,7.7,25.3.2009
Chris Kaman,LOS ANGELES CLIPPERS,AWAY,NEW YORK KNICKS,WIN,865,4,5,0,0,1,2,0,3,1,0,1,1,1,7.6,25.3.2009
Kelenna Azubuike,GOLDEN STATE WARRIORS,AWAY,DALLAS MAVERICKS,LOSS,2197,4,11,1,2,2,2,2,1,2,1,1,1,3,7.5,25.3.2009
Matt Bonner,SAN ANTONIO SPURS,AWAY,ATLANTA HAWKS,WIN,2327,3,6,0,1,2,2,1,6,0,1,0,0,3,7.3,25.3.2009
Maurice Evans,ATLANTA HAWKS,HOME,SAN ANTONIO SPURS,LOSS,1363,3,3,2,2,0,0,1,2,0,0,0,0,3,7.2,25.3.2009
Goran Dragic,PHOENIX SUNS,HOME,UTAH JAZZ,WIN,806,4,7,2,3,1,2,0,2,2,1,0,2,3,7.1,25.3.2009
Jermaine O'Neal,MIAMI HEAT,AWAY,INDIANA PACERS,LOSS,1866,6,14,0,0,1,2,1,1,0,0,3,0,3,7.1,25.3.2009
Anthony Randolph,GOLDEN STATE WARRIORS,AWAY,DALLAS MAVERICKS,LOSS,1873,4,8,0,0,2,6,1,5,1,2,0,1,3,7.1,25.3.2009
Chris Douglas-Roberts,NEW JERSEY NETS,AWAY,CLEVELAND CAVALIERS,LOSS,1043,3,6,0,0,1,1,0,0,3,1,0,0,1,6.7,25.3.2009
Keith Bogans,MILWAUKEE BUCKS,AWAY,TORONTO RAPTORS,LOSS,1172,3,6,3,5,0,0,0,3,1,0,0,1,0,6.6,25.3.2009
Eddie House,BOSTON CELTICS,AWAY,ORLANDO MAGIC,LOSS,1047,3,7,1,4,1,1,1,2,0,2,0,1,0,6.6,25.3.2009
C.J. Miles,UTAH JAZZ,AWAY,PHOENIX SUNS,LOSS,866,2,4,2,3,2,2,0,2,2,0,0,1,1,6.6,25.3.2009
Baron Davis,LOS ANGELES CLIPPERS,AWAY,NEW YORK KNICKS,WIN,2106,5,13,3,5,0,0,0,3,6,1,0,4,4,6.4,25.3.2009
Morris Peterson,NEW ORLEANS HORNETS,HOME,DENVER NUGGETS,LOSS,1319,2,4,2,3,0,0,1,3,1,0,0,0,0,6.3,25.3.2009
Brandon Rush,INDIANA PACERS,HOME,MIAMI HEAT,WIN,2480,4,11,1,5,2,2,0,8,2,0,0,2,1,6.3,25.3.2009
Hilton Armstrong,NEW ORLEANS HORNETS,HOME,DENVER NUGGETS,LOSS,1462,5,7,0,0,0,2,2,2,0,0,1,2,2,6.2,25.3.2009
Michael Beasley,MIAMI HEAT,AWAY,INDIANA PACERS,LOSS,1206,4,9,0,0,2,4,1,7,1,0,0,1,2,6.2,25.3.2009
Stephen Jackson,GOLDEN STATE WARRIORS,AWAY,DALLAS MAVERICKS,LOSS,1690,5,10,2,4,0,0,1,2,5,0,0,4,4,6.2,25.3.2009
Jarrett Jack,INDIANA PACERS,HOME,MIAMI HEAT,WIN,2487,6,16,1,3,0,0,1,2,4,0,0,1,3,6.1,25.3.2009
Mike Miller,MINNESOTA TIMBERWOLVES,AWAY,PHILADELPHIA 76ERS,LOSS,1140,2,5,1,3,1,3,1,4,2,0,3,1,2,6.1,25.3.2009
James Singleton,DALLAS MAVERICKS,HOME,GOLDEN STATE WARRIORS,WIN,1393,3,6,0,1,2,3,2,4,2,1,0,2,4,6.0,25.3.2009
Ronny Turiaf,GOLDEN STATE WARRIORS,AWAY,DALLAS MAVERICKS,LOSS,1144,1,3,0,0,2,2,0,4,4,0,0,0,1,5.9,25.3.2009
Johan Petro,DENVER NUGGETS,AWAY,NEW ORLEANS HORNETS,WIN,892,2,3,0,0,1,1,2,4,0,0,1,0,3,5.8,25.3.2009
Samuel Dalembert,PHILADELPHIA 76ERS,HOME,MINNESOTA TIMBERWOLVES,WIN,1265,3,3,0,0,2,2,1,6,0,0,1,3,4,5.7,25.3.2009
Julian Wright,NEW ORLEANS HORNETS,HOME,DENVER NUGGETS,LOSS,1421,4,10,0,0,1,1,1,4,0,0,2,0,3,5.7,25.3.2009
