team,opp,treatment,year,rest3.,rest1,rest2,points
MILWAUKEE BUCKS,LOS ANGELES CLIPPERS,1,2004,0,0,1,92
PORTLAND TRAIL BLAZERS,MINNESOTA TIMBERWOLVES,1,2005,0,-1,0,74
WASHINGTON WIZARDS,CHICAGO BULLS,1,2007,1,0,0,84
LOS ANGELES CLIPPERS,NEW ORLEANS/OKLAHOMA CITY HORNETS,1,2006,1,-1,0,92
LOS ANGELES LAKERS,WASHINGTON WIZARDS,1,2007,0,0,0,126
MILWAUKEE BUCKS,DENVER NUGGETS,1,2004,0,0,0,100
ORLANDO MAGIC,ATLANTA HAWKS,1,2006,0,0,0,98
CHICAGO BULLS,DETROIT PISTONS,1,2008,0,-1,0,99
UTAH JAZZ,GOLDEN STATE WARRIORS,1,2008,0,0,0,119
PORTLAND TRAIL BLAZERS,BOSTON CELTICS,1,2008,0,-1,1,91
INDIANA PACERS,MIAMI HEAT,1,2004,0,-1,1,114
UTAH JAZZ,DALLAS MAVERICKS,1,2004,0,0,0,83
PHILADELPHIA 76ERS,NEW YORK KNICKS,1,2007,0,0,0,101
SAN ANTONIO SPURS,DALLAS MAVERICKS,1,2005,0,0,0,98
ORLANDO MAGIC,ATLANTA HAWKS,1,2007,0,-1,1,87
MINNESOTA TIMBERWOLVES,CLEVELAND CAVALIERS,1,2005,0,0,0,91
PHOENIX SUNS,HOUSTON ROCKETS,1,2004,0,-1,0,97
MIAMI HEAT,MILWAUKEE BUCKS,1,2007,0,0,0,78
MIAMI HEAT,INDIANA PACERS,1,2004,0,0,0,100
SACRAMENTO KINGS,WASHINGTON WIZARDS,1,2006,0,0,0,119
UTAH JAZZ,DENVER NUGGETS,1,2006,0,1,-1,116
PORTLAND TRAIL BLAZERS,HOUSTON ROCKETS,1,2006,0,0,0,95
UTAH JAZZ,BOSTON CELTICS,1,2005,0,0,0,83
DENVER NUGGETS,MILWAUKEE BUCKS,1,2006,0,1,-1,104
NEW ORLEANS HORNETS,DETROIT PISTONS,1,2008,0,1,0,90
MINNESOTA TIMBERWOLVES,SAN ANTONIO SPURS,1,2006,0,1,0,103
TORONTO RAPTORS,DENVER NUGGETS,1,2008,0,0,0,107
SAN ANTONIO SPURS,INDIANA PACERS,1,2008,0,0,0,99
CHARLOTTE BOBCATS,NEW YORK KNICKS,1,2006,1,-1,0,93
UTAH JAZZ,GOLDEN STATE WARRIORS,1,2006,0,0,0,106
SEATTLE SUPERSONICS,HOUSTON ROCKETS,1,2004,0,0,0,95
INDIANA PACERS,ORLANDO MAGIC,1,2008,0,-1,0,107
UTAH JAZZ,NEW JERSEY NETS,1,2005,0,0,0,89
SAN ANTONIO SPURS,MINNESOTA TIMBERWOLVES,1,2004,0,-1,0,96
SACRAMENTO KINGS,ATLANTA HAWKS,1,2008,1,0,0,100
NEW ORLEANS HORNETS,GOLDEN STATE WARRIORS,1,2007,0,1,0,103
WASHINGTON WIZARDS,GOLDEN STATE WARRIORS,1,2004,0,0,0,90
MEMPHIS GRIZZLIES,UTAH JAZZ,1,2006,0,0,0,88
UTAH JAZZ,ATLANTA HAWKS,1,2008,0,1,-1,108
DETROIT PISTONS,NEW JERSEY NETS,1,2006,0,-1,0,110
SAN ANTONIO SPURS,UTAH JAZZ,1,2005,0,0,0,115
SEATTLE SUPERSONICS,INDIANA PACERS,1,2007,0,0,0,95
UTAH JAZZ,CHICAGO BULLS,1,2005,0,-1,0,109
DALLAS MAVERICKS,UTAH JAZZ,1,2005,0,1,-1,103
GOLDEN STATE WARRIORS,MILWAUKEE BUCKS,1,2005,0,1,0,87
UTAH JAZZ,PHOENIX SUNS,1,2005,-1,1,0,107
INDIANA PACERS,PORTLAND TRAIL BLAZERS,1,2008,0,-1,1,85
MIAMI HEAT,MILWAUKEE BUCKS,1,2004,0,0,0,110
SEATTLE SUPERSONICS,DENVER NUGGETS,1,2004,0,1,0,110
ORLANDO MAGIC,NEW YORK KNICKS,1,2004,-1,1,0,111
