team,opp,treatment,year,rest3.,rest1,rest2,points
UTAH JAZZ,NEW YORK KNICKS,1,2004,0,0,0,99
TORONTO RAPTORS,MINNESOTA TIMBERWOLVES,1,2006,1,0,0,100
CHICAGO BULLS,GOLDEN STATE WARRIORS,1,2008,0,0,0,110
ATLANTA HAWKS,MINNESOTA TIMBERWOLVES,1,2005,0,0,0,101
CLEVELAND CAVALIERS,DALLAS MAVERICKS,1,2006,0,0,0,90
LOS ANGELES LAKERS,HOUSTON ROCKETS,1,2006,0,-1,1,104
MILWAUKEE BUCKS,SACRAMENTO KINGS,1,2004,0,1,-1,86
LOS ANGELES CLIPPERS,NEW ORLEANS/OKLAHOMA CITY HORNETS,1,2005,0,1,0,89
PORTLAND TRAIL BLAZERS,HOUSTON ROCKETS,1,2005,0,0,1,76
MEMPHIS GRIZZLIES,SEATTLE SUPERSONICS,1,2005,-1,0,1,94
TORONTO RAPTORS,GOLDEN STATE WARRIORS,1,2006,0,0,0,120
INDIANA PACERS,PHILADELPHIA 76ERS,1,2008,0,0,0,92
LOS ANGELES CLIPPERS,INDIANA PACERS,1,2006,0,1,0,87
DALLAS MAVERICKS,WASHINGTON WIZARDS,1,2004,0,0,1,137
UTAH JAZZ,SEATTLE SUPERSONICS,1,2006,0,1,0,109
SAN ANTONIO SPURS,MIAMI HEAT,1,2007,0,0,-1,88
DENVER NUGGETS,MEMPHIS GRIZZLIES,1,2008,0,0,0,100
LOS ANGELES CLIPPERS,OKLAHOMA CITY THUNDER,1,2008,0,0,0,85
SACRAMENTO KINGS,HOUSTON ROCKETS,1,2007,0,-1,1,107
SACRAMENTO KINGS,TORONTO RAPTORS,1,2008,0,0,0,101
NEW ORLEANS HORNETS,BOSTON CELTICS,1,2007,0,-1,1,113
MIAMI HEAT,PHILADELPHIA 76ERS,1,2006,0,0,0,85
ORLANDO MAGIC,SACRAMENTO KINGS,1,2008,0,0,0,121
SACRAMENTO KINGS,MEMPHIS GRIZZLIES,1,2004,0,1,0,85
DETROIT PISTONS,TORONTO RAPTORS,1,2008,0,0,0,95
LOS ANGELES LAKERS,LOS ANGELES CLIPPERS,1,2007,0,0,0,113
ORLANDO MAGIC,NEW JERSEY NETS,1,2008,0,1,0,101
MINNESOTA TIMBERWOLVES,SACRAMENTO KINGS,1,2004,0,0,0,84
DENVER NUGGETS,NEW YORK KNICKS,1,2008,0,0,1,111
PORTLAND TRAIL BLAZERS,PHOENIX SUNS,1,2005,0,0,1,111
PHOENIX SUNS,BOSTON CELTICS,1,2006,0,0,0,118
MEMPHIS GRIZZLIES,CHICAGO BULLS,1,2004,0,0,0,88
CHARLOTTE BOBCATS,SACRAMENTO KINGS,1,2006,0,1,0,111
CHARLOTTE BOBCATS,MIAMI HEAT,1,2005,0,1,0,85
SAN ANTONIO SPURS,DALLAS MAVERICKS,1,2008,0,0,0,93
PHOENIX SUNS,GOLDEN STATE WARRIORS,1,2008,0,0,0,115
MEMPHIS GRIZZLIES,ATLANTA HAWKS,1,2007,0,1,0,99
SACRAMENTO KINGS,PORTLAND TRAIL BLAZERS,1,2007,1,-1,0,96
LOS ANGELES CLIPPERS,MILWAUKEE BUCKS,1,2007,0,1,-1,78
PORTLAND TRAIL BLAZERS,SACRAMENTO KINGS,1,2007,0,0,0,87
MEMPHIS GRIZZLIES,CLEVELAND CAVALIERS,1,2008,0,0,0,87
DALLAS MAVERICKS,NEW JERSEY NETS,1,2004,0,-1,0,98
ATLANTA HAWKS,NEW ORLEANS HORNETS,1,2007,-1,1,0,86
GOLDEN STATE WARRIORS,DETROIT PISTONS,1,2007,1,0,0,104
PHILADELPHIA 76ERS,SEATTLE SUPERSONICS,1,2007,1,-1,0,117
MILWAUKEE BUCKS,SAN ANTONIO SPURS,1,2004,0,0,1,83
SACRAMENTO KINGS,MINNESOTA TIMBERWOLVES,1,2006,0,1,0,89
DALLAS MAVERICKS,MIAMI HEAT,1,2005,0,1,-1,112
HOUSTON ROCKETS,GOLDEN STATE WARRIORS,1,2006,0,0,1,118
WASHINGTON WIZARDS,GOLDEN STATE WARRIORS,1,2007,0,0,0,115
PORTLAND TRAIL BLAZERS,MEMPHIS GRIZZLIES,1,2008,0,1,0,86
MIAMI HEAT,DALLAS MAVERICKS,1,2004,0,0,0,93
LOS ANGELES LAKERS,SACRAMENTO KINGS,1,2007,0,0,0,113
MEMPHIS GRIZZLIES,MIAMI HEAT,1,2008,0,0,0,102
SEATTLE SUPERSONICS,INDIANA PACERS,1,2005,0,0,0,107
PHILADELPHIA 76ERS,NEW ORLEANS HORNETS,1,2007,0,0,0,72
UTAH JAZZ,MINNESOTA TIMBERWOLVES,1,2007,0,1,0,105
SAN ANTONIO SPURS,NEW ORLEANS HORNETS,1,2004,0,0,0,112
CHARLOTTE BOBCATS,PHILADELPHIA 76ERS,1,2006,0,0,0,89
LOS ANGELES LAKERS,SACRAMENTO KINGS,1,2005,0,0,0,106
NEW JERSEY NETS,MILWAUKEE BUCKS,1,2007,0,0,0,87
TORONTO RAPTORS,NEW ORLEANS HORNETS,1,2007,0,0,0,111
NEW ORLEANS/OKLAHOMA CITY HORNETS,PHOENIX SUNS,1,2005,1,0,0,88
HOUSTON ROCKETS,PORTLAND TRAIL BLAZERS,1,2008,0,0,0,98
WASHINGTON WIZARDS,PORTLAND TRAIL BLAZERS,1,2006,1,-1,0,73
DALLAS MAVERICKS,MEMPHIS GRIZZLIES,1,2006,0,0,0,89
LOS ANGELES CLIPPERS,MIAMI HEAT,1,2006,0,1,-1,101
SACRAMENTO KINGS,LOS ANGELES LAKERS,1,2008,0,-1,1,113
INDIANA PACERS,PHOENIX SUNS,1,2008,1,0,0,103
GOLDEN STATE WARRIORS,SACRAMENTO KINGS,1,2006,0,0,0,126
PHILADELPHIA 76ERS,WASHINGTON WIZARDS,1,2005,0,0,0,119
SACRAMENTO KINGS,UTAH JAZZ,1,2007,0,0,0,117
NEW ORLEANS HORNETS,SAN ANTONIO SPURS,1,2007,1,-1,0,100
UTAH JAZZ,MILWAUKEE BUCKS,1,2004,0,1,0,94
MILWAUKEE BUCKS,ORLANDO MAGIC,1,2005,0,0,0,94
INDIANA PACERS,PORTLAND TRAIL BLAZERS,1,2005,0,0,0,101
NEW ORLEANS HORNETS,PHOENIX SUNS,1,2004,1,0,0,84
NEW ORLEANS HORNETS,PORTLAND TRAIL BLAZERS,1,2008,0,0,0,89
DALLAS MAVERICKS,SACRAMENTO KINGS,1,2008,0,0,0,116
MILWAUKEE BUCKS,ATLANTA HAWKS,1,2004,0,0,-1,105
SAN ANTONIO SPURS,DENVER NUGGETS,1,2006,0,0,0,95
BOSTON CELTICS,SEATTLE SUPERSONICS,1,2007,0,1,0,111
PHILADELPHIA 76ERS,SEATTLE SUPERSONICS,1,2006,0,0,1,92
INDIANA PACERS,MILWAUKEE BUCKS,1,2005,0,0,1,88
MILWAUKEE BUCKS,LOS ANGELES LAKERS,1,2006,0,1,0,110
CHICAGO BULLS,LOS ANGELES CLIPPERS,1,2004,1,0,0,96
ATLANTA HAWKS,WASHINGTON WIZARDS,1,2004,0,-1,1,90
PHILADELPHIA 76ERS,HOUSTON ROCKETS,1,2005,0,1,0,81
ORLANDO MAGIC,NEW ORLEANS HORNETS,1,2007,1,-1,0,97
GOLDEN STATE WARRIORS,MILWAUKEE BUCKS,1,2004,0,0,0,118
DETROIT PISTONS,NEW YORK KNICKS,1,2007,0,0,1,98
GOLDEN STATE WARRIORS,CHICAGO BULLS,1,2006,0,1,0,123
CHICAGO BULLS,BOSTON CELTICS,1,2008,0,-1,1,127
CLEVELAND CAVALIERS,NEW JERSEY NETS,1,2007,0,0,0,104
INDIANA PACERS,LOS ANGELES LAKERS,1,2005,0,0,0,105
LOS ANGELES LAKERS,PHOENIX SUNS,1,2004,0,-1,0,97
SEATTLE SUPERSONICS,LOS ANGELES CLIPPERS,1,2007,0,-1,1,84
CLEVELAND CAVALIERS,SACRAMENTO KINGS,1,2004,0,-1,0,109
CHARLOTTE BOBCATS,SAN ANTONIO SPURS,1,2007,0,0,0,86
BOSTON CELTICS,UTAH JAZZ,1,2007,0,0,0,92
MINNESOTA TIMBERWOLVES,UTAH JAZZ,1,2008,0,0,0,96
GOLDEN STATE WARRIORS,MEMPHIS GRIZZLIES,1,2006,0,-1,1,122
MINNESOTA TIMBERWOLVES,SACRAMENTO KINGS,1,2005,0,-1,0,91
NEW ORLEANS HORNETS,HOUSTON ROCKETS,1,2008,0,0,0,84
GOLDEN STATE WARRIORS,CHARLOTTE BOBCATS,1,2006,0,0,1,131
NEW YORK KNICKS,MEMPHIS GRIZZLIES,1,2008,0,0,0,108
HOUSTON ROCKETS,NEW ORLEANS HORNETS,1,2004,0,0,0,89
DENVER NUGGETS,DALLAS MAVERICKS,1,2005,0,1,0,113
NEW YORK KNICKS,DENVER NUGGETS,1,2006,0,0,0,100
MINNESOTA TIMBERWOLVES,UTAH JAZZ,1,2008,0,-1,0,103
TORONTO RAPTORS,SAN ANTONIO SPURS,1,2007,0,0,0,88
DETROIT PISTONS,MIAMI HEAT,1,2004,0,0,-1,78
ORLANDO MAGIC,MEMPHIS GRIZZLIES,1,2008,0,0,0,81
PHOENIX SUNS,SEATTLE SUPERSONICS,1,2005,0,0,0,149
ATLANTA HAWKS,MILWAUKEE BUCKS,1,2005,0,0,0,102
PORTLAND TRAIL BLAZERS,UTAH JAZZ,1,2005,0,1,-1,93
PORTLAND TRAIL BLAZERS,MINNESOTA TIMBERWOLVES,1,2008,0,1,0,97
WASHINGTON WIZARDS,SAN ANTONIO SPURS,1,2005,0,0,0,110
SAN ANTONIO SPURS,MILWAUKEE BUCKS,1,2005,0,0,0,95
DENVER NUGGETS,OKLAHOMA CITY THUNDER,1,2008,0,1,0,112
CHARLOTTE BOBCATS,MIAMI HEAT,1,2006,0,0,0,92
NEW YORK KNICKS,CHICAGO BULLS,1,2005,0,1,0,109
MIAMI HEAT,DALLAS MAVERICKS,1,2007,0,0,0,73
UTAH JAZZ,WASHINGTON WIZARDS,1,2004,0,0,0,84
NEW JERSEY NETS,MEMPHIS GRIZZLIES,1,2005,0,1,0,86
BOSTON CELTICS,MEMPHIS GRIZZLIES,1,2004,0,0,0,90
HOUSTON ROCKETS,INDIANA PACERS,1,2004,0,0,-1,74
SACRAMENTO KINGS,BOSTON CELTICS,1,2007,0,0,0,69
LOS ANGELES CLIPPERS,LOS ANGELES LAKERS,1,2007,0,0,0,78
MIAMI HEAT,ATLANTA HAWKS,1,2007,0,1,0,113
MINNESOTA TIMBERWOLVES,LOS ANGELES CLIPPERS,1,2005,0,0,0,93
MIAMI HEAT,PHILADELPHIA 76ERS,1,2004,0,1,-1,93
NEW ORLEANS/OKLAHOMA CITY HORNETS,PHOENIX SUNS,1,2006,0,1,0,95
PHOENIX SUNS,WASHINGTON WIZARDS,1,2008,0,0,1,128
GOLDEN STATE WARRIORS,MEMPHIS GRIZZLIES,1,2004,0,0,1,87
MEMPHIS GRIZZLIES,GOLDEN STATE WARRIORS,1,2007,0,0,0,86
DENVER NUGGETS,NEW JERSEY NETS,1,2004,0,1,-1,90
WASHINGTON WIZARDS,PHILADELPHIA 76ERS,1,2005,-1,1,0,107
WASHINGTON WIZARDS,CHICAGO BULLS,1,2004,0,0,0,93
ORLANDO MAGIC,ATLANTA HAWKS,1,2005,0,1,0,108
UTAH JAZZ,CHICAGO BULLS,1,2008,0,1,0,100
DENVER NUGGETS,HOUSTON ROCKETS,1,2008,0,0,0,95
PORTLAND TRAIL BLAZERS,MINNESOTA TIMBERWOLVES,1,2004,0,0,0,83
WASHINGTON WIZARDS,MINNESOTA TIMBERWOLVES,1,2004,0,1,0,117
DETROIT PISTONS,CHARLOTTE BOBCATS,1,2008,0,-1,0,104
MIAMI HEAT,LOS ANGELES LAKERS,1,2006,0,1,-1,101
CHARLOTTE BOBCATS,WASHINGTON WIZARDS,1,2006,0,0,0,107
NEW JERSEY NETS,MINNESOTA TIMBERWOLVES,1,2008,0,-1,1,113
LOS ANGELES LAKERS,MEMPHIS GRIZZLIES,1,2005,0,0,1,99
MINNESOTA TIMBERWOLVES,NEW ORLEANS/OKLAHOMA CITY HORNETS,1,2005,0,0,0,88
SAN ANTONIO SPURS,GOLDEN STATE WARRIORS,1,2006,0,1,0,112
DALLAS MAVERICKS,LOS ANGELES CLIPPERS,1,2008,0,0,0,107
TORONTO RAPTORS,WASHINGTON WIZARDS,1,2006,0,0,0,116
SAN ANTONIO SPURS,SACRAMENTO KINGS,1,2006,0,0,1,100
CLEVELAND CAVALIERS,NEW JERSEY NETS,1,2005,0,-1,1,100
HOUSTON ROCKETS,TORONTO RAPTORS,1,2004,0,1,0,114
CHICAGO BULLS,WASHINGTON WIZARDS,1,2007,0,1,0,87
DETROIT PISTONS,PHILADELPHIA 76ERS,1,2008,0,-1,1,91
NEW YORK KNICKS,SEATTLE SUPERSONICS,1,2006,0,-1,1,99
MINNESOTA TIMBERWOLVES,WASHINGTON WIZARDS,1,2005,0,0,0,109
MILWAUKEE BUCKS,WASHINGTON WIZARDS,1,2006,0,0,0,119
DENVER NUGGETS,MEMPHIS GRIZZLIES,1,2004,0,-1,1,92
PHILADELPHIA 76ERS,BOSTON CELTICS,1,2004,0,0,0,98
PHOENIX SUNS,CLEVELAND CAVALIERS,1,2007,0,0,0,103
BOSTON CELTICS,MILWAUKEE BUCKS,1,2006,0,0,0,102
DENVER NUGGETS,CLEVELAND CAVALIERS,1,2004,0,0,1,73
ORLANDO MAGIC,CHICAGO BULLS,1,2008,0,0,0,96
MILWAUKEE BUCKS,GOLDEN STATE WARRIORS,1,2008,0,0,0,127
NEW YORK KNICKS,BOSTON CELTICS,1,2006,0,0,0,90
BOSTON CELTICS,PHILADELPHIA 76ERS,1,2005,0,0,-1,104
HOUSTON ROCKETS,NEW YORK KNICKS,1,2006,0,0,0,103
NEW YORK KNICKS,MIAMI HEAT,1,2006,0,0,0,99
LOS ANGELES CLIPPERS,BOSTON CELTICS,1,2007,0,1,0,76
DETROIT PISTONS,INDIANA PACERS,1,2008,0,-1,1,114
MEMPHIS GRIZZLIES,SACRAMENTO KINGS,1,2007,0,0,0,107
NEW JERSEY NETS,MILWAUKEE BUCKS,1,2007,0,0,0,120
CHICAGO BULLS,INDIANA PACERS,1,2006,0,0,0,106
DALLAS MAVERICKS,MINNESOTA TIMBERWOLVES,1,2005,0,1,-1,102
SACRAMENTO KINGS,ATLANTA HAWKS,1,2005,0,0,0,109
SEATTLE SUPERSONICS,WASHINGTON WIZARDS,1,2004,0,0,0,94
DALLAS MAVERICKS,GOLDEN STATE WARRIORS,1,2004,0,0,0,101
PHOENIX SUNS,LOS ANGELES LAKERS,1,2004,0,0,0,107
MIAMI HEAT,MEMPHIS GRIZZLIES,1,2004,0,0,0,92
DETROIT PISTONS,DALLAS MAVERICKS,1,2006,0,0,0,88
UTAH JAZZ,ORLANDO MAGIC,1,2005,0,-1,0,90
BOSTON CELTICS,GOLDEN STATE WARRIORS,1,2007,0,0,1,105
DALLAS MAVERICKS,PORTLAND TRAIL BLAZERS,1,2008,0,0,0,104
UTAH JAZZ,CLEVELAND CAVALIERS,1,2008,0,0,1,97
CHICAGO BULLS,DENVER NUGGETS,1,2008,0,0,0,116
MIAMI HEAT,INDIANA PACERS,1,2007,0,1,0,103
NEW JERSEY NETS,ATLANTA HAWKS,1,2006,1,0,-1,101
PORTLAND TRAIL BLAZERS,LOS ANGELES CLIPPERS,1,2005,0,1,0,83
HOUSTON ROCKETS,SEATTLE SUPERSONICS,1,2005,0,0,0,100
CHICAGO BULLS,DETROIT PISTONS,1,2006,0,-1,0,106
WASHINGTON WIZARDS,MINNESOTA TIMBERWOLVES,1,2007,0,1,-1,102
SACRAMENTO KINGS,DALLAS MAVERICKS,1,2008,0,0,0,102
CHARLOTTE BOBCATS,MILWAUKEE BUCKS,1,2008,0,0,0,102
PHOENIX SUNS,NEW ORLEANS HORNETS,1,2004,0,-1,0,99
CHARLOTTE BOBCATS,MEMPHIS GRIZZLIES,1,2004,0,0,0,89
CLEVELAND CAVALIERS,MIAMI HEAT,1,2006,0,0,0,90
SACRAMENTO KINGS,DENVER NUGGETS,1,2004,0,-1,1,109
NEW JERSEY NETS,TORONTO RAPTORS,1,2008,0,1,-1,106
NEW JERSEY NETS,DENVER NUGGETS,1,2006,0,1,-1,90
SEATTLE SUPERSONICS,LOS ANGELES LAKERS,1,2007,0,0,1,121
LOS ANGELES LAKERS,DETROIT PISTONS,1,2005,0,0,0,105
NEW ORLEANS HORNETS,LOS ANGELES CLIPPERS,1,2007,0,0,0,114
CLEVELAND CAVALIERS,ORLANDO MAGIC,1,2007,-1,1,0,86
NEW JERSEY NETS,CHICAGO BULLS,1,2008,0,1,0,111
NEW JERSEY NETS,INDIANA PACERS,1,2005,0,0,0,97
LOS ANGELES CLIPPERS,PORTLAND TRAIL BLAZERS,1,2004,0,1,-1,102
SAN ANTONIO SPURS,CLEVELAND CAVALIERS,1,2005,0,-1,1,102
DENVER NUGGETS,HOUSTON ROCKETS,1,2008,0,0,0,104
ATLANTA HAWKS,ORLANDO MAGIC,1,2007,0,-1,1,105
ATLANTA HAWKS,BOSTON CELTICS,1,2005,0,0,1,94
WASHINGTON WIZARDS,TORONTO RAPTORS,1,2004,0,-1,1,102
SEATTLE SUPERSONICS,HOUSTON ROCKETS,1,2005,0,0,0,104
NEW YORK KNICKS,CHICAGO BULLS,1,2004,0,0,0,86
ORLANDO MAGIC,INDIANA PACERS,1,2007,1,0,-1,109
PHOENIX SUNS,WASHINGTON WIZARDS,1,2004,0,0,0,110
DETROIT PISTONS,DENVER NUGGETS,1,2006,0,0,0,113
HOUSTON ROCKETS,NEW ORLEANS HORNETS,1,2008,0,0,0,91
SEATTLE SUPERSONICS,NEW JERSEY NETS,1,2004,0,1,0,92
ATLANTA HAWKS,PHILADELPHIA 76ERS,1,2007,0,1,-1,104
MIAMI HEAT,BOSTON CELTICS,1,2008,0,1,-1,107
CHICAGO BULLS,PORTLAND TRAIL BLAZERS,1,2006,0,0,0,100
SACRAMENTO KINGS,LOS ANGELES LAKERS,1,2005,0,1,-1,118
LOS ANGELES LAKERS,INDIANA PACERS,1,2007,0,0,0,112
PORTLAND TRAIL BLAZERS,ORLANDO MAGIC,1,2005,0,0,0,113
NEW ORLEANS/OKLAHOMA CITY HORNETS,CHICAGO BULLS,1,2005,0,1,0,100
NEW ORLEANS/OKLAHOMA CITY HORNETS,ORLANDO MAGIC,1,2005,1,0,0,83
INDIANA PACERS,CHARLOTTE BOBCATS,1,2008,0,0,0,98
LOS ANGELES CLIPPERS,PORTLAND TRAIL BLAZERS,1,2006,0,0,0,102
MIAMI HEAT,BOSTON CELTICS,1,2004,0,0,0,106
CHARLOTTE BOBCATS,UTAH JAZZ,1,2008,0,-1,1,104
LOS ANGELES CLIPPERS,CHICAGO BULLS,1,2004,0,0,0,83
UTAH JAZZ,GOLDEN STATE WARRIORS,1,2008,0,0,0,108
CLEVELAND CAVALIERS,PHILADELPHIA 76ERS,1,2005,0,0,0,124
NEW YORK KNICKS,CHARLOTTE BOBCATS,1,2006,-1,1,0,111
PHOENIX SUNS,DETROIT PISTONS,1,2007,0,0,0,86
SACRAMENTO KINGS,DETROIT PISTONS,1,2005,0,1,-1,88
GOLDEN STATE WARRIORS,DALLAS MAVERICKS,1,2004,0,-1,1,97
INDIANA PACERS,BOSTON CELTICS,1,2005,0,1,-1,117
DETROIT PISTONS,CHARLOTTE BOBCATS,1,2007,0,0,0,113
LOS ANGELES CLIPPERS,MIAMI HEAT,1,2005,0,0,0,99
GOLDEN STATE WARRIORS,CHARLOTTE BOBCATS,1,2005,0,0,0,107
DALLAS MAVERICKS,PORTLAND TRAIL BLAZERS,1,2004,0,0,0,92
UTAH JAZZ,SAN ANTONIO SPURS,1,2005,0,0,0,86
CHICAGO BULLS,NEW YORK KNICKS,1,2006,0,0,0,102
CHICAGO BULLS,ORLANDO MAGIC,1,2006,0,0,0,87
CHARLOTTE BOBCATS,DENVER NUGGETS,1,2007,0,1,-1,119
SACRAMENTO KINGS,LOS ANGELES LAKERS,1,2005,0,0,0,114
LOS ANGELES LAKERS,MIAMI HEAT,1,2004,0,-1,1,102
WASHINGTON WIZARDS,MILWAUKEE BUCKS,1,2004,0,0,0,119
CLEVELAND CAVALIERS,CHICAGO BULLS,1,2007,0,-1,0,98
SAN ANTONIO SPURS,LOS ANGELES LAKERS,1,2007,-1,1,0,107
CHICAGO BULLS,DETROIT PISTONS,1,2007,-1,1,0,97
NEW YORK KNICKS,HOUSTON ROCKETS,1,2007,0,0,0,92
DALLAS MAVERICKS,NEW ORLEANS/OKLAHOMA CITY HORNETS,1,2006,0,1,0,94
PHOENIX SUNS,NEW JERSEY NETS,1,2008,0,1,0,109
INDIANA PACERS,SEATTLE SUPERSONICS,1,2004,0,-1,1,93
PHOENIX SUNS,UTAH JAZZ,1,2006,0,1,-1,105
PHOENIX SUNS,TORONTO RAPTORS,1,2004,-1,0,1,106
MIAMI HEAT,SEATTLE SUPERSONICS,1,2005,0,0,1,115
INDIANA PACERS,MEMPHIS GRIZZLIES,1,2007,0,1,-1,72
NEW JERSEY NETS,WASHINGTON WIZARDS,1,2007,-1,1,0,87
INDIANA PACERS,GOLDEN STATE WARRIORS,1,2006,0,0,0,98
SACRAMENTO KINGS,PORTLAND TRAIL BLAZERS,1,2004,0,0,-1,113
UTAH JAZZ,LOS ANGELES LAKERS,1,2006,0,1,-1,114
INDIANA PACERS,ORLANDO MAGIC,1,2007,0,0,0,115
NEW JERSEY NETS,PHOENIX SUNS,1,2006,0,0,0,157
PHOENIX SUNS,DENVER NUGGETS,1,2004,0,0,0,128
LOS ANGELES LAKERS,ORLANDO MAGIC,1,2004,0,-1,0,105
LOS ANGELES LAKERS,MEMPHIS GRIZZLIES,1,2008,0,0,0,92
DALLAS MAVERICKS,CHARLOTTE BOBCATS,1,2007,-1,1,0,118
SAN ANTONIO SPURS,TORONTO RAPTORS,1,2005,0,0,0,95
CHICAGO BULLS,ATLANTA HAWKS,1,2008,0,0,0,102
BOSTON CELTICS,DETROIT PISTONS,1,2006,0,0,0,88
INDIANA PACERS,PHILADELPHIA 76ERS,1,2005,0,0,0,92
PHOENIX SUNS,DENVER NUGGETS,1,2007,0,1,0,137
PHILADELPHIA 76ERS,PORTLAND TRAIL BLAZERS,1,2004,0,0,1,100
TORONTO RAPTORS,CHICAGO BULLS,1,2006,0,0,0,103
DALLAS MAVERICKS,PORTLAND TRAIL BLAZERS,1,2005,0,-1,1,95
DETROIT PISTONS,WASHINGTON WIZARDS,1,2005,0,1,0,80
LOS ANGELES LAKERS,SEATTLE SUPERSONICS,1,2005,1,-1,0,108
LOS ANGELES CLIPPERS,DALLAS MAVERICKS,1,2008,0,0,0,103
PHILADELPHIA 76ERS,UTAH JAZZ,1,2006,0,0,0,89
MEMPHIS GRIZZLIES,TORONTO RAPTORS,1,2004,0,-1,1,86
MINNESOTA TIMBERWOLVES,SEATTLE SUPERSONICS,1,2006,0,1,0,101
NEW ORLEANS/OKLAHOMA CITY HORNETS,LOS ANGELES LAKERS,1,2005,0,0,1,106
CLEVELAND CAVALIERS,MIAMI HEAT,1,2004,0,0,0,82
DENVER NUGGETS,CHARLOTTE BOBCATS,1,2007,0,0,1,117
MILWAUKEE BUCKS,CHARLOTTE BOBCATS,1,2005,0,0,1,99
MIAMI HEAT,PORTLAND TRAIL BLAZERS,1,2004,0,0,0,87
NEW ORLEANS HORNETS,CLEVELAND CAVALIERS,1,2007,0,-1,0,86
PHOENIX SUNS,DENVER NUGGETS,1,2008,0,1,0,108
WASHINGTON WIZARDS,DETROIT PISTONS,1,2006,0,0,0,111
DETROIT PISTONS,BOSTON CELTICS,1,2005,1,-1,0,115
LOS ANGELES LAKERS,SACRAMENTO KINGS,1,2006,0,0,0,126
UTAH JAZZ,MINNESOTA TIMBERWOLVES,1,2007,0,1,0,117
INDIANA PACERS,PORTLAND TRAIL BLAZERS,1,2007,0,0,1,101
PHOENIX SUNS,MIAMI HEAT,1,2008,0,0,0,92
NEW ORLEANS HORNETS,SEATTLE SUPERSONICS,1,2007,0,-1,1,123
MEMPHIS GRIZZLIES,LOS ANGELES CLIPPERS,1,2005,0,-1,1,101
LOS ANGELES LAKERS,ATLANTA HAWKS,1,2004,0,0,0,106
PORTLAND TRAIL BLAZERS,SAN ANTONIO SPURS,1,2004,0,1,0,107
TORONTO RAPTORS,PORTLAND TRAIL BLAZERS,1,2004,0,0,0,101
WASHINGTON WIZARDS,CHARLOTTE BOBCATS,1,2006,0,0,0,100
NEW JERSEY NETS,MIAMI HEAT,1,2006,0,0,0,86
PHOENIX SUNS,TORONTO RAPTORS,1,2007,0,0,1,122
UTAH JAZZ,MEMPHIS GRIZZLIES,1,2005,0,0,0,105
CHARLOTTE BOBCATS,MEMPHIS GRIZZLIES,1,2007,0,0,0,105
LOS ANGELES LAKERS,PHOENIX SUNS,1,2006,0,0,0,107
SAN ANTONIO SPURS,NEW ORLEANS HORNETS,1,2007,0,1,0,98
DENVER NUGGETS,MIAMI HEAT,1,2006,0,1,0,123
NEW JERSEY NETS,PORTLAND TRAIL BLAZERS,1,2007,0,0,1,73
UTAH JAZZ,MINNESOTA TIMBERWOLVES,1,2008,0,0,-1,102
DALLAS MAVERICKS,NEW ORLEANS HORNETS,1,2008,0,-1,0,97
SAN ANTONIO SPURS,MEMPHIS GRIZZLIES,1,2005,0,1,0,80
NEW JERSEY NETS,SAN ANTONIO SPURS,1,2005,0,0,0,73
ATLANTA HAWKS,INDIANA PACERS,1,2007,0,0,0,107
ORLANDO MAGIC,DENVER NUGGETS,1,2008,0,0,1,73
NEW JERSEY NETS,HOUSTON ROCKETS,1,2004,0,0,0,69
DALLAS MAVERICKS,CHICAGO BULLS,1,2008,0,1,-1,115
DETROIT PISTONS,LOS ANGELES CLIPPERS,1,2008,0,0,0,108
SAN ANTONIO SPURS,MINNESOTA TIMBERWOLVES,1,2005,0,0,1,102
GOLDEN STATE WARRIORS,NEW YORK KNICKS,1,2007,0,-1,1,106
PHILADELPHIA 76ERS,INDIANA PACERS,1,2008,0,0,0,99
LOS ANGELES CLIPPERS,DETROIT PISTONS,1,2005,0,-1,0,101
NEW YORK KNICKS,PHOENIX SUNS,1,2006,0,1,0,107
DETROIT PISTONS,HOUSTON ROCKETS,1,2008,0,0,0,105
CHARLOTTE BOBCATS,OKLAHOMA CITY THUNDER,1,2008,-1,1,0,103
MEMPHIS GRIZZLIES,ATLANTA HAWKS,1,2006,0,0,0,88
DENVER NUGGETS,NEW YORK KNICKS,1,2004,0,0,1,96
ATLANTA HAWKS,TORONTO RAPTORS,1,2006,0,0,0,97
LOS ANGELES CLIPPERS,NEW ORLEANS HORNETS,1,2004,0,0,0,94
CHARLOTTE BOBCATS,MILWAUKEE BUCKS,1,2008,0,0,0,74
MIAMI HEAT,PORTLAND TRAIL BLAZERS,1,2008,0,0,0,96
PORTLAND TRAIL BLAZERS,MEMPHIS GRIZZLIES,1,2007,0,0,0,113
GOLDEN STATE WARRIORS,HOUSTON ROCKETS,1,2008,0,1,-1,108
PORTLAND TRAIL BLAZERS,NEW ORLEANS/OKLAHOMA CITY HORNETS,1,2005,0,1,0,75
CHARLOTTE BOBCATS,SAN ANTONIO SPURS,1,2004,-1,0,1,85
UTAH JAZZ,MINNESOTA TIMBERWOLVES,1,2004,0,0,0,84
UTAH JAZZ,LOS ANGELES CLIPPERS,1,2007,0,-1,1,121
MEMPHIS GRIZZLIES,MILWAUKEE BUCKS,1,2008,0,0,0,96
ATLANTA HAWKS,BOSTON CELTICS,1,2004,0,0,0,100
HOUSTON ROCKETS,ATLANTA HAWKS,1,2004,1,0,0,92
